,substrate-nodes-id,cpu-resource,max-cpu-resource,substrate-topology
0,4143,414.575,500,grid
1,4142,285.427,500,grid
2,4146,310.243,500,grid
3,4149,439.23,500,grid
4,4152,131.733,500,grid
5,4155,103.686,500,grid
6,4158,220.83,500,grid
7,4161,276.586,500,grid
8,4164,299.313,500,grid
9,4167,35.005,500,grid
10,4170,80.177,500,grid
11,4173,257.695,500,grid
12,4178,390.391,500,grid
13,4183,15.205,500,grid
14,4188,73.13,500,grid
15,4193,457.318,500,grid
16,4198,297.093,500,grid
17,4203,458.168,500,grid
18,4208,369.255,500,grid
19,4213,125.211,500,grid
20,4218,276.683,500,grid
21,4221,172.439,500,grid
22,4226,219.266,500,grid
23,4231,241.889,500,grid
24,4236,405.349,500,grid
25,4241,304.6,500,grid
26,4246,378.548,500,grid
27,4251,314.417,500,grid
28,4256,208.899,500,grid
29,4261,239.954,500,grid
30,4266,292.868,500,grid
31,4269,384.051,500,grid
32,4274,362.72,500,grid
33,4279,71.279,500,grid
34,4284,149.796,500,grid
35,4289,155.525,500,grid
36,4294,92.102,500,grid
37,4299,67.157,500,grid
38,4304,333.448,500,grid
39,4309,486.414,500,grid
40,4314,158.453,500,grid
41,4317,32.858,500,grid
42,4322,19.879,500,grid
43,4327,194.214,500,grid
44,4332,86.941,500,grid
45,4337,58.781,500,grid
46,4342,115.763,500,grid
47,4347,248.679,500,grid
48,4352,76.728,500,grid
49,4357,394.139,500,grid
50,4362,473.994,500,grid
51,4365,417.41,500,grid
52,4370,336.252,500,grid
53,4375,66.877,500,grid
54,4380,316.365,500,grid
55,4385,323.814,500,grid
56,4390,402.896,500,grid
57,4395,394.733,500,grid
58,4400,55.755,500,grid
59,4405,158.312,500,grid
60,4410,338.904,500,grid
61,4413,196.904,500,grid
62,4418,238.038,500,grid
63,4423,455.996,500,grid
64,4428,43.554,500,grid
65,4433,320.969,500,grid
66,4438,117.402,500,grid
67,4443,416.965,500,grid
68,4448,285.351,500,grid
69,4453,45.486,500,grid
70,4458,437.845,500,grid
71,4461,199.152,500,grid
72,4466,437.429,500,grid
73,4471,5.15,500,grid
74,4476,318.339,500,grid
75,4481,457.719,500,grid
76,4486,294.33,500,grid
77,4491,12.421,500,grid
78,4496,229.452,500,grid
79,4501,139.927,500,grid
80,4506,259.013,500,grid
81,4509,17.209,500,grid
82,4514,405.198,500,grid
83,4519,169.913,500,grid
84,4524,115.176,500,grid
85,4529,454.518,500,grid
86,4534,155.473,500,grid
87,4539,173.898,500,grid
88,4544,41.909,500,grid
89,4549,378.865,500,grid
90,4554,431.619,500,grid
91,4557,303.086,500,grid
92,4562,485.184,500,grid
93,4567,73.838,500,grid
94,4572,150.505,500,grid
95,4577,8.882,500,grid
96,4582,473.838,500,grid
97,4587,255.349,500,grid
98,4592,200.976,500,grid
99,4597,313.069,500,grid
