,virtual-networks-id,virtual-links-id,virtual-links-source,virtual-links-target,substrate-links-id,bandwidth-demand,max-bandwidth-demand,mapping-algorithm,percentage-infra-resources
0,1,4611,4602,4603,4234,45.65,50,BFS-coordinated-VNE,5
1,1,4611,4602,4603,4276,45.65,50,BFS-coordinated-VNE,5
2,1,4611,4602,4603,4324,45.65,50,BFS-coordinated-VNE,5
3,1,4611,4602,4603,4331,45.65,50,BFS-coordinated-VNE,5
4,1,4611,4602,4603,4336,45.65,50,BFS-coordinated-VNE,5
5,1,4611,4602,4603,4341,45.65,50,BFS-coordinated-VNE,5
6,1,4612,4602,4606,4240,5.792,50,BFS-coordinated-VNE,5
7,1,4612,4602,4606,4245,5.792,50,BFS-coordinated-VNE,5
8,1,4612,4602,4606,4242,5.792,50,BFS-coordinated-VNE,5
9,1,4613,4603,4607,4338,24.058,50,BFS-coordinated-VNE,5
10,1,4614,4604,4605,4255,19.414,50,BFS-coordinated-VNE,5
11,1,4615,4604,4606,4247,24.026,50,BFS-coordinated-VNE,5
12,1,4615,4604,4606,4199,24.026,50,BFS-coordinated-VNE,5
13,1,4615,4604,4606,4159,24.026,50,BFS-coordinated-VNE,5
14,1,4615,4604,4606,4195,24.026,50,BFS-coordinated-VNE,5
15,1,4616,4604,4607,4296,20.477,50,BFS-coordinated-VNE,5
16,1,4616,4604,4607,4297,20.477,50,BFS-coordinated-VNE,5
17,1,4617,4604,4609,4296,34.023,50,BFS-coordinated-VNE,5
18,1,4617,4604,4609,4297,34.023,50,BFS-coordinated-VNE,5
19,1,4617,4604,4609,4292,34.023,50,BFS-coordinated-VNE,5
20,1,4617,4604,4609,4287,34.023,50,BFS-coordinated-VNE,5
21,1,4617,4604,4609,4280,34.023,50,BFS-coordinated-VNE,5
22,1,4617,4604,4609,4240,34.023,50,BFS-coordinated-VNE,5
23,1,4618,4605,4606,4252,18.027,50,BFS-coordinated-VNE,5
24,1,4618,4605,4606,4206,18.027,50,BFS-coordinated-VNE,5
25,1,4618,4605,4606,4199,18.027,50,BFS-coordinated-VNE,5
26,1,4618,4605,4606,4159,18.027,50,BFS-coordinated-VNE,5
27,1,4618,4605,4606,4195,18.027,50,BFS-coordinated-VNE,5
28,1,4619,4605,4610,4252,13.196,50,BFS-coordinated-VNE,5
29,1,4619,4605,4610,4206,13.196,50,BFS-coordinated-VNE,5
30,1,4619,4605,4610,4201,13.196,50,BFS-coordinated-VNE,5
