,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,4602,4231,6.821,25,waxman,grid,BFS-coordinated-VNE,5
1,1,4603,4337,1.056,25,waxman,grid,BFS-coordinated-VNE,5
2,1,4604,4246,6.891,25,waxman,grid,BFS-coordinated-VNE,5
3,1,4605,4251,5.439,25,waxman,grid,BFS-coordinated-VNE,5
4,1,4606,4193,8.507,25,waxman,grid,BFS-coordinated-VNE,5
5,1,4607,4289,23.328,25,waxman,grid,BFS-coordinated-VNE,5
6,1,4608,4155,9.319,25,waxman,grid,BFS-coordinated-VNE,5
7,1,4609,4236,11.059,25,waxman,grid,BFS-coordinated-VNE,5
8,1,4610,4241,8.148,25,waxman,grid,BFS-coordinated-VNE,5
9,2,4642,4284,10.251,25,waxman,grid,BFS-coordinated-VNE,5
10,2,4643,4183,12.127,25,waxman,grid,BFS-coordinated-VNE,5
11,2,4644,4226,1.953,25,waxman,grid,BFS-coordinated-VNE,5
12,2,4645,4236,12.551,25,waxman,grid,BFS-coordinated-VNE,5
13,2,4646,4231,4.316,25,waxman,grid,BFS-coordinated-VNE,5
14,2,4647,4246,3.925,25,waxman,grid,BFS-coordinated-VNE,5
15,2,4648,4188,13.996,25,waxman,grid,BFS-coordinated-VNE,5
16,2,4649,4241,16.135,25,waxman,grid,BFS-coordinated-VNE,5
17,2,4650,4193,0.779,25,waxman,grid,BFS-coordinated-VNE,5
18,3,4688,4461,10.683,25,waxman,grid,BFS-coordinated-VNE,5
19,3,4689,4418,2.007,25,waxman,grid,BFS-coordinated-VNE,5
20,3,4690,4562,11.552,25,waxman,grid,BFS-coordinated-VNE,5
21,3,4691,4506,16.435,25,waxman,grid,BFS-coordinated-VNE,5
22,3,4692,4519,21.457,25,waxman,grid,BFS-coordinated-VNE,5
23,3,4693,4509,10.333,25,waxman,grid,BFS-coordinated-VNE,5
24,3,4694,4514,17.195,25,waxman,grid,BFS-coordinated-VNE,5
25,3,4695,4557,13.682,25,waxman,grid,BFS-coordinated-VNE,5
26,3,4696,4466,22.181,25,waxman,grid,BFS-coordinated-VNE,5
27,4,4729,4433,20.557,25,waxman,grid,BFS-coordinated-VNE,5
28,4,4730,4476,20.519,25,waxman,grid,BFS-coordinated-VNE,5
29,4,4731,4438,19.884,25,waxman,grid,BFS-coordinated-VNE,5
30,4,4732,4481,21.775,25,waxman,grid,BFS-coordinated-VNE,5
31,4,4733,4486,18.883,25,waxman,grid,BFS-coordinated-VNE,5
32,4,4734,4385,14.115,25,waxman,grid,BFS-coordinated-VNE,5
33,4,4735,4491,7.719,25,waxman,grid,BFS-coordinated-VNE,5
34,4,4736,4529,19.929,25,waxman,grid,BFS-coordinated-VNE,5
35,4,4737,4524,21.417,25,waxman,grid,BFS-coordinated-VNE,5
36,5,4774,4203,19.146,25,waxman,grid,BFS-coordinated-VNE,5
37,5,4775,4213,4.792,25,waxman,grid,BFS-coordinated-VNE,5
38,5,4776,4193,14.671,25,waxman,grid,BFS-coordinated-VNE,5
39,5,4777,4158,19.541,25,waxman,grid,BFS-coordinated-VNE,5
40,5,4778,4198,7.973,25,waxman,grid,BFS-coordinated-VNE,5
41,5,4779,4161,18.695,25,waxman,grid,BFS-coordinated-VNE,5
42,5,4780,4208,21.671,25,waxman,grid,BFS-coordinated-VNE,5
43,5,4781,4251,20.092,25,waxman,grid,BFS-coordinated-VNE,5
44,5,4782,4164,0.092,25,waxman,grid,BFS-coordinated-VNE,5
45,6,4824,4476,3.939,25,waxman,grid,BFS-coordinated-VNE,5
46,6,4825,4428,2.594,25,waxman,grid,BFS-coordinated-VNE,5
47,6,4826,4529,16.484,25,waxman,grid,BFS-coordinated-VNE,5
48,6,4827,4423,2.992,25,waxman,grid,BFS-coordinated-VNE,5
49,6,4828,4486,15.179,25,waxman,grid,BFS-coordinated-VNE,5
50,6,4829,4438,21.778,25,waxman,grid,BFS-coordinated-VNE,5
51,6,4830,4385,7.004,25,waxman,grid,BFS-coordinated-VNE,5
52,6,4831,4481,17.175,25,waxman,grid,BFS-coordinated-VNE,5
53,6,4832,4433,21.861,25,waxman,grid,BFS-coordinated-VNE,5
54,7,4865,4395,11.175,25,waxman,grid,BFS-coordinated-VNE,5
55,7,4866,4337,23.632,25,waxman,grid,BFS-coordinated-VNE,5
56,7,4867,4433,18.388,25,waxman,grid,BFS-coordinated-VNE,5
57,7,4868,4342,12.626,25,waxman,grid,BFS-coordinated-VNE,5
58,7,4869,4385,22.661,25,waxman,grid,BFS-coordinated-VNE,5
59,7,4870,4380,14.938,25,waxman,grid,BFS-coordinated-VNE,5
60,7,4871,4375,12.757,25,waxman,grid,BFS-coordinated-VNE,5
61,7,4872,4390,22.529,25,waxman,grid,BFS-coordinated-VNE,5
62,7,4873,4289,6.685,25,waxman,grid,BFS-coordinated-VNE,5
63,8,4912,4213,14.227,25,waxman,grid,BFS-coordinated-VNE,5
64,8,4913,4261,23.05,25,waxman,grid,BFS-coordinated-VNE,5
65,8,4914,4304,24.091,25,waxman,grid,BFS-coordinated-VNE,5
66,8,4915,4357,9.075,25,waxman,grid,BFS-coordinated-VNE,5
67,8,4916,4309,13.015,25,waxman,grid,BFS-coordinated-VNE,5
68,8,4917,4405,18.999,25,waxman,grid,BFS-coordinated-VNE,5
69,8,4918,4256,20.769,25,waxman,grid,BFS-coordinated-VNE,5
70,8,4919,4299,6.869,25,waxman,grid,BFS-coordinated-VNE,5
71,8,4920,4352,4.788,25,waxman,grid,BFS-coordinated-VNE,5
72,9,4956,4161,23.765,25,waxman,grid,BFS-coordinated-VNE,5
73,9,4957,4213,21.31,25,waxman,grid,BFS-coordinated-VNE,5
74,9,4958,4193,15.982,25,waxman,grid,BFS-coordinated-VNE,5
75,9,4959,4251,20.375,25,waxman,grid,BFS-coordinated-VNE,5
76,9,4960,4198,15.591,25,waxman,grid,BFS-coordinated-VNE,5
77,9,4961,4155,21.159,25,waxman,grid,BFS-coordinated-VNE,5
78,9,4962,4208,15.412,25,waxman,grid,BFS-coordinated-VNE,5
79,9,4963,4158,22.784,25,waxman,grid,BFS-coordinated-VNE,5
80,9,4964,4203,22.243,25,waxman,grid,BFS-coordinated-VNE,5
81,10,4996,4309,21.991,25,waxman,grid,BFS-coordinated-VNE,5
82,10,4997,4357,13.566,25,waxman,grid,BFS-coordinated-VNE,5
83,10,4998,4251,22.964,25,waxman,grid,BFS-coordinated-VNE,5
84,10,4999,4299,7.148,25,waxman,grid,BFS-coordinated-VNE,5
85,10,5000,4256,2.674,25,waxman,grid,BFS-coordinated-VNE,5
86,10,5001,4405,9.056,25,waxman,grid,BFS-coordinated-VNE,5
87,10,5002,4304,10.454,25,waxman,grid,BFS-coordinated-VNE,5
88,10,5003,4352,19.115,25,waxman,grid,BFS-coordinated-VNE,5
89,10,5004,4261,8.27,25,waxman,grid,BFS-coordinated-VNE,5
