,virtual-networks-id,virtual-links-id,virtual-links-source,virtual-links-target,substrate-links-id,bandwidth-demand,max-bandwidth-demand,mapping-algorithm,percentage-infra-resources
0,1,5076,5075,5074,409,32.882,50,BFS-coordinated-VNE,5
1,1,5076,5075,5074,106,32.882,50,BFS-coordinated-VNE,5
2,1,5077,5074,5075,702,11.522,50,BFS-coordinated-VNE,5
3,1,5077,5074,5075,102,11.522,50,BFS-coordinated-VNE,5
4,1,5079,5078,5075,4979,22.164,50,BFS-coordinated-VNE,5
5,1,5079,5078,5075,102,22.164,50,BFS-coordinated-VNE,5
6,1,5080,5075,5078,409,1.663,50,BFS-coordinated-VNE,5
7,1,5080,5075,5078,153,1.663,50,BFS-coordinated-VNE,5
8,1,5082,5081,5074,5029,25.411,50,BFS-coordinated-VNE,5
9,1,5083,5074,5081,702,26.52,50,BFS-coordinated-VNE,5
10,1,5083,5074,5081,154,26.52,50,BFS-coordinated-VNE,5
11,1,5085,5084,5075,207,12.805,50,BFS-coordinated-VNE,5
12,1,5086,5075,5084,410,5.738,50,BFS-coordinated-VNE,5
13,1,5087,5084,5081,257,23.236,50,BFS-coordinated-VNE,5
14,1,5088,5081,5084,5022,34.66,50,BFS-coordinated-VNE,5
15,1,5088,5081,5084,101,34.66,50,BFS-coordinated-VNE,5
16,1,5090,5089,5078,205,3.318,50,BFS-coordinated-VNE,5
17,1,5091,5078,5089,4980,45.414,50,BFS-coordinated-VNE,5
18,1,5092,5089,5084,157,21.074,50,BFS-coordinated-VNE,5
19,1,5092,5089,5084,410,21.074,50,BFS-coordinated-VNE,5
20,1,5093,5084,5089,206,12.274,50,BFS-coordinated-VNE,5
21,1,5093,5084,5089,100,12.274,50,BFS-coordinated-VNE,5
22,1,5095,5094,5081,4778,45.95,50,BFS-coordinated-VNE,5
23,1,5095,5094,5081,4828,45.95,50,BFS-coordinated-VNE,5
24,1,5096,5081,5094,5022,38.67,50,BFS-coordinated-VNE,5
25,1,5096,5081,5094,148,38.67,50,BFS-coordinated-VNE,5
26,1,5098,5097,5084,3271,10.262,50,BFS-coordinated-VNE,5
27,1,5099,5084,5097,239,0.262,50,BFS-coordinated-VNE,5
28,1,5100,5097,5094,3327,47.454,50,BFS-coordinated-VNE,5
29,1,5101,5094,5097,4779,31.445,50,BFS-coordinated-VNE,5
30,1,5101,5094,5097,5053,31.445,50,BFS-coordinated-VNE,5
