,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,5075,6,7.71,25,grid,redge,BFS-coordinated-VNE,5
1,1,5074,12,21.675,25,grid,redge,BFS-coordinated-VNE,5
2,1,5078,98,7.908,25,grid,redge,BFS-coordinated-VNE,5
3,1,5081,99,3.635,25,grid,redge,BFS-coordinated-VNE,5
4,1,5084,2,9.149,25,grid,redge,BFS-coordinated-VNE,5
5,1,5089,1,4.857,25,grid,redge,BFS-coordinated-VNE,5
6,1,5094,93,13.976,25,grid,redge,BFS-coordinated-VNE,5
7,1,5097,64,12.656,25,grid,redge,BFS-coordinated-VNE,5
8,1,5102,0,19.132,25,grid,redge,BFS-coordinated-VNE,5
9,2,5108,2,17.714,25,grid,redge,BFS-coordinated-VNE,5
10,2,5107,99,0.308,25,grid,redge,BFS-coordinated-VNE,5
11,2,5111,5,13.961,25,grid,redge,BFS-coordinated-VNE,5
12,2,5114,0,19.612,25,grid,redge,BFS-coordinated-VNE,5
13,2,5117,64,8.41,25,grid,redge,BFS-coordinated-VNE,5
14,2,5122,93,22.595,25,grid,redge,BFS-coordinated-VNE,5
15,2,5127,1,24.244,25,grid,redge,BFS-coordinated-VNE,5
16,2,5130,6,18.406,25,grid,redge,BFS-coordinated-VNE,5
17,2,5135,12,18.648,25,grid,redge,BFS-coordinated-VNE,5
18,3,5141,93,23.976,25,grid,redge,BFS-coordinated-VNE,5
19,3,5140,99,11.935,25,grid,redge,BFS-coordinated-VNE,5
20,3,5144,5,12.358,25,grid,redge,BFS-coordinated-VNE,5
21,3,5147,0,19.684,25,grid,redge,BFS-coordinated-VNE,5
22,3,5150,64,13.21,25,grid,redge,BFS-coordinated-VNE,5
23,3,5155,2,5.472,25,grid,redge,BFS-coordinated-VNE,5
24,3,5160,1,20.676,25,grid,redge,BFS-coordinated-VNE,5
25,3,5163,6,0.026,25,grid,redge,BFS-coordinated-VNE,5
26,3,5168,11,9.436,25,grid,redge,BFS-coordinated-VNE,5
27,4,5174,48,21.885,25,grid,redge,BFS-coordinated-VNE,5
28,4,5173,7,20.976,25,grid,redge,BFS-coordinated-VNE,5
29,4,5177,99,21.529,25,grid,redge,BFS-coordinated-VNE,5
30,4,5180,97,14.841,25,grid,redge,BFS-coordinated-VNE,5
31,4,5183,9,2.081,25,grid,redge,BFS-coordinated-VNE,5
32,4,5188,0,5.14,25,grid,redge,BFS-coordinated-VNE,5
33,4,5193,1,8.07,25,grid,redge,BFS-coordinated-VNE,5
34,4,5196,2,19.513,25,grid,redge,BFS-coordinated-VNE,5
35,4,5201,15,7.917,25,grid,redge,BFS-coordinated-VNE,5
36,5,5207,99,16.682,25,grid,redge,BFS-coordinated-VNE,5
37,5,5206,98,5.195,25,grid,redge,BFS-coordinated-VNE,5
38,5,5210,0,2.831,25,grid,redge,BFS-coordinated-VNE,5
39,5,5213,9,9.881,25,grid,redge,BFS-coordinated-VNE,5
40,5,5216,48,7.213,25,grid,redge,BFS-coordinated-VNE,5
41,5,5221,7,13.394,25,grid,redge,BFS-coordinated-VNE,5
42,5,5226,2,4.333,25,grid,redge,BFS-coordinated-VNE,5
43,5,5229,13,8.133,25,grid,redge,BFS-coordinated-VNE,5
44,5,5234,97,4.897,25,grid,redge,BFS-coordinated-VNE,5
45,6,5240,98,3.956,25,grid,redge,BFS-coordinated-VNE,5
46,6,5239,2,16.25,25,grid,redge,BFS-coordinated-VNE,5
47,6,5243,99,15.009,25,grid,redge,BFS-coordinated-VNE,5
48,6,5246,0,8.192,25,grid,redge,BFS-coordinated-VNE,5
49,6,5249,1,19.601,25,grid,redge,BFS-coordinated-VNE,5
50,6,5254,31,7.831,25,grid,redge,BFS-coordinated-VNE,5
51,6,5259,7,11.16,25,grid,redge,BFS-coordinated-VNE,5
52,6,5262,4,1.011,25,grid,redge,BFS-coordinated-VNE,5
53,6,5267,3,18.651,25,grid,redge,BFS-coordinated-VNE,5
54,7,5273,7,6.559,25,grid,redge,BFS-coordinated-VNE,5
55,7,5272,4,15.436,25,grid,redge,BFS-coordinated-VNE,5
56,7,5276,99,6.181,25,grid,redge,BFS-coordinated-VNE,5
57,7,5279,1,22.686,25,grid,redge,BFS-coordinated-VNE,5
58,7,5282,88,21.758,25,grid,redge,BFS-coordinated-VNE,5
59,7,5287,2,14.561,25,grid,redge,BFS-coordinated-VNE,5
60,7,5292,0,16.648,25,grid,redge,BFS-coordinated-VNE,5
61,7,5295,98,10.975,25,grid,redge,BFS-coordinated-VNE,5
62,7,5300,96,22.631,25,grid,redge,BFS-coordinated-VNE,5
63,8,5306,31,23.73,25,grid,redge,BFS-coordinated-VNE,5
64,8,5305,1,18.265,25,grid,redge,BFS-coordinated-VNE,5
65,8,5309,3,1.684,25,grid,redge,BFS-coordinated-VNE,5
66,8,5312,0,16.368,25,grid,redge,BFS-coordinated-VNE,5
67,8,5315,99,2.764,25,grid,redge,BFS-coordinated-VNE,5
68,8,5320,98,2.931,25,grid,redge,BFS-coordinated-VNE,5
69,8,5325,2,1.489,25,grid,redge,BFS-coordinated-VNE,5
70,8,5328,5,0.4,25,grid,redge,BFS-coordinated-VNE,5
71,8,5333,96,3.998,25,grid,redge,BFS-coordinated-VNE,5
72,9,5339,93,13.935,25,grid,redge,BFS-coordinated-VNE,5
73,9,5338,5,15.573,25,grid,redge,BFS-coordinated-VNE,5
74,9,5342,12,2.354,25,grid,redge,BFS-coordinated-VNE,5
75,9,5345,2,13.098,25,grid,redge,BFS-coordinated-VNE,5
76,9,5348,64,22.691,25,grid,redge,BFS-coordinated-VNE,5
77,9,5353,6,7.203,25,grid,redge,BFS-coordinated-VNE,5
78,9,5358,1,24.763,25,grid,redge,BFS-coordinated-VNE,5
79,9,5361,0,19.372,25,grid,redge,BFS-coordinated-VNE,5
80,9,5366,99,23.858,25,grid,redge,BFS-coordinated-VNE,5
81,10,5372,3,6.417,25,grid,redge,BFS-coordinated-VNE,5
82,10,5371,2,24.045,25,grid,redge,BFS-coordinated-VNE,5
83,10,5375,5,8.089,25,grid,redge,BFS-coordinated-VNE,5
84,10,5378,7,3.422,25,grid,redge,BFS-coordinated-VNE,5
85,10,5381,31,20.066,25,grid,redge,BFS-coordinated-VNE,5
86,10,5386,99,5.265,25,grid,redge,BFS-coordinated-VNE,5
87,10,5391,98,11.131,25,grid,redge,BFS-coordinated-VNE,5
88,10,5394,1,21.02,25,grid,redge,BFS-coordinated-VNE,5
