,substrate-links-id,substrate-links-sources,substrate-links-target,bandwidth-resource,max-bandwidth-resource,substrate-topology
0,22330,22230,22235,349.814,1000,waxman
1,22331,22230,22236,355.977,1000,waxman
2,22332,22230,22237,330.397,1000,waxman
3,22333,22230,22238,841.767,1000,waxman
4,22334,22230,22239,55.306,1000,waxman
5,22335,22230,22240,480.422,1000,waxman
6,22336,22230,22241,935.103,1000,waxman
7,22337,22230,22242,64.616,1000,waxman
8,22338,22230,22243,904.648,1000,waxman
9,22339,22230,22245,840.843,1000,waxman
10,22340,22230,22246,247.809,1000,waxman
11,22341,22230,22247,291.825,1000,waxman
12,22342,22230,22248,104.054,1000,waxman
13,22343,22230,22249,484.006,1000,waxman
14,22344,22230,22251,64.666,1000,waxman
15,22345,22230,22253,86.6,1000,waxman
16,22346,22230,22254,25.796,1000,waxman
17,22347,22230,22256,222.215,1000,waxman
18,22348,22230,22257,290.089,1000,waxman
19,22349,22230,22258,594.18,1000,waxman
20,22350,22230,22260,697.507,1000,waxman
21,22351,22230,22262,790.815,1000,waxman
22,22352,22230,22263,359.376,1000,waxman
23,22353,22230,22264,995.987,1000,waxman
24,22354,22230,22265,798.131,1000,waxman
25,22355,22230,22266,258.36,1000,waxman
26,22356,22230,22269,30.176,1000,waxman
27,22357,22230,22270,973.786,1000,waxman
28,22358,22230,22272,332.449,1000,waxman
29,22359,22230,22273,817.66,1000,waxman
30,22360,22230,22274,207.408,1000,waxman
31,22361,22230,22275,293.015,1000,waxman
32,22362,22230,22276,899.235,1000,waxman
33,22363,22230,22277,618.135,1000,waxman
34,22364,22230,22278,849.981,1000,waxman
35,22365,22230,22279,412.307,1000,waxman
36,22366,22230,22280,742.54,1000,waxman
37,22367,22230,22281,613.375,1000,waxman
38,22368,22230,22282,422.745,1000,waxman
39,22369,22230,22283,105.305,1000,waxman
40,22370,22230,22284,581.238,1000,waxman
41,22371,22230,22285,492.564,1000,waxman
42,22372,22230,22286,803.349,1000,waxman
43,22373,22230,22287,441.241,1000,waxman
44,22374,22230,22288,548.901,1000,waxman
45,22375,22230,22289,640.344,1000,waxman
46,22376,22230,22290,31.268,1000,waxman
47,22377,22230,22292,112.358,1000,waxman
48,22378,22230,22293,444.232,1000,waxman
49,22379,22230,22299,726.99,1000,waxman
50,22380,22230,22300,795.002,1000,waxman
51,22381,22230,22302,19.072,1000,waxman
52,22382,22230,22303,891.697,1000,waxman
53,22383,22230,22304,969.184,1000,waxman
54,22384,22230,22305,93.529,1000,waxman
55,22385,22230,22306,227.918,1000,waxman
56,22386,22230,22309,942.647,1000,waxman
57,22387,22230,22310,321.447,1000,waxman
58,22388,22230,22312,79.362,1000,waxman
59,22389,22230,22314,902.635,1000,waxman
60,22390,22230,22316,109.163,1000,waxman
61,22391,22230,22319,859.229,1000,waxman
62,22392,22230,22320,693.103,1000,waxman
63,22393,22230,22321,575.37,1000,waxman
64,22394,22230,22322,816.004,1000,waxman
65,22395,22230,22323,396.919,1000,waxman
66,22396,22230,22325,333.172,1000,waxman
67,22397,22230,22326,172.835,1000,waxman
68,22398,22230,22327,780.444,1000,waxman
69,22399,22231,22233,947.473,1000,waxman
70,22400,22231,22237,469.446,1000,waxman
71,22401,22231,22239,541.322,1000,waxman
72,22402,22231,22240,885.464,1000,waxman
73,22403,22231,22241,975.131,1000,waxman
74,22404,22231,22247,805.807,1000,waxman
75,22405,22231,22250,824.882,1000,waxman
76,22406,22231,22253,698.684,1000,waxman
77,22407,22231,22261,518.626,1000,waxman
78,22408,22231,22262,324.149,1000,waxman
79,22409,22231,22264,942.526,1000,waxman
80,22410,22231,22266,907.55,1000,waxman
81,22411,22231,22269,169.542,1000,waxman
82,22412,22231,22270,301.197,1000,waxman
83,22413,22231,22271,583.193,1000,waxman
84,22414,22231,22272,590.753,1000,waxman
85,22415,22231,22275,578.949,1000,waxman
86,22416,22231,22276,179.496,1000,waxman
87,22417,22231,22278,591.308,1000,waxman
88,22418,22231,22279,426.477,1000,waxman
89,22419,22231,22280,635.173,1000,waxman
90,22420,22231,22281,995.255,1000,waxman
91,22421,22231,22282,351.126,1000,waxman
92,22422,22231,22283,650.021,1000,waxman
93,22423,22231,22284,706.51,1000,waxman
94,22424,22231,22285,918.241,1000,waxman
95,22425,22231,22286,794.638,1000,waxman
96,22426,22231,22287,816.48,1000,waxman
97,22427,22231,22289,374.962,1000,waxman
98,22428,22231,22290,342.723,1000,waxman
99,22429,22231,22292,955.689,1000,waxman
100,22430,22231,22295,198.595,1000,waxman
101,22431,22231,22296,900.525,1000,waxman
102,22432,22231,22299,883.502,1000,waxman
103,22433,22231,22300,572.027,1000,waxman
104,22434,22231,22304,955.552,1000,waxman
105,22435,22231,22305,250.263,1000,waxman
106,22436,22231,22306,577.343,1000,waxman
107,22437,22231,22307,97.399,1000,waxman
108,22438,22231,22308,45.408,1000,waxman
109,22439,22231,22311,902.447,1000,waxman
110,22440,22231,22313,567.681,1000,waxman
111,22441,22231,22315,627.373,1000,waxman
112,22442,22231,22316,221.998,1000,waxman
113,22443,22231,22319,793.175,1000,waxman
114,22444,22231,22321,559.249,1000,waxman
115,22445,22231,22324,665.425,1000,waxman
116,22446,22231,22326,356.587,1000,waxman
117,22447,22231,22328,711.446,1000,waxman
118,22448,22231,22329,369.313,1000,waxman
119,22449,22232,22230,359.951,1000,waxman
120,22450,22232,22235,755.204,1000,waxman
121,22451,22232,22240,168.339,1000,waxman
122,22452,22232,22241,973.506,1000,waxman
123,22453,22232,22243,828.191,1000,waxman
124,22454,22232,22244,104.484,1000,waxman
125,22455,22232,22248,266.939,1000,waxman
126,22456,22232,22249,546.764,1000,waxman
127,22457,22232,22250,449.667,1000,waxman
128,22458,22232,22252,172.043,1000,waxman
129,22459,22232,22254,381.876,1000,waxman
130,22460,22232,22257,133.684,1000,waxman
131,22461,22232,22261,559.584,1000,waxman
132,22462,22232,22267,411.797,1000,waxman
133,22463,22232,22268,520.838,1000,waxman
134,22464,22232,22270,747.656,1000,waxman
135,22465,22232,22271,801.752,1000,waxman
136,22466,22232,22274,180.309,1000,waxman
137,22467,22232,22275,85.102,1000,waxman
138,22468,22232,22276,894.377,1000,waxman
139,22469,22232,22277,510.922,1000,waxman
140,22470,22232,22279,357.172,1000,waxman
141,22471,22232,22280,372.159,1000,waxman
142,22472,22232,22282,742.962,1000,waxman
143,22473,22232,22283,886.054,1000,waxman
144,22474,22232,22285,780.587,1000,waxman
145,22475,22232,22287,570.69,1000,waxman
146,22476,22232,22288,426.58,1000,waxman
147,22477,22232,22289,388.855,1000,waxman
148,22478,22232,22292,58.703,1000,waxman
149,22479,22232,22293,186.65,1000,waxman
150,22480,22232,22296,244.644,1000,waxman
151,22481,22232,22301,756.072,1000,waxman
152,22482,22232,22302,997.981,1000,waxman
153,22483,22232,22303,808.938,1000,waxman
154,22484,22232,22304,859.829,1000,waxman
155,22485,22232,22305,249.323,1000,waxman
156,22486,22232,22308,101.722,1000,waxman
157,22487,22232,22312,874.105,1000,waxman
158,22488,22232,22314,935.762,1000,waxman
159,22489,22232,22315,282.897,1000,waxman
160,22490,22232,22317,335.082,1000,waxman
161,22491,22232,22318,621.787,1000,waxman
162,22492,22232,22323,45.0,1000,waxman
163,22493,22232,22325,367.769,1000,waxman
164,22494,22232,22328,627.309,1000,waxman
165,22495,22232,22329,746.007,1000,waxman
166,22496,22233,22230,91.95,1000,waxman
167,22497,22233,22234,389.215,1000,waxman
168,22498,22233,22237,387.603,1000,waxman
169,22499,22233,22239,342.251,1000,waxman
170,22500,22233,22240,941.689,1000,waxman
171,22501,22233,22241,595.722,1000,waxman
172,22502,22233,22243,647.9,1000,waxman
173,22503,22233,22244,626.158,1000,waxman
174,22504,22233,22253,423.165,1000,waxman
175,22505,22233,22254,318.526,1000,waxman
176,22506,22233,22255,314.073,1000,waxman
177,22507,22233,22262,556.922,1000,waxman
178,22508,22233,22263,384.06,1000,waxman
179,22509,22233,22264,363.938,1000,waxman
180,22510,22233,22265,406.421,1000,waxman
181,22511,22233,22266,936.969,1000,waxman
182,22512,22233,22268,14.625,1000,waxman
183,22513,22233,22270,224.736,1000,waxman
184,22514,22233,22271,101.011,1000,waxman
185,22515,22233,22272,779.195,1000,waxman
186,22516,22233,22273,229.095,1000,waxman
187,22517,22233,22276,742.237,1000,waxman
188,22518,22233,22277,845.343,1000,waxman
189,22519,22233,22278,734.038,1000,waxman
190,22520,22233,22280,495.83,1000,waxman
191,22521,22233,22286,617.281,1000,waxman
192,22522,22233,22287,814.963,1000,waxman
193,22523,22233,22289,150.873,1000,waxman
194,22524,22233,22291,141.115,1000,waxman
195,22525,22233,22293,216.198,1000,waxman
196,22526,22233,22294,502.07,1000,waxman
197,22527,22233,22298,911.699,1000,waxman
198,22528,22233,22300,816.58,1000,waxman
199,22529,22233,22301,446.935,1000,waxman
200,22530,22233,22304,282.839,1000,waxman
201,22531,22233,22305,519.817,1000,waxman
202,22532,22233,22309,516.518,1000,waxman
203,22533,22233,22310,90.873,1000,waxman
204,22534,22233,22311,397.064,1000,waxman
205,22535,22233,22312,52.178,1000,waxman
206,22536,22233,22313,258.89,1000,waxman
207,22537,22233,22317,867.463,1000,waxman
208,22538,22233,22319,891.929,1000,waxman
209,22539,22233,22320,491.282,1000,waxman
210,22540,22233,22321,302.607,1000,waxman
211,22541,22233,22322,681.665,1000,waxman
212,22542,22233,22324,731.105,1000,waxman
213,22543,22233,22325,641.03,1000,waxman
214,22544,22233,22326,563.721,1000,waxman
215,22545,22233,22327,958.267,1000,waxman
216,22546,22233,22328,451.02,1000,waxman
217,22547,22234,22230,300.607,1000,waxman
218,22548,22234,22232,714.437,1000,waxman
219,22549,22234,22233,702.533,1000,waxman
220,22550,22234,22235,458.115,1000,waxman
221,22551,22234,22236,621.495,1000,waxman
222,22552,22234,22237,301.412,1000,waxman
223,22553,22234,22238,943.193,1000,waxman
224,22554,22234,22243,304.009,1000,waxman
225,22555,22234,22245,604.91,1000,waxman
226,22556,22234,22247,103.571,1000,waxman
227,22557,22234,22251,511.688,1000,waxman
228,22558,22234,22254,49.926,1000,waxman
229,22559,22234,22259,510.447,1000,waxman
230,22560,22234,22260,864.743,1000,waxman
231,22561,22234,22262,690.645,1000,waxman
232,22562,22234,22263,137.436,1000,waxman
233,22563,22234,22264,541.448,1000,waxman
234,22564,22234,22265,482.668,1000,waxman
235,22565,22234,22268,124.921,1000,waxman
236,22566,22234,22271,19.411,1000,waxman
237,22567,22234,22274,548.574,1000,waxman
238,22568,22234,22277,713.516,1000,waxman
239,22569,22234,22278,530.17,1000,waxman
240,22570,22234,22283,173.323,1000,waxman
241,22571,22234,22284,650.292,1000,waxman
242,22572,22234,22286,459.791,1000,waxman
243,22573,22234,22288,156.722,1000,waxman
244,22574,22234,22291,18.389,1000,waxman
245,22575,22234,22293,607.468,1000,waxman
246,22576,22234,22294,749.576,1000,waxman
247,22577,22234,22296,670.661,1000,waxman
248,22578,22234,22297,688.737,1000,waxman
249,22579,22234,22298,508.982,1000,waxman
