,substrate-nodes-id,cpu-resource,max-cpu-resource,substrate-topology
0,22230,291.819,500,waxman
1,22231,80.575,500,waxman
2,22232,357.354,500,waxman
3,22233,291.441,500,waxman
4,22234,237.596,500,waxman
5,22235,469.392,500,waxman
6,22236,342.241,500,waxman
7,22237,189.2,500,waxman
8,22238,145.181,500,waxman
9,22239,65.469,500,waxman
10,22240,123.91,500,waxman
11,22241,98.697,500,waxman
12,22242,408.24,500,waxman
13,22243,152.079,500,waxman
14,22244,41.719,500,waxman
15,22245,330.838,500,waxman
16,22246,387.11,500,waxman
17,22247,54.877,500,waxman
18,22248,421.19,500,waxman
19,22249,239.368,500,waxman
20,22250,81.729,500,waxman
21,22251,332.387,500,waxman
22,22252,326.214,500,waxman
23,22253,180.23,500,waxman
24,22254,396.0,500,waxman
25,22255,171.152,500,waxman
26,22256,217.279,500,waxman
27,22257,38.791,500,waxman
28,22258,310.403,500,waxman
29,22259,224.808,500,waxman
30,22260,178.465,500,waxman
31,22261,13.7,500,waxman
32,22262,444.172,500,waxman
33,22263,164.189,500,waxman
34,22264,48.301,500,waxman
35,22265,194.241,500,waxman
36,22266,293.563,500,waxman
37,22267,499.033,500,waxman
38,22268,352.572,500,waxman
39,22269,331.833,500,waxman
40,22270,378.515,500,waxman
41,22271,290.925,500,waxman
42,22272,390.771,500,waxman
43,22273,85.724,500,waxman
44,22274,116.47,500,waxman
45,22275,201.826,500,waxman
46,22276,172.142,500,waxman
47,22277,417.952,500,waxman
48,22278,469.108,500,waxman
49,22279,412.889,500,waxman
50,22280,132.114,500,waxman
51,22281,223.258,500,waxman
52,22282,275.502,500,waxman
53,22283,304.173,500,waxman
54,22284,185.401,500,waxman
55,22285,205.957,500,waxman
56,22286,193.429,500,waxman
57,22287,407.505,500,waxman
58,22288,188.198,500,waxman
59,22289,457.622,500,waxman
60,22290,319.553,500,waxman
61,22291,31.908,500,waxman
62,22292,288.59,500,waxman
63,22293,146.972,500,waxman
64,22294,348.717,500,waxman
65,22295,113.846,500,waxman
66,22296,441.689,500,waxman
67,22297,206.518,500,waxman
68,22298,62.757,500,waxman
69,22299,263.027,500,waxman
70,22300,53.994,500,waxman
71,22301,389.251,500,waxman
72,22302,10.072,500,waxman
73,22303,158.545,500,waxman
74,22304,300.071,500,waxman
75,22305,73.09,500,waxman
76,22306,448.597,500,waxman
77,22307,399.877,500,waxman
78,22308,123.909,500,waxman
79,22309,210.804,500,waxman
80,22310,476.857,500,waxman
81,22311,132.574,500,waxman
82,22312,297.151,500,waxman
83,22313,358.767,500,waxman
84,22314,270.505,500,waxman
85,22315,249.438,500,waxman
86,22316,156.893,500,waxman
87,22317,269.195,500,waxman
88,22318,474.997,500,waxman
89,22319,214.574,500,waxman
90,22320,286.88,500,waxman
91,22321,97.375,500,waxman
92,22322,79.007,500,waxman
93,22323,69.889,500,waxman
94,22324,437.614,500,waxman
95,22325,357.955,500,waxman
96,22326,7.748,500,waxman
97,22327,461.466,500,waxman
98,22328,403.32,500,waxman
99,22329,362.469,500,waxman
