,virtual-networks-id,virtual-links-id,virtual-links-source,virtual-links-target,substrate-links-id,bandwidth-demand,max-bandwidth-demand,mapping-algorithm,percentage-infra-resources
0,1,27370,27361,27362,22452,23.05,50,BFS-coordinated-VNE,5
1,1,27371,27361,27363,22450,6.668,50,BFS-coordinated-VNE,5
2,1,27371,27361,27363,22595,6.668,50,BFS-coordinated-VNE,5
3,1,27372,27361,27366,22449,38.664,50,BFS-coordinated-VNE,5
4,1,27372,27361,27366,22349,38.664,50,BFS-coordinated-VNE,5
5,1,27373,27361,27369,22449,48.407,50,BFS-coordinated-VNE,5
6,1,27374,27362,27361,22910,37.251,50,BFS-coordinated-VNE,5
7,1,27374,27362,27361,23005,37.251,50,BFS-coordinated-VNE,5
8,1,27375,27362,27365,22905,11.202,50,BFS-coordinated-VNE,5
9,1,27376,27362,27367,22950,8.558,50,BFS-coordinated-VNE,5
10,1,27377,27362,27368,22922,22.485,50,BFS-coordinated-VNE,5
11,1,27378,27362,27369,22950,15.775,50,BFS-coordinated-VNE,5
12,1,27378,27362,27369,27314,15.775,50,BFS-coordinated-VNE,5
13,1,27379,27363,27361,22402,24.628,50,BFS-coordinated-VNE,5
14,1,27379,27363,27361,22854,24.628,50,BFS-coordinated-VNE,5
15,1,27380,27363,27365,22406,33.148,50,BFS-coordinated-VNE,5
16,1,27380,27363,27365,23509,33.148,50,BFS-coordinated-VNE,5
17,1,27381,27363,27366,22448,20.603,50,BFS-coordinated-VNE,5
18,1,27381,27363,27366,27326,20.603,50,BFS-coordinated-VNE,5
19,1,27382,27363,27367,22448,48.624,50,BFS-coordinated-VNE,5
20,1,27383,27363,27368,22448,37.411,50,BFS-coordinated-VNE,5
21,1,27383,27363,27368,27330,37.411,50,BFS-coordinated-VNE,5
22,1,27384,27363,27369,22400,9.155,50,BFS-coordinated-VNE,5
23,1,27384,27363,27369,22699,9.155,50,BFS-coordinated-VNE,5
24,1,27385,27364,27362,27203,36.22,50,BFS-coordinated-VNE,5
25,1,27385,27364,27362,22336,36.22,50,BFS-coordinated-VNE,5
26,1,27386,27364,27366,27221,6.714,50,BFS-coordinated-VNE,5
27,1,27387,27364,27369,27203,16.086,50,BFS-coordinated-VNE,5
28,1,27388,27365,27361,22596,2.521,50,BFS-coordinated-VNE,5
29,1,27389,27365,27362,22601,29.677,50,BFS-coordinated-VNE,5
30,1,27390,27365,27363,22595,28.715,50,BFS-coordinated-VNE,5
31,1,27391,27365,27364,22647,29.132,50,BFS-coordinated-VNE,5
32,1,27392,27366,27362,23758,4.928,50,BFS-coordinated-VNE,5
33,1,27392,27366,27362,22336,4.928,50,BFS-coordinated-VNE,5
34,1,27393,27366,27363,23761,44.783,50,BFS-coordinated-VNE,5
35,1,27393,27366,27363,22595,44.783,50,BFS-coordinated-VNE,5
36,1,27394,27366,27364,23802,39.287,50,BFS-coordinated-VNE,5
37,1,27395,27366,27368,23778,20.202,50,BFS-coordinated-VNE,5
38,1,27396,27366,27369,23758,2.408,50,BFS-coordinated-VNE,5
39,1,27397,27367,27366,27326,42.118,50,BFS-coordinated-VNE,5
40,1,27398,27367,27368,27330,10.505,50,BFS-coordinated-VNE,5
41,1,27399,27368,27361,24213,40.967,50,BFS-coordinated-VNE,5
42,1,27400,27368,27365,24215,21.977,50,BFS-coordinated-VNE,5
43,1,27401,27368,27367,24266,7.039,50,BFS-coordinated-VNE,5
44,1,27402,27369,27361,22335,46.298,50,BFS-coordinated-VNE,5
45,1,27402,27369,27361,22854,46.298,50,BFS-coordinated-VNE,5
46,1,27403,27369,27367,22337,22.688,50,BFS-coordinated-VNE,5
47,1,27403,27369,27367,23003,22.688,50,BFS-coordinated-VNE,5
48,2,27413,27404,27405,25619,19.642,50,BFS-coordinated-VNE,5
49,2,27414,27404,27406,25607,33.887,50,BFS-coordinated-VNE,5
50,2,27415,27404,27409,25604,43.737,50,BFS-coordinated-VNE,5
51,2,27416,27404,27410,25658,48.073,50,BFS-coordinated-VNE,5
52,2,27417,27404,27412,25611,23.437,50,BFS-coordinated-VNE,5
