,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,27361,22232,8.01,25,redge,waxman,BFS-coordinated-VNE,5
1,1,27362,22241,7.119,25,redge,waxman,BFS-coordinated-VNE,5
2,1,27363,22231,0.908,25,redge,waxman,BFS-coordinated-VNE,5
3,1,27364,22327,4.504,25,redge,waxman,BFS-coordinated-VNE,5
4,1,27365,22235,13.506,25,redge,waxman,BFS-coordinated-VNE,5
5,1,27366,22258,3.085,25,redge,waxman,BFS-coordinated-VNE,5
6,1,27367,22329,22.876,25,redge,waxman,BFS-coordinated-VNE,5
7,1,27368,22267,21.234,25,redge,waxman,BFS-coordinated-VNE,5
8,1,27369,22230,23.553,25,redge,waxman,BFS-coordinated-VNE,5
9,2,27404,22296,21.121,25,redge,waxman,BFS-coordinated-VNE,5
10,2,27405,22258,8.915,25,redge,waxman,BFS-coordinated-VNE,5
11,2,27406,22238,4.01,25,redge,waxman,BFS-coordinated-VNE,5
12,2,27407,22283,6.8,25,redge,waxman,BFS-coordinated-VNE,5
13,2,27408,22235,9.659,25,redge,waxman,BFS-coordinated-VNE,5
14,2,27409,22230,23.705,25,redge,waxman,BFS-coordinated-VNE,5
15,2,27410,22328,21.253,25,redge,waxman,BFS-coordinated-VNE,5
16,2,27411,22231,17.397,25,redge,waxman,BFS-coordinated-VNE,5
17,2,27412,22245,7.789,25,redge,waxman,BFS-coordinated-VNE,5
18,3,27452,22256,9.93,25,redge,waxman,BFS-coordinated-VNE,5
19,3,27453,22328,18.503,25,redge,waxman,BFS-coordinated-VNE,5
20,3,27454,22230,24.199,25,redge,waxman,BFS-coordinated-VNE,5
21,3,27455,22243,8.192,25,redge,waxman,BFS-coordinated-VNE,5
22,3,27456,22235,12.357,25,redge,waxman,BFS-coordinated-VNE,5
23,3,27457,22283,6.509,25,redge,waxman,BFS-coordinated-VNE,5
24,3,27458,22231,20.016,25,redge,waxman,BFS-coordinated-VNE,5
25,3,27459,22282,19.318,25,redge,waxman,BFS-coordinated-VNE,5
26,3,27460,22327,11.97,25,redge,waxman,BFS-coordinated-VNE,5
27,4,27502,22257,3.596,25,redge,waxman,BFS-coordinated-VNE,5
28,4,27503,22290,3.516,25,redge,waxman,BFS-coordinated-VNE,5
29,4,27504,22277,4.947,25,redge,waxman,BFS-coordinated-VNE,5
30,4,27505,22236,0.053,25,redge,waxman,BFS-coordinated-VNE,5
31,4,27506,22233,20.936,25,redge,waxman,BFS-coordinated-VNE,5
32,4,27507,22235,2.368,25,redge,waxman,BFS-coordinated-VNE,5
33,4,27508,22230,16.034,25,redge,waxman,BFS-coordinated-VNE,5
34,4,27509,22327,11.723,25,redge,waxman,BFS-coordinated-VNE,5
35,4,27510,22243,1.883,25,redge,waxman,BFS-coordinated-VNE,5
36,5,27543,22285,3.23,25,redge,waxman,BFS-coordinated-VNE,5
37,5,27544,22230,21.563,25,redge,waxman,BFS-coordinated-VNE,5
38,5,27545,22238,18.89,25,redge,waxman,BFS-coordinated-VNE,5
39,5,27546,22258,6.349,25,redge,waxman,BFS-coordinated-VNE,5
40,5,27547,22283,15.827,25,redge,waxman,BFS-coordinated-VNE,5
41,5,27548,22328,10.126,25,redge,waxman,BFS-coordinated-VNE,5
42,5,27549,22235,6.31,25,redge,waxman,BFS-coordinated-VNE,5
43,5,27550,22296,20.236,25,redge,waxman,BFS-coordinated-VNE,5
44,5,27551,22245,14.621,25,redge,waxman,BFS-coordinated-VNE,5
45,6,27591,22328,13.613,25,redge,waxman,BFS-coordinated-VNE,5
46,6,27592,22256,4.285,25,redge,waxman,BFS-coordinated-VNE,5
47,6,27593,22238,15.173,25,redge,waxman,BFS-coordinated-VNE,5
48,6,27594,22235,16.371,25,redge,waxman,BFS-coordinated-VNE,5
49,6,27595,22230,13.092,25,redge,waxman,BFS-coordinated-VNE,5
