,substrate-links-id,substrate-links-sources,substrate-links-target,bandwidth-resource,max-bandwidth-resource,substrate-topology
0,17622,17621,17620,987.787,1000,grid
1,17623,17620,17621,175.771,1000,grid
2,17625,17624,17621,516.159,1000,grid
3,17626,17621,17624,592.943,1000,grid
4,17628,17627,17624,2.914,1000,grid
5,17629,17624,17627,202.427,1000,grid
6,17631,17630,17627,12.123,1000,grid
7,17632,17627,17630,130.278,1000,grid
8,17634,17633,17630,898.443,1000,grid
9,17635,17630,17633,169.877,1000,grid
10,17637,17636,17633,961.023,1000,grid
11,17638,17633,17636,154.237,1000,grid
12,17640,17639,17636,609.178,1000,grid
13,17641,17636,17639,514.732,1000,grid
14,17643,17642,17639,888.475,1000,grid
15,17644,17639,17642,709.543,1000,grid
16,17646,17645,17642,933.593,1000,grid
17,17647,17642,17645,337.558,1000,grid
18,17649,17648,17620,731.175,1000,grid
19,17650,17620,17648,706.193,1000,grid
20,17652,17651,17621,688.205,1000,grid
21,17653,17621,17651,5.113,1000,grid
22,17654,17651,17648,496.217,1000,grid
23,17655,17648,17651,177.988,1000,grid
24,17657,17656,17624,386.238,1000,grid
25,17658,17624,17656,972.959,1000,grid
26,17659,17656,17651,202.147,1000,grid
27,17660,17651,17656,396.46,1000,grid
28,17662,17661,17627,539.72,1000,grid
29,17663,17627,17661,67.485,1000,grid
30,17664,17661,17656,154.542,1000,grid
31,17665,17656,17661,458.633,1000,grid
32,17667,17666,17630,724.216,1000,grid
33,17668,17630,17666,170.485,1000,grid
34,17669,17666,17661,39.518,1000,grid
35,17670,17661,17666,686.779,1000,grid
36,17672,17671,17633,616.655,1000,grid
37,17673,17633,17671,234.794,1000,grid
38,17674,17671,17666,280.527,1000,grid
39,17675,17666,17671,679.309,1000,grid
40,17677,17676,17636,319.294,1000,grid
41,17678,17636,17676,826.078,1000,grid
42,17679,17676,17671,596.951,1000,grid
43,17680,17671,17676,134.182,1000,grid
44,17682,17681,17639,416.613,1000,grid
45,17683,17639,17681,933.731,1000,grid
46,17684,17681,17676,727.391,1000,grid
47,17685,17676,17681,629.658,1000,grid
48,17687,17686,17642,376.987,1000,grid
49,17688,17642,17686,622.926,1000,grid
50,17689,17686,17681,836.273,1000,grid
51,17690,17681,17686,391.979,1000,grid
52,17692,17691,17645,107.281,1000,grid
53,17693,17645,17691,210.227,1000,grid
54,17694,17691,17686,209.237,1000,grid
55,17695,17686,17691,705.519,1000,grid
56,17697,17696,17648,696.035,1000,grid
57,17698,17648,17696,36.769,1000,grid
58,17700,17699,17651,460.99,1000,grid
59,17701,17651,17699,28.184,1000,grid
60,17702,17699,17696,639.7,1000,grid
61,17703,17696,17699,585.858,1000,grid
62,17705,17704,17656,628.696,1000,grid
63,17706,17656,17704,63.313,1000,grid
64,17707,17704,17699,136.441,1000,grid
65,17708,17699,17704,645.95,1000,grid
66,17710,17709,17661,204.646,1000,grid
67,17711,17661,17709,9.046,1000,grid
68,17712,17709,17704,353.287,1000,grid
69,17713,17704,17709,455.329,1000,grid
70,17715,17714,17666,373.858,1000,grid
71,17716,17666,17714,957.13,1000,grid
72,17717,17714,17709,924.964,1000,grid
73,17718,17709,17714,281.372,1000,grid
74,17720,17719,17671,465.437,1000,grid
75,17721,17671,17719,945.334,1000,grid
76,17722,17719,17714,326.533,1000,grid
77,17723,17714,17719,685.194,1000,grid
78,17725,17724,17676,900.916,1000,grid
79,17726,17676,17724,481.13,1000,grid
80,17727,17724,17719,176.988,1000,grid
81,17728,17719,17724,801.512,1000,grid
82,17730,17729,17681,728.486,1000,grid
83,17731,17681,17729,449.033,1000,grid
84,17732,17729,17724,977.268,1000,grid
85,17733,17724,17729,323.96,1000,grid
86,17735,17734,17686,168.922,1000,grid
87,17736,17686,17734,189.946,1000,grid
88,17737,17734,17729,263.664,1000,grid
89,17738,17729,17734,527.662,1000,grid
90,17740,17739,17691,467.18,1000,grid
91,17741,17691,17739,198.115,1000,grid
92,17742,17739,17734,666.405,1000,grid
93,17743,17734,17739,583.743,1000,grid
94,17745,17744,17696,743.059,1000,grid
95,17746,17696,17744,319.735,1000,grid
96,17748,17747,17699,903.234,1000,grid
97,17749,17699,17747,624.535,1000,grid
98,17750,17747,17744,464.978,1000,grid
99,17751,17744,17747,557.027,1000,grid
100,17753,17752,17704,309.074,1000,grid
101,17754,17704,17752,503.619,1000,grid
102,17755,17752,17747,632.837,1000,grid
103,17756,17747,17752,582.522,1000,grid
104,17758,17757,17709,105.445,1000,grid
105,17759,17709,17757,961.402,1000,grid
106,17760,17757,17752,749.097,1000,grid
107,17761,17752,17757,850.568,1000,grid
108,17763,17762,17714,247.041,1000,grid
109,17764,17714,17762,954.835,1000,grid
110,17765,17762,17757,181.62,1000,grid
111,17766,17757,17762,756.517,1000,grid
112,17768,17767,17719,347.959,1000,grid
113,17769,17719,17767,238.917,1000,grid
114,17770,17767,17762,577.483,1000,grid
115,17771,17762,17767,638.797,1000,grid
