,substrate-nodes-id,cpu-resource,max-cpu-resource,substrate-topology
0,17621,243.058,500,grid
1,17620,494.462,500,grid
2,17624,47.976,500,grid
3,17627,339.56,500,grid
4,17630,208.987,500,grid
5,17633,272.607,500,grid
6,17636,26.324,500,grid
7,17639,209.527,500,grid
8,17642,116.491,500,grid
9,17645,16.685,500,grid
10,17648,337.569,500,grid
11,17651,499.886,500,grid
12,17656,398.232,500,grid
13,17661,388.873,500,grid
14,17666,236.757,500,grid
15,17671,44.137,500,grid
16,17676,431.221,500,grid
17,17681,175.784,500,grid
18,17686,26.907,500,grid
19,17691,128.287,500,grid
20,17696,496.229,500,grid
21,17699,211.686,500,grid
22,17704,279.754,500,grid
23,17709,368.391,500,grid
24,17714,264.386,500,grid
25,17719,257.271,500,grid
26,17724,101.576,500,grid
27,17729,222.97,500,grid
28,17734,240.426,500,grid
29,17739,341.195,500,grid
30,17744,178.48,500,grid
31,17747,290.353,500,grid
32,17752,18.307,500,grid
33,17757,79.906,500,grid
34,17762,457.144,500,grid
35,17767,57.087,500,grid
36,17772,146.825,500,grid
37,17777,140.197,500,grid
38,17782,204.161,500,grid
39,17787,170.322,500,grid
40,17792,360.376,500,grid
41,17795,298.493,500,grid
42,17800,340.034,500,grid
43,17805,104.4,500,grid
44,17810,403.131,500,grid
45,17815,481.032,500,grid
46,17820,362.258,500,grid
47,17825,279.919,500,grid
48,17830,163.707,500,grid
49,17835,239.906,500,grid
50,17840,356.057,500,grid
51,17843,272.104,500,grid
52,17848,341.764,500,grid
53,17853,331.382,500,grid
54,17858,41.03,500,grid
55,17863,214.602,500,grid
56,17868,388.005,500,grid
57,17873,414.921,500,grid
58,17878,17.297,500,grid
59,17883,364.636,500,grid
60,17888,494.698,500,grid
61,17891,384.044,500,grid
62,17896,355.679,500,grid
63,17901,45.978,500,grid
64,17906,465.099,500,grid
65,17911,473.451,500,grid
66,17916,423.068,500,grid
67,17921,327.303,500,grid
68,17926,357.059,500,grid
69,17931,60.757,500,grid
70,17936,346.287,500,grid
71,17939,325.203,500,grid
72,17944,378.607,500,grid
73,17949,495.737,500,grid
74,17954,295.638,500,grid
75,17959,443.55,500,grid
76,17964,111.459,500,grid
77,17969,345.159,500,grid
78,17974,312.748,500,grid
79,17979,173.825,500,grid
80,17984,252.165,500,grid
81,17987,137.088,500,grid
82,17992,216.417,500,grid
83,17997,284.705,500,grid
84,18002,189.993,500,grid
85,18007,24.955,500,grid
86,18012,194.895,500,grid
87,18017,323.385,500,grid
88,18022,385.691,500,grid
89,18027,268.752,500,grid
90,18032,33.322,500,grid
91,18035,336.016,500,grid
92,18040,175.88,500,grid
93,18045,48.379,500,grid
94,18050,31.03,500,grid
95,18055,90.104,500,grid
96,18060,304.133,500,grid
97,18065,382.479,500,grid
98,18070,35.017,500,grid
99,18075,347.827,500,grid
