,virtual-networks-id,virtual-links-id,virtual-links-source,virtual-links-target,substrate-links-id,bandwidth-demand,max-bandwidth-demand,mapping-algorithm,percentage-infra-resources
0,1,18082,18081,18080,17917,17.168,50,BFS-coordinated-VNE,5
1,1,18083,18080,18081,17918,32.501,50,BFS-coordinated-VNE,5
2,1,18085,18084,18081,17965,15.305,50,BFS-coordinated-VNE,5
3,1,18086,18081,18084,17966,39.6,50,BFS-coordinated-VNE,5
4,2,18089,18088,18087,17912,8.57,50,BFS-coordinated-VNE,5
5,2,18090,18087,18088,17913,38.603,50,BFS-coordinated-VNE,5
6,2,18092,18091,18088,17962,42.605,50,BFS-coordinated-VNE,5
7,2,18092,18091,18088,17955,42.605,50,BFS-coordinated-VNE,5
8,2,18092,18091,18088,17915,42.605,50,BFS-coordinated-VNE,5
9,2,18093,18088,18091,17961,40.138,50,BFS-coordinated-VNE,5
10,3,18096,18095,18094,17950,25.538,50,BFS-coordinated-VNE,5
11,3,18097,18094,18095,17951,27.832,50,BFS-coordinated-VNE,5
12,3,18099,18098,18095,17998,31.594,50,BFS-coordinated-VNE,5
13,3,18100,18095,18098,17999,26.411,50,BFS-coordinated-VNE,5
14,4,18103,18102,18101,17950,47.853,50,BFS-coordinated-VNE,5
15,4,18104,18101,18102,17951,34.862,50,BFS-coordinated-VNE,5
16,4,18106,18105,18102,17998,18.704,50,BFS-coordinated-VNE,5
17,4,18107,18102,18105,17999,2.64,50,BFS-coordinated-VNE,5
18,5,18110,18109,18108,17961,33.95,50,BFS-coordinated-VNE,5
19,5,18111,18108,18109,17960,25.189,50,BFS-coordinated-VNE,5
20,5,18113,18112,18109,17913,37.364,50,BFS-coordinated-VNE,5
21,5,18114,18109,18112,17912,34.582,50,BFS-coordinated-VNE,5
22,6,18117,18116,18115,17715,21.958,50,BFS-coordinated-VNE,5
23,6,18118,18115,18116,17716,20.266,50,BFS-coordinated-VNE,5
24,6,18120,18119,18116,17763,35.753,50,BFS-coordinated-VNE,5
25,6,18121,18116,18119,17764,22.635,50,BFS-coordinated-VNE,5
26,7,18124,18123,18122,17715,7.446,50,BFS-coordinated-VNE,5
27,7,18125,18122,18123,17716,20.912,50,BFS-coordinated-VNE,5
