,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,18081,17916,0.407,25,grid,grid,BFS-coordinated-VNE,5
1,1,18080,17868,7.569,25,grid,grid,BFS-coordinated-VNE,5
2,1,18084,17964,5.637,25,grid,grid,BFS-coordinated-VNE,5
3,2,18088,17911,3.636,25,grid,grid,BFS-coordinated-VNE,5
4,2,18087,17863,12.058,25,grid,grid,BFS-coordinated-VNE,5
5,2,18091,17959,8.23,25,grid,grid,BFS-coordinated-VNE,5
6,3,18095,17949,13.396,25,grid,grid,BFS-coordinated-VNE,5
7,3,18094,17901,15.474,25,grid,grid,BFS-coordinated-VNE,5
8,3,18098,17997,10.614,25,grid,grid,BFS-coordinated-VNE,5
9,4,18102,17949,22.88,25,grid,grid,BFS-coordinated-VNE,5
10,4,18101,17901,0.011,25,grid,grid,BFS-coordinated-VNE,5
11,4,18105,17997,11.57,25,grid,grid,BFS-coordinated-VNE,5
12,5,18109,17911,7.727,25,grid,grid,BFS-coordinated-VNE,5
13,5,18108,17959,10.49,25,grid,grid,BFS-coordinated-VNE,5
14,5,18112,17863,16.251,25,grid,grid,BFS-coordinated-VNE,5
15,6,18116,17714,7.274,25,grid,grid,BFS-coordinated-VNE,5
16,6,18115,17666,19.502,25,grid,grid,BFS-coordinated-VNE,5
17,6,18119,17762,7.884,25,grid,grid,BFS-coordinated-VNE,5
18,7,18123,17714,0.13,25,grid,grid,BFS-coordinated-VNE,5
19,7,18122,17666,3.05,25,grid,grid,BFS-coordinated-VNE,5
20,7,18126,17762,15.439,25,grid,grid,BFS-coordinated-VNE,5
21,8,18130,17954,19.996,25,grid,grid,BFS-coordinated-VNE,5
22,8,18129,18002,11.016,25,grid,grid,BFS-coordinated-VNE,5
23,8,18133,17906,22.29,25,grid,grid,BFS-coordinated-VNE,5
24,9,18137,17949,13.192,25,grid,grid,BFS-coordinated-VNE,5
25,9,18136,17997,2.878,25,grid,grid,BFS-coordinated-VNE,5
26,9,18140,17901,3.698,25,grid,grid,BFS-coordinated-VNE,5
27,10,18144,17921,6.364,25,grid,grid,BFS-coordinated-VNE,5
28,10,18143,17873,5.949,25,grid,grid,BFS-coordinated-VNE,5
29,10,18147,17969,4.01,25,grid,grid,BFS-coordinated-VNE,5
30,11,18151,18017,7.318,25,grid,grid,BFS-coordinated-VNE,5
31,11,18150,18065,5.596,25,grid,grid,BFS-coordinated-VNE,5
32,11,18154,17969,9.67,25,grid,grid,BFS-coordinated-VNE,5
33,12,18158,17666,6.889,25,grid,grid,BFS-coordinated-VNE,5
34,12,18157,17714,23.797,25,grid,grid,BFS-coordinated-VNE,5
35,12,18161,17630,0.504,25,grid,grid,BFS-coordinated-VNE,5
36,13,18165,17863,18.055,25,grid,grid,BFS-coordinated-VNE,5
37,13,18164,17815,0.036,25,grid,grid,BFS-coordinated-VNE,5
38,13,18168,17911,17.506,25,grid,grid,BFS-coordinated-VNE,5
39,14,18172,17820,6.911,25,grid,grid,BFS-coordinated-VNE,5
40,14,18171,17868,16.991,25,grid,grid,BFS-coordinated-VNE,5
41,14,18175,17772,17.921,25,grid,grid,BFS-coordinated-VNE,5
42,15,18179,17911,20.345,25,grid,grid,BFS-coordinated-VNE,5
43,15,18178,17863,10.145,25,grid,grid,BFS-coordinated-VNE,5
44,15,18182,17959,11.411,25,grid,grid,BFS-coordinated-VNE,5
45,16,18186,17911,14.596,25,grid,grid,BFS-coordinated-VNE,5
46,16,18185,17959,1.479,25,grid,grid,BFS-coordinated-VNE,5
47,16,18189,17863,19.364,25,grid,grid,BFS-coordinated-VNE,5
48,17,18193,17974,13.588,25,grid,grid,BFS-coordinated-VNE,5
49,17,18192,17926,11.393,25,grid,grid,BFS-coordinated-VNE,5
50,17,18196,18022,0.879,25,grid,grid,BFS-coordinated-VNE,5
51,18,18200,17911,20.989,25,grid,grid,BFS-coordinated-VNE,5
52,18,18199,17863,9.951,25,grid,grid,BFS-coordinated-VNE,5
53,18,18203,17959,8.59,25,grid,grid,BFS-coordinated-VNE,5
54,19,18207,17911,22.117,25,grid,grid,BFS-coordinated-VNE,5
55,19,18206,17959,7.197,25,grid,grid,BFS-coordinated-VNE,5
56,19,18210,17863,7.677,25,grid,grid,BFS-coordinated-VNE,5
57,20,18214,17848,10.308,25,grid,grid,BFS-coordinated-VNE,5
58,20,18213,17800,18.413,25,grid,grid,BFS-coordinated-VNE,5
59,20,18217,17896,7.632,25,grid,grid,BFS-coordinated-VNE,5
