,substrate-nodes-id,cpu-resource,max-cpu-resource,substrate-topology
0,10569,272.42,500,grid
1,10568,152.54,500,grid
2,10572,0.434,500,grid
3,10575,493.178,500,grid
4,10578,20.611,500,grid
5,10581,393.686,500,grid
6,10584,393.339,500,grid
7,10587,72.748,500,grid
8,10590,139.333,500,grid
9,10593,394.395,500,grid
10,10596,427.173,500,grid
11,10599,23.406,500,grid
12,10604,189.395,500,grid
13,10609,279.296,500,grid
14,10614,420.714,500,grid
15,10619,244.113,500,grid
16,10624,136.428,500,grid
17,10629,341.389,500,grid
18,10634,434.594,500,grid
19,10639,348.83,500,grid
20,10644,193.633,500,grid
21,10647,427.229,500,grid
22,10652,5.42,500,grid
23,10657,73.247,500,grid
24,10662,452.177,500,grid
25,10667,428.712,500,grid
26,10672,469.654,500,grid
27,10677,387.621,500,grid
28,10682,336.688,500,grid
29,10687,131.903,500,grid
30,10692,306.533,500,grid
31,10695,334.994,500,grid
32,10700,163.98,500,grid
33,10705,199.222,500,grid
34,10710,396.574,500,grid
35,10715,428.958,500,grid
36,10720,402.028,500,grid
37,10725,290.333,500,grid
38,10730,387.651,500,grid
39,10735,213.216,500,grid
40,10740,123.143,500,grid
41,10743,259.16,500,grid
42,10748,484.146,500,grid
43,10753,306.382,500,grid
44,10758,120.438,500,grid
45,10763,499.771,500,grid
46,10768,426.324,500,grid
47,10773,429.785,500,grid
48,10778,209.873,500,grid
49,10783,352.187,500,grid
50,10788,206.916,500,grid
51,10791,43.456,500,grid
52,10796,371.503,500,grid
53,10801,20.732,500,grid
54,10806,179.736,500,grid
55,10811,296.086,500,grid
56,10816,93.073,500,grid
57,10821,202.124,500,grid
58,10826,151.253,500,grid
59,10831,28.394,500,grid
60,10836,66.643,500,grid
61,10839,68.297,500,grid
62,10844,310.165,500,grid
63,10849,56.181,500,grid
64,10854,254.69,500,grid
65,10859,399.792,500,grid
66,10864,442.318,500,grid
67,10869,399.294,500,grid
68,10874,285.968,500,grid
69,10879,19.587,500,grid
70,10884,298.726,500,grid
71,10887,15.763,500,grid
72,10892,163.38,500,grid
73,10897,234.339,500,grid
74,10902,232.967,500,grid
75,10907,446.605,500,grid
76,10912,366.206,500,grid
77,10917,250.292,500,grid
78,10922,300.921,500,grid
79,10927,76.055,500,grid
80,10932,107.272,500,grid
81,10935,494.449,500,grid
82,10940,420.569,500,grid
83,10945,464.487,500,grid
84,10950,261.98,500,grid
85,10955,438.154,500,grid
86,10960,422.5,500,grid
87,10965,416.784,500,grid
88,10970,320.579,500,grid
89,10975,389.816,500,grid
90,10980,382.8,500,grid
91,10983,107.685,500,grid
92,10988,127.699,500,grid
93,10993,296.287,500,grid
94,10998,19.168,500,grid
95,11003,197.372,500,grid
96,11008,163.827,500,grid
97,11013,368.284,500,grid
98,11018,148.38,500,grid
99,11023,435.577,500,grid
