,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,11028,10864,12.431,25,redge,grid,BFS-coordinated-VNE,5
1,1,11029,10960,13.525,25,redge,grid,BFS-coordinated-VNE,5
2,1,11030,10912,12.124,25,redge,grid,BFS-coordinated-VNE,5
3,2,11033,10945,6.213,25,redge,grid,BFS-coordinated-VNE,5
4,2,11034,10993,14.48,25,redge,grid,BFS-coordinated-VNE,5
5,2,11035,10897,11.425,25,redge,grid,BFS-coordinated-VNE,5
6,3,11039,10629,2.861,25,redge,grid,BFS-coordinated-VNE,5
7,3,11040,10672,24.105,25,redge,grid,BFS-coordinated-VNE,5
8,3,11041,10677,2.932,25,redge,grid,BFS-coordinated-VNE,5
9,4,11044,10662,13.931,25,redge,grid,BFS-coordinated-VNE,5
10,4,11045,10614,5.862,25,redge,grid,BFS-coordinated-VNE,5
11,4,11046,10578,11.799,25,redge,grid,BFS-coordinated-VNE,5
12,5,11049,10945,14.233,25,redge,grid,BFS-coordinated-VNE,5
13,5,11050,10897,13.811,25,redge,grid,BFS-coordinated-VNE,5
14,5,11051,10849,17.562,25,redge,grid,BFS-coordinated-VNE,5
15,6,11055,10907,18.082,25,redge,grid,BFS-coordinated-VNE,5
16,6,11056,10859,3.614,25,redge,grid,BFS-coordinated-VNE,5
17,6,11057,10715,12.568,25,redge,grid,BFS-coordinated-VNE,5
18,7,11059,10897,18.487,25,redge,grid,BFS-coordinated-VNE,5
19,7,11060,10945,18.88,25,redge,grid,BFS-coordinated-VNE,5
20,7,11061,10715,11.227,25,redge,grid,BFS-coordinated-VNE,5
21,8,11064,10907,20.905,25,redge,grid,BFS-coordinated-VNE,5
22,8,11065,10859,8.923,25,redge,grid,BFS-coordinated-VNE,5
23,8,11066,10955,13.964,25,redge,grid,BFS-coordinated-VNE,5
24,9,11070,10907,13.414,25,redge,grid,BFS-coordinated-VNE,5
25,9,11071,10859,4.775,25,redge,grid,BFS-coordinated-VNE,5
26,9,11072,10955,19.658,25,redge,grid,BFS-coordinated-VNE,5
27,10,11076,10672,10.571,25,redge,grid,BFS-coordinated-VNE,5
28,10,11077,10624,22.968,25,redge,grid,BFS-coordinated-VNE,5
29,10,11078,10720,11.373,25,redge,grid,BFS-coordinated-VNE,5
30,11,11082,10614,22.431,25,redge,grid,BFS-coordinated-VNE,5
31,11,11083,10662,23.338,25,redge,grid,BFS-coordinated-VNE,5
32,11,11084,10578,4.114,25,redge,grid,BFS-coordinated-VNE,5
33,12,11088,10748,13.152,25,redge,grid,BFS-coordinated-VNE,5
34,12,11089,10700,9.131,25,redge,grid,BFS-coordinated-VNE,5
35,12,11090,10796,11.452,25,redge,grid,BFS-coordinated-VNE,5
36,13,11093,10700,17.327,25,redge,grid,BFS-coordinated-VNE,5
37,13,11094,10677,4.423,25,redge,grid,BFS-coordinated-VNE,5
38,13,11095,10748,21.597,25,redge,grid,BFS-coordinated-VNE,5
39,14,11097,10859,0.926,25,redge,grid,BFS-coordinated-VNE,5
40,14,11098,10907,4.737,25,redge,grid,BFS-coordinated-VNE,5
41,14,11099,10955,17.228,25,redge,grid,BFS-coordinated-VNE,5
42,15,11103,10614,1.567,25,redge,grid,BFS-coordinated-VNE,5
43,15,11104,10677,21.67,25,redge,grid,BFS-coordinated-VNE,5
44,15,11105,10662,6.198,25,redge,grid,BFS-coordinated-VNE,5
45,16,11107,10715,7.848,25,redge,grid,BFS-coordinated-VNE,5
46,16,11108,10763,23.212,25,redge,grid,BFS-coordinated-VNE,5
47,16,11109,10667,17.933,25,redge,grid,BFS-coordinated-VNE,5
48,17,11113,10677,5.948,25,redge,grid,BFS-coordinated-VNE,5
49,17,11114,10587,4.625,25,redge,grid,BFS-coordinated-VNE,5
50,17,11115,10629,17.89,25,redge,grid,BFS-coordinated-VNE,5
51,18,11118,10725,20.497,25,redge,grid,BFS-coordinated-VNE,5
52,18,11119,10629,7.238,25,redge,grid,BFS-coordinated-VNE,5
53,18,11120,10677,10.844,25,redge,grid,BFS-coordinated-VNE,5
54,19,11124,10796,8.375,25,redge,grid,BFS-coordinated-VNE,5
55,19,11125,10700,18.333,25,redge,grid,BFS-coordinated-VNE,5
56,19,11126,10748,23.406,25,redge,grid,BFS-coordinated-VNE,5
57,20,11130,10945,4.235,25,redge,grid,BFS-coordinated-VNE,5
58,20,11131,10897,13.062,25,redge,grid,BFS-coordinated-VNE,5
59,20,11132,10748,5.903,25,redge,grid,BFS-coordinated-VNE,5
60,21,11135,10629,3.836,25,redge,grid,BFS-coordinated-VNE,5
61,21,11136,10677,11.226,25,redge,grid,BFS-coordinated-VNE,5
62,21,11137,10587,12.424,25,redge,grid,BFS-coordinated-VNE,5
63,22,11141,10763,1.772,25,redge,grid,BFS-coordinated-VNE,5
64,22,11142,10715,20.181,25,redge,grid,BFS-coordinated-VNE,5
65,22,11143,10667,21.375,25,redge,grid,BFS-coordinated-VNE,5
66,23,11146,10912,5.285,25,redge,grid,BFS-coordinated-VNE,5
67,23,11147,10662,17.065,25,redge,grid,BFS-coordinated-VNE,5
68,23,11148,10614,20.014,25,redge,grid,BFS-coordinated-VNE,5
69,24,11150,10700,5.333,25,redge,grid,BFS-coordinated-VNE,5
70,24,11151,10796,9.779,25,redge,grid,BFS-coordinated-VNE,5
71,24,11152,10748,17.123,25,redge,grid,BFS-coordinated-VNE,5
72,25,11157,10677,7.906,25,redge,grid,BFS-coordinated-VNE,5
73,25,11158,10725,0.418,25,redge,grid,BFS-coordinated-VNE,5
74,25,11159,10629,10.344,25,redge,grid,BFS-coordinated-VNE,5
