,substrate-links-id,substrate-links-sources,substrate-links-target,bandwidth-resource,max-bandwidth-resource,substrate-topology
0,2,1,0,730.968,1000,grid
1,3,0,1,240.536,1000,grid
2,5,4,1,637.417,1000,grid
3,6,1,4,550.437,1000,grid
4,8,7,4,597.545,1000,grid
5,9,4,7,333.218,1000,grid
6,11,10,7,385.189,1000,grid
7,12,7,10,984.842,1000,grid
8,14,13,10,879.183,1000,grid
9,15,10,13,941.249,1000,grid
10,17,16,13,274.954,1000,grid
11,18,13,16,128.897,1000,grid
12,20,19,16,146.602,1000,grid
13,21,16,19,23.238,1000,grid
14,23,22,19,546.74,1000,grid
15,24,19,22,964.487,1000,grid
16,26,25,22,104.491,1000,grid
17,27,22,25,625.146,1000,grid
18,29,28,0,410.796,1000,grid
19,30,0,28,776.312,1000,grid
20,32,31,1,990.723,1000,grid
21,33,1,31,487.233,1000,grid
22,34,31,28,746.241,1000,grid
23,35,28,31,733.152,1000,grid
24,37,36,4,817.297,1000,grid
25,38,4,36,838.89,1000,grid
26,39,36,31,526.699,1000,grid
27,40,31,36,899.335,1000,grid
28,42,41,7,133.94,1000,grid
29,43,7,41,83.062,1000,grid
30,44,41,36,978.574,1000,grid
31,45,36,41,722.357,1000,grid
32,47,46,10,715.031,1000,grid
33,48,10,46,143.22,1000,grid
34,49,46,41,462.958,1000,grid
35,50,41,46,4.486,1000,grid
36,52,51,13,71.498,1000,grid
37,53,13,51,348.42,1000,grid
38,54,51,46,338.77,1000,grid
39,55,46,51,859.357,1000,grid
40,57,56,16,971.547,1000,grid
41,58,16,56,865.746,1000,grid
42,59,56,51,612.581,1000,grid
43,60,51,56,178.988,1000,grid
44,62,61,19,217.57,1000,grid
45,63,19,61,854.487,1000,grid
46,64,61,56,9.673,1000,grid
47,65,56,61,692.293,1000,grid
48,67,66,22,771.313,1000,grid
49,68,22,66,712.687,1000,grid
50,69,66,61,211.235,1000,grid
51,70,61,66,783.092,1000,grid
52,72,71,25,945.333,1000,grid
53,73,25,71,14.236,1000,grid
54,74,71,66,394.204,1000,grid
55,75,66,71,853.791,1000,grid
56,77,76,28,786.042,1000,grid
57,78,28,76,993.472,1000,grid
58,80,79,31,883.104,1000,grid
59,81,31,79,170.292,1000,grid
60,82,79,76,962.069,1000,grid
61,83,76,79,724.295,1000,grid
62,85,84,36,677.354,1000,grid
63,86,36,84,804.395,1000,grid
64,87,84,79,441.427,1000,grid
