,substrate-nodes-id,cpu-resource,max-cpu-resource,substrate-topology
0,1,248.53,500,grid
1,0,265.588,500,grid
2,4,351.091,500,grid
3,7,296.396,500,grid
4,10,468.547,500,grid
5,13,186.567,500,grid
6,16,29.065,500,grid
7,19,88.496,500,grid
8,22,206.239,500,grid
9,25,325.199,500,grid
10,28,355.815,500,grid
11,31,471.114,500,grid
12,36,474.68,500,grid
13,41,309.546,500,grid
14,46,360.761,500,grid
15,51,13.997,500,grid
16,56,76.74,500,grid
17,61,46.236,500,grid
18,66,469.877,500,grid
19,71,376.228,500,grid
20,76,93.982,500,grid
21,79,477.839,500,grid
22,84,19.748,500,grid
23,89,105.037,500,grid
24,94,316.109,500,grid
25,99,391.623,500,grid
26,104,180.683,500,grid
27,109,74.437,500,grid
28,114,292.234,500,grid
29,119,416.659,500,grid
30,124,335.649,500,grid
31,127,200.9,500,grid
32,132,201.404,500,grid
33,137,288.152,500,grid
34,142,110.737,500,grid
35,147,460.502,500,grid
36,152,146.482,500,grid
37,157,415.381,500,grid
38,162,42.38,500,grid
39,167,384.809,500,grid
40,172,272.932,500,grid
41,175,262.801,500,grid
42,180,296.767,500,grid
43,185,131.207,500,grid
44,190,301.963,500,grid
45,195,42.6,500,grid
46,200,427.656,500,grid
47,205,407.49,500,grid
48,210,146.17,500,grid
49,215,221.412,500,grid
50,220,370.247,500,grid
51,223,480.208,500,grid
52,228,244.985,500,grid
53,233,363.919,500,grid
54,238,220.804,500,grid
55,243,211.608,500,grid
56,248,117.178,500,grid
57,253,371.688,500,grid
58,258,344.399,500,grid
59,263,50.975,500,grid
60,268,378.076,500,grid
61,271,226.897,500,grid
62,276,486.465,500,grid
63,281,152.753,500,grid
64,286,110.328,500,grid
65,291,417.46,500,grid
66,296,337.74,500,grid
67,301,306.014,500,grid
68,306,8.751,500,grid
69,311,302.62,500,grid
70,316,416.769,500,grid
71,319,137.71,500,grid
72,324,142.176,500,grid
73,329,276.181,500,grid
74,334,189.276,500,grid
75,339,95.585,500,grid
76,344,488.193,500,grid
77,349,198.356,500,grid
78,354,39.551,500,grid
79,359,25.68,500,grid
80,364,100.301,500,grid
81,367,196.591,500,grid
82,372,45.389,500,grid
83,377,234.124,500,grid
84,382,361.215,500,grid
85,387,80.725,500,grid
86,392,485.194,500,grid
87,397,263.187,500,grid
88,402,260.954,500,grid
89,407,278.521,500,grid
90,412,123.527,500,grid
91,415,217.556,500,grid
92,420,13.795,500,grid
93,425,373.86,500,grid
94,430,79.675,500,grid
95,435,348.362,500,grid
96,440,94.326,500,grid
97,445,21.769,500,grid
98,450,482.752,500,grid
99,455,239.713,500,grid
