,virtual-networks-id,virtual-links-id,virtual-links-source,virtual-links-target,substrate-links-id,bandwidth-demand,max-bandwidth-demand,mapping-algorithm,percentage-infra-resources
0,1,463,460,461,37,42.954,50,BFS-coordinated-VNE,5
1,1,464,460,462,86,22.2,50,BFS-coordinated-VNE,5
2,2,468,465,467,33,15.602,50,BFS-coordinated-VNE,5
3,2,469,466,465,80,25.623,50,BFS-coordinated-VNE,5
4,2,469,466,465,32,25.623,50,BFS-coordinated-VNE,5
5,2,470,466,467,80,29.106,50,BFS-coordinated-VNE,5
6,3,474,471,473,80,29.418,50,BFS-coordinated-VNE,5
7,3,475,472,473,33,49.035,50,BFS-coordinated-VNE,5
8,3,476,473,471,81,12.876,50,BFS-coordinated-VNE,5
9,3,477,473,472,32,42.577,50,BFS-coordinated-VNE,5
10,4,481,478,479,33,29.521,50,BFS-coordinated-VNE,5
11,4,482,479,478,32,48.793,50,BFS-coordinated-VNE,5
12,4,483,479,480,81,8.889,50,BFS-coordinated-VNE,5
13,5,487,484,486,293,12.43,50,BFS-coordinated-VNE,5
14,6,491,488,489,32,8.712,50,BFS-coordinated-VNE,5
15,6,492,488,490,40,14.263,50,BFS-coordinated-VNE,5
16,6,492,488,490,86,14.263,50,BFS-coordinated-VNE,5
17,6,492,488,490,87,14.263,50,BFS-coordinated-VNE,5
18,6,493,489,488,33,33.02,50,BFS-coordinated-VNE,5
19,6,494,490,488,80,17.252,50,BFS-coordinated-VNE,5
20,7,498,496,497,345,16.122,50,BFS-coordinated-VNE,5
21,7,499,497,496,346,23.896,50,BFS-coordinated-VNE,5
22,8,503,501,502,38,1.535,50,BFS-coordinated-VNE,5
23,8,504,502,501,37,45.641,50,BFS-coordinated-VNE,5
24,9,508,505,506,33,43.05,50,BFS-coordinated-VNE,5
25,9,509,507,505,3,3.953,50,BFS-coordinated-VNE,5
26,10,513,510,511,33,30.17,50,BFS-coordinated-VNE,5
27,10,513,510,511,81,30.17,50,BFS-coordinated-VNE,5
28,10,514,510,512,33,30.107,50,BFS-coordinated-VNE,5
29,10,515,511,512,80,45.574,50,BFS-coordinated-VNE,5
30,10,516,512,510,32,40.119,50,BFS-coordinated-VNE,5
31,11,520,518,517,5,7.055,50,BFS-coordinated-VNE,5
32,11,521,518,519,38,1.427,50,BFS-coordinated-VNE,5
33,11,522,519,518,37,9.738,50,BFS-coordinated-VNE,5
34,12,526,523,525,80,47.311,50,BFS-coordinated-VNE,5
35,12,527,524,523,6,44.884,50,BFS-coordinated-VNE,5
36,12,527,524,523,38,44.884,50,BFS-coordinated-VNE,5
37,12,527,524,523,86,44.884,50,BFS-coordinated-VNE,5
38,12,527,524,523,87,44.884,50,BFS-coordinated-VNE,5
39,12,528,524,525,33,15.411,50,BFS-coordinated-VNE,5
40,12,529,525,524,32,18.176,50,BFS-coordinated-VNE,5
41,13,533,530,531,33,32.951,50,BFS-coordinated-VNE,5
42,13,534,530,532,33,25.28,50,BFS-coordinated-VNE,5
43,13,534,530,532,81,25.28,50,BFS-coordinated-VNE,5
44,13,535,531,530,32,42.045,50,BFS-coordinated-VNE,5
45,13,536,532,531,80,42.001,50,BFS-coordinated-VNE,5
46,14,540,537,538,37,27.822,50,BFS-coordinated-VNE,5
47,14,541,537,539,86,13.411,50,BFS-coordinated-VNE,5
48,14,542,538,537,38,21.281,50,BFS-coordinated-VNE,5
49,14,543,539,537,85,16.135,50,BFS-coordinated-VNE,5
50,14,544,539,538,85,4.085,50,BFS-coordinated-VNE,5
51,14,544,539,538,37,4.085,50,BFS-coordinated-VNE,5
52,15,548,545,547,6,8.261,50,BFS-coordinated-VNE,5
53,15,549,546,547,37,39.129,50,BFS-coordinated-VNE,5
54,15,550,547,546,38,8.735,50,BFS-coordinated-VNE,5
55,16,554,551,552,33,48.524,50,BFS-coordinated-VNE,5
56,16,554,551,552,81,48.524,50,BFS-coordinated-VNE,5
57,16,555,551,553,33,21.509,50,BFS-coordinated-VNE,5
58,16,556,553,551,32,26.651,50,BFS-coordinated-VNE,5
59,16,557,553,552,81,41.843,50,BFS-coordinated-VNE,5
60,17,561,558,560,80,0.876,50,BFS-coordinated-VNE,5
61,17,561,558,560,32,0.876,50,BFS-coordinated-VNE,5
62,17,562,559,558,40,20.098,50,BFS-coordinated-VNE,5
63,17,562,559,558,86,20.098,50,BFS-coordinated-VNE,5
64,17,562,559,558,87,20.098,50,BFS-coordinated-VNE,5
65,17,563,559,560,32,20.723,50,BFS-coordinated-VNE,5
66,17,564,560,559,33,26.514,50,BFS-coordinated-VNE,5
67,18,568,566,567,3,38.925,50,BFS-coordinated-VNE,5
68,18,569,567,565,2,22.469,50,BFS-coordinated-VNE,5
69,18,569,567,565,30,22.469,50,BFS-coordinated-VNE,5
70,18,569,567,565,35,22.469,50,BFS-coordinated-VNE,5
71,19,573,571,572,32,42.278,50,BFS-coordinated-VNE,5
72,19,574,572,570,2,27.485,50,BFS-coordinated-VNE,5
73,19,575,572,571,33,43.756,50,BFS-coordinated-VNE,5
74,20,579,577,576,32,16.19,50,BFS-coordinated-VNE,5
75,20,580,577,578,40,32.61,50,BFS-coordinated-VNE,5
76,20,580,577,578,86,32.61,50,BFS-coordinated-VNE,5
77,20,580,577,578,87,32.61,50,BFS-coordinated-VNE,5
78,21,584,581,582,298,4.768,50,BFS-coordinated-VNE,5
79,21,585,582,581,297,15.349,50,BFS-coordinated-VNE,5
80,21,586,582,583,346,28.672,50,BFS-coordinated-VNE,5
81,22,590,587,588,40,3.773,50,BFS-coordinated-VNE,5
82,22,590,587,588,86,3.773,50,BFS-coordinated-VNE,5
83,22,590,587,588,87,3.773,50,BFS-coordinated-VNE,5
84,22,591,587,589,32,40.616,50,BFS-coordinated-VNE,5
85,22,592,588,587,80,29.455,50,BFS-coordinated-VNE,5
86,22,593,588,589,80,30.79,50,BFS-coordinated-VNE,5
87,22,593,588,589,32,30.79,50,BFS-coordinated-VNE,5
88,22,594,589,587,33,23.311,50,BFS-coordinated-VNE,5
89,23,598,597,595,2,27.49,50,BFS-coordinated-VNE,5
90,23,598,597,595,30,27.49,50,BFS-coordinated-VNE,5
91,23,598,597,595,35,27.49,50,BFS-coordinated-VNE,5
92,24,602,601,600,225,3.418,50,BFS-coordinated-VNE,5
93,25,606,604,603,85,22.595,50,BFS-coordinated-VNE,5
