,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,5075,48,12.705,25,grid,redge,BFS-coordinated-VNE,5
1,1,5074,7,13.26,25,grid,redge,BFS-coordinated-VNE,5
2,1,5078,99,6.403,25,grid,redge,BFS-coordinated-VNE,5
3,2,5082,88,22.707,25,grid,redge,BFS-coordinated-VNE,5
4,2,5081,1,10.537,25,grid,redge,BFS-coordinated-VNE,5
5,2,5085,98,6.137,25,grid,redge,BFS-coordinated-VNE,5
6,3,5089,64,23.727,25,grid,redge,BFS-coordinated-VNE,5
7,3,5088,0,15.722,25,grid,redge,BFS-coordinated-VNE,5
8,3,5092,93,11.64,25,grid,redge,BFS-coordinated-VNE,5
9,4,5096,31,21.675,25,grid,redge,BFS-coordinated-VNE,5
10,4,5095,1,7.908,25,grid,redge,BFS-coordinated-VNE,5
11,4,5099,99,3.635,25,grid,redge,BFS-coordinated-VNE,5
12,5,5103,88,19.132,25,grid,redge,BFS-coordinated-VNE,5
13,5,5102,98,23.169,25,grid,redge,BFS-coordinated-VNE,5
14,5,5106,1,11.466,25,grid,redge,BFS-coordinated-VNE,5
15,6,5110,64,24.445,25,grid,redge,BFS-coordinated-VNE,5
16,6,5109,93,1.508,25,grid,redge,BFS-coordinated-VNE,5
17,6,5113,0,6.489,25,grid,redge,BFS-coordinated-VNE,5
18,7,5117,88,20.888,25,grid,redge,BFS-coordinated-VNE,5
19,7,5116,98,9.424,25,grid,redge,BFS-coordinated-VNE,5
20,7,5120,1,22.594,25,grid,redge,BFS-coordinated-VNE,5
21,8,5124,65,23.817,25,grid,redge,BFS-coordinated-VNE,5
22,8,5123,97,12.989,25,grid,redge,BFS-coordinated-VNE,5
23,8,5127,1,6.574,25,grid,redge,BFS-coordinated-VNE,5
24,9,5131,0,19.612,25,grid,redge,BFS-coordinated-VNE,5
25,9,5130,65,8.41,25,grid,redge,BFS-coordinated-VNE,5
26,9,5134,1,22.595,25,grid,redge,BFS-coordinated-VNE,5
27,10,5138,64,7.482,25,grid,redge,BFS-coordinated-VNE,5
28,10,5137,93,11.044,25,grid,redge,BFS-coordinated-VNE,5
29,10,5141,0,18.748,25,grid,redge,BFS-coordinated-VNE,5
30,11,5145,64,22.514,25,grid,redge,BFS-coordinated-VNE,5
31,11,5144,93,22.324,25,grid,redge,BFS-coordinated-VNE,5
32,11,5148,0,18.864,25,grid,redge,BFS-coordinated-VNE,5
33,12,5152,31,12.724,25,grid,redge,BFS-coordinated-VNE,5
34,12,5151,99,9.808,25,grid,redge,BFS-coordinated-VNE,5
35,12,5155,1,16.872,25,grid,redge,BFS-coordinated-VNE,5
36,13,5159,48,20.203,25,grid,redge,BFS-coordinated-VNE,5
37,13,5158,7,17.369,25,grid,redge,BFS-coordinated-VNE,5
38,13,5162,99,23.976,25,grid,redge,BFS-coordinated-VNE,5
39,14,5166,31,5.472,25,grid,redge,BFS-coordinated-VNE,5
40,14,5165,1,20.676,25,grid,redge,BFS-coordinated-VNE,5
41,14,5169,99,0.026,25,grid,redge,BFS-coordinated-VNE,5
42,15,5173,0,1.685,25,grid,redge,BFS-coordinated-VNE,5
43,15,5172,65,14.84,25,grid,redge,BFS-coordinated-VNE,5
44,15,5176,1,15.566,25,grid,redge,BFS-coordinated-VNE,5
45,16,5180,0,0.969,25,grid,redge,BFS-coordinated-VNE,5
46,16,5179,64,24.434,25,grid,redge,BFS-coordinated-VNE,5
47,16,5183,1,5.83,25,grid,redge,BFS-coordinated-VNE,5
48,17,5187,88,8.042,25,grid,redge,BFS-coordinated-VNE,5
49,17,5186,98,6.865,25,grid,redge,BFS-coordinated-VNE,5
50,17,5190,1,5.998,25,grid,redge,BFS-coordinated-VNE,5
51,18,5194,31,21.885,25,grid,redge,BFS-coordinated-VNE,5
52,18,5193,1,20.976,25,grid,redge,BFS-coordinated-VNE,5
53,18,5197,99,21.529,25,grid,redge,BFS-coordinated-VNE,5
54,19,5201,1,19.513,25,grid,redge,BFS-coordinated-VNE,5
55,19,5200,0,7.917,25,grid,redge,BFS-coordinated-VNE,5
56,19,5204,31,17.187,25,grid,redge,BFS-coordinated-VNE,5
57,20,5208,7,20.455,25,grid,redge,BFS-coordinated-VNE,5
58,20,5207,48,20.699,25,grid,redge,BFS-coordinated-VNE,5
59,20,5211,0,13.354,25,grid,redge,BFS-coordinated-VNE,5
60,21,5215,64,21.864,25,grid,redge,BFS-coordinated-VNE,5
61,21,5214,0,20.636,25,grid,redge,BFS-coordinated-VNE,5
62,21,5218,93,9.427,25,grid,redge,BFS-coordinated-VNE,5
63,22,5222,48,9.744,25,grid,redge,BFS-coordinated-VNE,5
64,22,5221,7,7.868,25,grid,redge,BFS-coordinated-VNE,5
65,22,5225,99,2.337,25,grid,redge,BFS-coordinated-VNE,5
66,23,5229,0,2.831,25,grid,redge,BFS-coordinated-VNE,5
67,23,5228,1,9.881,25,grid,redge,BFS-coordinated-VNE,5
68,23,5232,3,7.213,25,grid,redge,BFS-coordinated-VNE,5
69,24,5236,31,9.762,25,grid,redge,BFS-coordinated-VNE,5
70,24,5235,99,2.542,25,grid,redge,BFS-coordinated-VNE,5
71,24,5239,1,24.138,25,grid,redge,BFS-coordinated-VNE,5
72,25,5243,64,3.489,25,grid,redge,BFS-coordinated-VNE,5
73,25,5242,0,22.872,25,grid,redge,BFS-coordinated-VNE,5
74,25,5246,93,9.42,25,grid,redge,BFS-coordinated-VNE,5
