,substrate-nodes-id,cpu-resource,max-cpu-resource,substrate-topology
0,30830,173.245,500,redge
1,30831,60.26,500,redge
2,30832,181.404,500,redge
3,30833,269.698,500,redge
4,30834,231.726,500,redge
5,30835,229.742,500,redge
6,30836,58.938,500,redge
7,30837,460.831,500,redge
8,30838,351.299,500,redge
9,30839,447.26,500,redge
10,30840,104.014,500,redge
11,30841,427.943,500,redge
12,30842,132.49,500,redge
13,30843,22.9,500,redge
14,30844,72.48,500,redge
15,30845,46.063,500,redge
16,30846,364.167,500,redge
17,30847,344.14,500,redge
18,30848,452.024,500,redge
19,30849,315.401,500,redge
20,30850,418.038,500,redge
21,30851,184.802,500,redge
22,30852,40.051,500,redge
23,30853,340.856,500,redge
24,30854,343.828,500,redge
25,30855,311.637,500,redge
26,30856,212.666,500,redge
27,30857,173.398,500,redge
28,30858,374.181,500,redge
29,30859,35.229,500,redge
30,30860,294.31,500,redge
31,30861,331.153,500,redge
32,30862,343.782,500,redge
33,30863,119.955,500,redge
34,30864,334.483,500,redge
35,30865,250.157,500,redge
36,30866,150.679,500,redge
37,30867,188.96,500,redge
38,30868,73.147,500,redge
39,30869,49.964,500,redge
40,30870,339.492,500,redge
41,30871,434.39,500,redge
42,30872,429.596,500,redge
43,30873,337.723,500,redge
44,30874,165.943,500,redge
45,30875,70.582,500,redge
46,30876,480.933,500,redge
47,30877,315.786,500,redge
48,30878,110.087,500,redge
49,30879,48.484,500,redge
50,30880,105.762,500,redge
51,30881,202.595,500,redge
52,30882,241.62,500,redge
53,30883,83.254,500,redge
54,30884,256.324,500,redge
55,30885,424.296,500,redge
56,30886,104.836,500,redge
57,30887,33.817,500,redge
58,30888,187.985,500,redge
59,30889,185.454,500,redge
60,30890,383.076,500,redge
61,30891,113.08,500,redge
62,30892,418.878,500,redge
63,30893,381.213,500,redge
64,30894,22.904,500,redge
65,30895,300.611,500,redge
66,30896,214.45,500,redge
67,30897,370.386,500,redge
68,30898,246.816,500,redge
69,30899,175.722,500,redge
70,30900,491.749,500,redge
71,30901,389.224,500,redge
72,30902,459.919,500,redge
73,30903,188.269,500,redge
74,30904,216.552,500,redge
75,30905,348.973,500,redge
76,30906,460.819,500,redge
77,30907,136.891,500,redge
78,30908,122.731,500,redge
79,30909,426.849,500,redge
80,30910,99.852,500,redge
81,30911,329.981,500,redge
82,30912,417.771,500,redge
83,30913,229.668,500,redge
84,30914,88.843,500,redge
85,30915,63.375,500,redge
86,30916,50.915,500,redge
87,30917,382.158,500,redge
88,30918,55.732,500,redge
89,30919,160.57,500,redge
90,30920,111.169,500,redge
91,30921,167.817,500,redge
92,30922,154.683,500,redge
93,30923,386.214,500,redge
94,30924,491.216,500,redge
95,30925,329.212,500,redge
96,30926,87.714,500,redge
97,30927,61.675,500,redge
98,30928,100.274,500,redge
99,30929,316.74,500,redge
