,virtual-networks-id,virtual-links-id,virtual-links-source,virtual-links-target,substrate-links-id,bandwidth-demand,max-bandwidth-demand,mapping-algorithm,percentage-infra-resources
0,1,35907,35906,35904,34412,26.742,50,BFS-coordinated-VNE,5
1,1,35908,35906,35905,34466,18.269,50,BFS-coordinated-VNE,5
2,2,35912,35909,35910,34466,26.345,50,BFS-coordinated-VNE,5
3,2,35913,35909,35911,34412,21.311,50,BFS-coordinated-VNE,5
4,2,35914,35911,35909,30966,22.525,50,BFS-coordinated-VNE,5
5,3,35918,35915,35917,31813,41.063,50,BFS-coordinated-VNE,5
6,3,35919,35917,35915,30931,5.919,50,BFS-coordinated-VNE,5
7,3,35919,35917,35915,31043,5.919,50,BFS-coordinated-VNE,5
8,4,35923,35921,35920,30933,40.782,50,BFS-coordinated-VNE,5
9,4,35924,35922,35921,30985,33.863,50,BFS-coordinated-VNE,5
10,5,35928,35925,35926,35809,1.599,50,BFS-coordinated-VNE,5
11,5,35928,35925,35926,30952,1.599,50,BFS-coordinated-VNE,5
12,5,35929,35926,35925,33257,4.394,50,BFS-coordinated-VNE,5
13,5,35930,35927,35926,31060,33.212,50,BFS-coordinated-VNE,5
14,6,35934,35932,35931,30931,16.77,50,BFS-coordinated-VNE,5
15,6,35934,35932,35931,31043,16.77,50,BFS-coordinated-VNE,5
16,7,35938,35935,35936,33201,31.627,50,BFS-coordinated-VNE,5
17,7,35939,35936,35935,31010,39.721,50,BFS-coordinated-VNE,5
18,8,35943,35940,35941,31283,29.819,50,BFS-coordinated-VNE,5
19,8,35944,35941,35940,30933,34.108,50,BFS-coordinated-VNE,5
20,8,35945,35942,35940,35752,4.704,50,BFS-coordinated-VNE,5
21,9,35949,35947,35946,30933,44.741,50,BFS-coordinated-VNE,5
22,9,35950,35948,35946,30985,0.953,50,BFS-coordinated-VNE,5
23,9,35950,35948,35946,30933,0.953,50,BFS-coordinated-VNE,5
24,9,35951,35948,35947,30985,13.168,50,BFS-coordinated-VNE,5
25,10,35955,35953,35952,31010,35.877,50,BFS-coordinated-VNE,5
26,10,35956,35954,35952,35809,34.619,50,BFS-coordinated-VNE,5
27,10,35956,35954,35952,30952,34.619,50,BFS-coordinated-VNE,5
28,10,35957,35954,35953,35810,4.388,50,BFS-coordinated-VNE,5
29,11,35961,35958,35959,31283,38.58,50,BFS-coordinated-VNE,5
30,11,35962,35959,35958,30933,10.929,50,BFS-coordinated-VNE,5
31,11,35963,35960,35958,35752,37.229,50,BFS-coordinated-VNE,5
32,12,35967,35964,35965,31283,23.397,50,BFS-coordinated-VNE,5
33,12,35968,35964,35966,31286,2.466,50,BFS-coordinated-VNE,5
34,13,35972,35969,35971,31010,11.038,50,BFS-coordinated-VNE,5
35,14,35976,35973,35974,31010,39.152,50,BFS-coordinated-VNE,5
36,14,35977,35975,35973,35810,4.841,50,BFS-coordinated-VNE,5
37,14,35978,35975,35974,35809,15.542,50,BFS-coordinated-VNE,5
38,14,35978,35975,35974,30952,15.542,50,BFS-coordinated-VNE,5
39,15,35982,35979,35981,35852,14.431,50,BFS-coordinated-VNE,5
40,15,35982,35979,35981,30966,14.431,50,BFS-coordinated-VNE,5
41,16,35986,35983,35984,33257,31.966,50,BFS-coordinated-VNE,5
42,16,35987,35984,35985,35809,8.205,50,BFS-coordinated-VNE,5
43,16,35987,35984,35985,30931,8.205,50,BFS-coordinated-VNE,5
44,16,35988,35985,35983,31060,14.391,50,BFS-coordinated-VNE,5
45,17,35992,35990,35991,35852,33.313,50,BFS-coordinated-VNE,5
46,17,35993,35991,35989,30967,0.932,50,BFS-coordinated-VNE,5
47,18,35997,35995,35996,34412,26.49,50,BFS-coordinated-VNE,5
48,18,35998,35996,35994,30984,9.887,50,BFS-coordinated-VNE,5
49,18,35999,35996,35995,30966,5.31,50,BFS-coordinated-VNE,5
50,19,36003,36001,36002,30933,26.875,50,BFS-coordinated-VNE,5
51,19,36004,36002,36000,31332,27.727,50,BFS-coordinated-VNE,5
52,19,36005,36002,36001,31283,13.141,50,BFS-coordinated-VNE,5
53,20,36009,36006,36007,30966,19.733,50,BFS-coordinated-VNE,5
54,20,36010,36007,36006,34412,30.719,50,BFS-coordinated-VNE,5
55,21,36014,36012,36011,35809,0.629,50,BFS-coordinated-VNE,5
56,21,36014,36012,36011,30952,0.629,50,BFS-coordinated-VNE,5
57,22,36018,36015,36016,30933,40.249,50,BFS-coordinated-VNE,5
58,22,36019,36017,36016,35752,9.125,50,BFS-coordinated-VNE,5
59,23,36023,36022,36021,35903,10.199,50,BFS-coordinated-VNE,5
60,23,36023,36022,36021,35819,10.199,50,BFS-coordinated-VNE,5
61,24,36027,36024,36026,31333,23.808,50,BFS-coordinated-VNE,5
62,24,36028,36025,36024,35857,29.333,50,BFS-coordinated-VNE,5
63,24,36029,36026,36024,30930,4.042,50,BFS-coordinated-VNE,5
64,24,36029,36026,36024,30988,4.042,50,BFS-coordinated-VNE,5
65,24,36030,36026,36025,30984,25.358,50,BFS-coordinated-VNE,5
66,25,36034,36031,36032,31391,3.077,50,BFS-coordinated-VNE,5
67,25,36035,36031,36033,31333,29.221,50,BFS-coordinated-VNE,5
68,25,36036,36032,36031,35857,0.07,50,BFS-coordinated-VNE,5
69,25,36037,36033,36031,30930,16.258,50,BFS-coordinated-VNE,5
70,25,36037,36033,36031,30988,16.258,50,BFS-coordinated-VNE,5
