,substrate-links-id,substrate-links-sources,substrate-links-target,bandwidth-resource,max-bandwidth-resource,substrate-topology
0,100,0,1,409.428,1000,redge
1,101,0,2,522.542,1000,redge
2,102,0,6,376.192,1000,redge
3,103,0,7,153.822,1000,redge
4,104,0,10,551.24,1000,redge
5,105,0,11,352.403,1000,redge
6,106,0,12,717.654,1000,redge
7,107,0,15,601.942,1000,redge
8,108,0,16,803.656,1000,redge
9,109,0,21,788.573,1000,redge
10,110,0,22,64.904,1000,redge
11,111,0,25,487.745,1000,redge
12,112,0,30,349.738,1000,redge
13,113,0,31,411.997,1000,redge
14,114,0,32,86.13,1000,redge
15,115,0,36,794.325,1000,redge
16,116,0,39,990.664,1000,redge
17,117,0,40,82.087,1000,redge
18,118,0,42,176.95,1000,redge
19,119,0,43,699.381,1000,redge
20,120,0,44,115.635,1000,redge
21,121,0,45,435.469,1000,redge
22,122,0,46,818.567,1000,redge
23,123,0,47,757.345,1000,redge
24,124,0,49,249.013,1000,redge
25,125,0,50,691.19,1000,redge
26,126,0,51,627.432,1000,redge
27,127,0,53,925.688,1000,redge
28,128,0,54,352.688,1000,redge
29,129,0,57,156.441,1000,redge
30,130,0,61,302.236,1000,redge
31,131,0,62,1.856,1000,redge
32,132,0,64,437.676,1000,redge
33,133,0,65,804.418,1000,redge
34,134,0,67,815.696,1000,redge
35,135,0,69,405.421,1000,redge
36,136,0,70,196.135,1000,redge
37,137,0,71,304.728,1000,redge
38,138,0,72,621.409,1000,redge
39,139,0,73,139.479,1000,redge
40,140,0,74,303.517,1000,redge
41,141,0,77,926.765,1000,redge
42,142,0,79,350.179,1000,redge
43,143,0,80,195.96,1000,redge
44,144,0,83,760.242,1000,redge
45,145,0,84,807.802,1000,redge
46,146,0,86,455.573,1000,redge
47,147,0,89,631.446,1000,redge
48,148,0,93,143.313,1000,redge
49,149,0,94,180.055,1000,redge
50,150,0,95,535.033,1000,redge
51,151,0,96,33.265,1000,redge
52,152,0,97,920.472,1000,redge
53,153,0,98,284.791,1000,redge
54,154,0,99,600.763,1000,redge
55,155,1,0,120.016,1000,redge
56,156,1,4,42.994,1000,redge
57,157,1,6,866.558,1000,redge
58,158,1,8,403.689,1000,redge
59,159,1,10,776.368,1000,redge
60,160,1,11,877.953,1000,redge
61,161,1,13,336.939,1000,redge
62,162,1,14,24.141,1000,redge
63,163,1,15,908.887,1000,redge
64,164,1,17,166.741,1000,redge
65,165,1,21,924.753,1000,redge
66,166,1,22,334.514,1000,redge
67,167,1,23,127.798,1000,redge
68,168,1,24,103.879,1000,redge
69,169,1,29,388.405,1000,redge
70,170,1,30,612.016,1000,redge
71,171,1,32,409.001,1000,redge
72,172,1,33,818.61,1000,redge
73,173,1,36,156.154,1000,redge
74,174,1,37,533.711,1000,redge
75,175,1,38,571.361,1000,redge
76,176,1,39,511.515,1000,redge
77,177,1,42,81.331,1000,redge
78,178,1,43,21.421,1000,redge
79,179,1,45,616.138,1000,redge
80,180,1,46,249.337,1000,redge
81,181,1,48,352.093,1000,redge
82,182,1,50,920.631,1000,redge
83,183,1,53,718.665,1000,redge
84,184,1,54,953.464,1000,redge
85,185,1,56,479.078,1000,redge
86,186,1,57,295.439,1000,redge
87,187,1,58,936.728,1000,redge
88,188,1,60,430.969,1000,redge
89,189,1,62,699.379,1000,redge
90,190,1,67,200.638,1000,redge
91,191,1,68,505.81,1000,redge
92,192,1,69,391.837,1000,redge
93,193,1,70,581.528,1000,redge
94,194,1,77,152.41,1000,redge
95,195,1,78,928.266,1000,redge
96,196,1,79,271.997,1000,redge
97,197,1,82,93.728,1000,redge
98,198,1,84,160.7,1000,redge
99,199,1,85,931.635,1000,redge
100,200,1,88,338.996,1000,redge
101,201,1,89,906.369,1000,redge
102,202,1,93,109.181,1000,redge
103,203,1,94,770.753,1000,redge
104,204,1,96,995.624,1000,redge
105,205,1,98,239.877,1000,redge
106,206,2,0,472.844,1000,redge
107,207,2,6,278.946,1000,redge
108,208,2,8,416.529,1000,redge
109,209,2,11,140.267,1000,redge
110,210,2,12,848.567,1000,redge
111,211,2,15,535.551,1000,redge
112,212,2,17,653.848,1000,redge
113,213,2,18,667.285,1000,redge
114,214,2,19,540.653,1000,redge
115,215,2,22,10.112,1000,redge
116,216,2,24,130.091,1000,redge
117,217,2,26,113.824,1000,redge
118,218,2,27,491.159,1000,redge
119,219,2,31,568.079,1000,redge
120,220,2,34,999.994,1000,redge
121,221,2,35,40.334,1000,redge
122,222,2,37,173.934,1000,redge
123,223,2,38,778.451,1000,redge
124,224,2,40,207.798,1000,redge
125,225,2,41,604.24,1000,redge
126,226,2,42,681.657,1000,redge
127,227,2,43,550.74,1000,redge
128,228,2,44,192.368,1000,redge
129,229,2,45,391.921,1000,redge
130,230,2,46,126.743,1000,redge
131,231,2,48,246.805,1000,redge
132,232,2,53,99.806,1000,redge
133,233,2,54,719.575,1000,redge
134,234,2,55,649.864,1000,redge
135,235,2,57,62.491,1000,redge
136,236,2,59,51.683,1000,redge
137,237,2,60,159.368,1000,redge
138,238,2,62,783.897,1000,redge
139,239,2,64,654.708,1000,redge
