,substrate-nodes-id,cpu-resource,max-cpu-resource,substrate-topology
0,0,149.768,500,redge
1,1,448.705,500,redge
2,2,311.231,500,redge
3,3,415.05,500,redge
4,4,274.186,500,redge
5,5,59.197,500,redge
6,6,238.396,500,redge
7,7,408.575,500,redge
8,8,60.947,500,redge
9,9,77.542,500,redge
10,10,418.752,500,redge
11,11,438.544,500,redge
12,12,322.668,500,redge
13,13,69.358,500,redge
14,14,68.31,500,redge
15,15,115.288,500,redge
16,16,435.159,500,redge
17,17,92.651,500,redge
18,18,129.926,500,redge
19,19,219.583,500,redge
20,20,433.48,500,redge
21,21,26.039,500,redge
22,22,81.361,500,redge
23,23,21.384,500,redge
24,24,47.534,500,redge
25,25,284.812,500,redge
26,26,328.762,500,redge
27,27,261.011,500,redge
28,28,144.887,500,redge
29,29,256.388,500,redge
30,30,288.254,500,redge
31,31,425.353,500,redge
32,32,416.125,500,redge
33,33,142.675,500,redge
34,34,383.795,500,redge
35,35,377.953,500,redge
36,36,146.424,500,redge
37,37,18.448,500,redge
38,38,205.575,500,redge
39,39,343.724,500,redge
40,40,65.873,500,redge
41,41,302.032,500,redge
42,42,479.986,500,redge
43,43,206.55,500,redge
44,44,60.692,500,redge
45,45,487.438,500,redge
46,46,299.521,500,redge
47,47,51.196,500,redge
48,48,457.63,500,redge
49,49,405.536,500,redge
50,50,248.993,500,redge
51,51,369.709,500,redge
52,52,164.637,500,redge
53,53,465.947,500,redge
54,54,143.037,500,redge
55,55,356.871,500,redge
56,56,162.341,500,redge
57,57,281.039,500,redge
58,58,59.131,500,redge
59,59,239.32,500,redge
60,60,192.893,500,redge
61,61,288.731,500,redge
62,62,210.195,500,redge
63,63,118.561,500,redge
64,64,485.439,500,redge
65,65,471.783,500,redge
66,66,451.372,500,redge
67,67,359.389,500,redge
68,68,490.759,500,redge
69,69,17.829,500,redge
70,70,356.637,500,redge
71,71,122.116,500,redge
72,72,371.554,500,redge
73,73,276.611,500,redge
74,74,332.692,500,redge
75,75,219.543,500,redge
76,76,409.405,500,redge
77,77,148.697,500,redge
78,78,159.907,500,redge
79,79,77.721,500,redge
80,80,44.603,500,redge
81,81,83.446,500,redge
82,82,163.099,500,redge
83,83,193.365,500,redge
84,84,460.862,500,redge
85,85,173.053,500,redge
86,86,418.517,500,redge
87,87,110.127,500,redge
88,88,463.331,500,redge
89,89,404.192,500,redge
90,90,497.681,500,redge
91,91,81.002,500,redge
92,92,375.393,500,redge
93,93,469.158,500,redge
94,94,233.547,500,redge
95,95,244.753,500,redge
96,96,297.403,500,redge
97,97,144.306,500,redge
98,98,369.982,500,redge
99,99,320.511,500,redge
