,substrate-links-id,substrate-links-sources,substrate-links-target,bandwidth-resource,max-bandwidth-resource,substrate-topology
0,20358,20258,20259,474.79,1000,waxman
1,20359,20258,20260,66.91,1000,waxman
2,20360,20258,20262,960.887,1000,waxman
3,20361,20258,20266,576.052,1000,waxman
4,20362,20258,20268,340.244,1000,waxman
5,20363,20258,20269,669.31,1000,waxman
6,20364,20258,20272,821.723,1000,waxman
7,20365,20258,20274,129.509,1000,waxman
8,20366,20258,20276,341.918,1000,waxman
9,20367,20258,20278,519.725,1000,waxman
10,20368,20258,20280,946.301,1000,waxman
11,20369,20258,20282,81.968,1000,waxman
12,20370,20258,20284,172.142,1000,waxman
13,20371,20258,20285,213.599,1000,waxman
14,20372,20258,20286,674.243,1000,waxman
15,20373,20258,20288,376.535,1000,waxman
16,20374,20258,20289,320.385,1000,waxman
17,20375,20258,20291,648.978,1000,waxman
18,20376,20258,20294,203.228,1000,waxman
19,20377,20258,20295,954.834,1000,waxman
20,20378,20258,20296,821.696,1000,waxman
21,20379,20258,20297,818.841,1000,waxman
22,20380,20258,20298,820.845,1000,waxman
23,20381,20258,20299,827.763,1000,waxman
24,20382,20258,20300,528.617,1000,waxman
25,20383,20258,20301,627.9,1000,waxman
26,20384,20258,20303,365.123,1000,waxman
27,20385,20258,20307,569.923,1000,waxman
28,20386,20258,20309,440.267,1000,waxman
29,20387,20258,20313,102.798,1000,waxman
30,20388,20258,20314,104.193,1000,waxman
31,20389,20258,20319,814.149,1000,waxman
32,20390,20258,20322,318.627,1000,waxman
33,20391,20258,20324,974.999,1000,waxman
34,20392,20258,20330,812.463,1000,waxman
35,20393,20258,20331,448.575,1000,waxman
36,20394,20258,20336,549.568,1000,waxman
37,20395,20258,20338,507.235,1000,waxman
38,20396,20258,20341,938.849,1000,waxman
39,20397,20258,20342,125.876,1000,waxman
40,20398,20258,20343,964.961,1000,waxman
41,20399,20258,20345,607.241,1000,waxman
42,20400,20258,20347,411.998,1000,waxman
43,20401,20258,20348,382.816,1000,waxman
44,20402,20258,20350,132.251,1000,waxman
45,20403,20258,20354,726.629,1000,waxman
46,20404,20258,20357,808.136,1000,waxman
47,20405,20259,20260,137.964,1000,waxman
48,20406,20259,20261,439.16,1000,waxman
49,20407,20259,20265,778.062,1000,waxman
50,20408,20259,20268,319.064,1000,waxman
51,20409,20259,20269,586.39,1000,waxman
52,20410,20259,20270,153.718,1000,waxman
