,substrate-nodes-id,cpu-resource,max-cpu-resource,substrate-topology
0,20258,346.601,500,waxman
1,20259,382.937,500,waxman
2,20260,66.424,500,waxman
3,20261,21.139,500,waxman
4,20262,47.269,500,waxman
5,20263,137.69,500,waxman
6,20264,46.16,500,waxman
7,20265,72.171,500,waxman
8,20266,381.512,500,waxman
9,20267,299.272,500,waxman
10,20268,461.333,500,waxman
11,20269,0.819,500,waxman
12,20270,482.359,500,waxman
13,20271,17.863,500,waxman
14,20272,167.711,500,waxman
15,20273,484.127,500,waxman
16,20274,230.053,500,waxman
17,20275,221.429,500,waxman
18,20276,200.49,500,waxman
19,20277,386.261,500,waxman
20,20278,483.823,500,waxman
21,20279,140.956,500,waxman
22,20280,129.363,500,waxman
23,20281,349.85,500,waxman
24,20282,117.284,500,waxman
25,20283,482.626,500,waxman
26,20284,485.155,500,waxman
27,20285,126.26,500,waxman
28,20286,272.38,500,waxman
29,20287,41.362,500,waxman
30,20288,464.225,500,waxman
31,20289,146.497,500,waxman
32,20290,426.993,500,waxman
33,20291,218.662,500,waxman
34,20292,54.809,500,waxman
35,20293,73.254,500,waxman
36,20294,192.122,500,waxman
37,20295,341.718,500,waxman
38,20296,58.102,500,waxman
39,20297,328.988,500,waxman
40,20298,215.957,500,waxman
41,20299,380.484,500,waxman
42,20300,196.114,500,waxman
43,20301,364.918,500,waxman
44,20302,174.257,500,waxman
45,20303,124.755,500,waxman
46,20304,108.179,500,waxman
47,20305,221.518,500,waxman
48,20306,69.058,500,waxman
49,20307,114.224,500,waxman
50,20308,38.527,500,waxman
51,20309,232.313,500,waxman
52,20310,441.116,500,waxman
53,20311,111.074,500,waxman
54,20312,408.39,500,waxman
55,20313,39.699,500,waxman
56,20314,125.326,500,waxman
57,20315,166.903,500,waxman
58,20316,247.892,500,waxman
59,20317,424.024,500,waxman
60,20318,343.001,500,waxman
61,20319,363.565,500,waxman
62,20320,135.316,500,waxman
63,20321,295.31,500,waxman
64,20322,229.988,500,waxman
65,20323,100.998,500,waxman
66,20324,354.338,500,waxman
67,20325,60.757,500,waxman
68,20326,345.458,500,waxman
69,20327,364.184,500,waxman
70,20328,433.422,500,waxman
71,20329,460.596,500,waxman
72,20330,292.606,500,waxman
73,20331,226.086,500,waxman
74,20332,75.82,500,waxman
75,20333,359.827,500,waxman
76,20334,309.546,500,waxman
77,20335,433.758,500,waxman
78,20336,223.475,500,waxman
79,20337,394.073,500,waxman
80,20338,56.376,500,waxman
81,20339,280.754,500,waxman
82,20340,123.616,500,waxman
83,20341,294.016,500,waxman
84,20342,332.682,500,waxman
85,20343,90.561,500,waxman
86,20344,282.957,500,waxman
87,20345,154.792,500,waxman
88,20346,108.666,500,waxman
89,20347,22.998,500,waxman
90,20348,101.121,500,waxman
91,20349,374.235,500,waxman
92,20350,42.65,500,waxman
93,20351,68.327,500,waxman
94,20352,272.32,500,waxman
95,20353,457.01,500,waxman
96,20354,87.878,500,waxman
97,20355,12.297,500,waxman
98,20356,232.259,500,waxman
99,20357,370.442,500,waxman
