,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,25320,20270,8.335,25,grid,waxman,BFS-coordinated-VNE,5
1,1,25319,20259,24.578,25,grid,waxman,BFS-coordinated-VNE,5
2,1,25323,20356,14.042,25,grid,waxman,BFS-coordinated-VNE,5
3,2,25327,20288,8.528,25,grid,waxman,BFS-coordinated-VNE,5
4,2,25326,20357,0.843,25,grid,waxman,BFS-coordinated-VNE,5
5,2,25330,20258,20.111,25,grid,waxman,BFS-coordinated-VNE,5
6,3,25334,20278,4.302,25,grid,waxman,BFS-coordinated-VNE,5
7,3,25333,20259,12.917,25,grid,waxman,BFS-coordinated-VNE,5
8,3,25337,20258,4.27,25,grid,waxman,BFS-coordinated-VNE,5
9,4,25341,20278,20.885,25,grid,waxman,BFS-coordinated-VNE,5
10,4,25340,20354,2.282,25,grid,waxman,BFS-coordinated-VNE,5
11,4,25344,20258,20.7,25,grid,waxman,BFS-coordinated-VNE,5
12,5,25348,20278,6.28,25,grid,waxman,BFS-coordinated-VNE,5
13,5,25347,20354,24.897,25,grid,waxman,BFS-coordinated-VNE,5
14,5,25351,20258,13.057,25,grid,waxman,BFS-coordinated-VNE,5
15,6,25355,20278,9.493,25,grid,waxman,BFS-coordinated-VNE,5
16,6,25354,20354,22.55,25,grid,waxman,BFS-coordinated-VNE,5
17,6,25358,20258,14.695,25,grid,waxman,BFS-coordinated-VNE,5
18,7,25362,20270,18.176,25,grid,waxman,BFS-coordinated-VNE,5
19,7,25361,20356,20.711,25,grid,waxman,BFS-coordinated-VNE,5
20,7,25365,20259,21.894,25,grid,waxman,BFS-coordinated-VNE,5
21,8,25369,20278,22.266,25,grid,waxman,BFS-coordinated-VNE,5
22,8,25368,20258,4.153,25,grid,waxman,BFS-coordinated-VNE,5
23,8,25372,20354,3.4,25,grid,waxman,BFS-coordinated-VNE,5
24,9,25376,20288,8.042,25,grid,waxman,BFS-coordinated-VNE,5
25,9,25375,20357,5.124,25,grid,waxman,BFS-coordinated-VNE,5
26,9,25379,20258,22.143,25,grid,waxman,BFS-coordinated-VNE,5
27,10,25383,20270,5.719,25,grid,waxman,BFS-coordinated-VNE,5
28,10,25382,20259,8.232,25,grid,waxman,BFS-coordinated-VNE,5
