,substrate-nodes-id,cpu-resource,max-cpu-resource,substrate-topology
0,41305,33.817,500,waxman
1,41306,187.985,500,waxman
2,41307,185.454,500,waxman
3,41308,383.076,500,waxman
4,41309,113.08,500,waxman
5,41310,418.878,500,waxman
6,41311,381.213,500,waxman
7,41312,22.904,500,waxman
8,41313,300.611,500,waxman
9,41314,214.45,500,waxman
10,41315,370.386,500,waxman
11,41316,246.816,500,waxman
12,41317,175.722,500,waxman
13,41318,491.749,500,waxman
14,41319,389.224,500,waxman
15,41320,459.919,500,waxman
16,41321,188.269,500,waxman
17,41322,216.552,500,waxman
18,41323,348.973,500,waxman
19,41324,460.819,500,waxman
20,41325,136.891,500,waxman
21,41326,122.731,500,waxman
22,41327,426.849,500,waxman
23,41328,99.852,500,waxman
24,41329,329.981,500,waxman
25,41330,417.771,500,waxman
26,41331,229.668,500,waxman
27,41332,88.843,500,waxman
28,41333,63.375,500,waxman
29,41334,50.915,500,waxman
30,41335,382.158,500,waxman
31,41336,55.732,500,waxman
32,41337,160.57,500,waxman
33,41338,111.169,500,waxman
34,41339,167.817,500,waxman
35,41340,154.683,500,waxman
36,41341,386.214,500,waxman
37,41342,491.216,500,waxman
38,41343,329.212,500,waxman
39,41344,87.714,500,waxman
40,41345,61.675,500,waxman
41,41346,100.274,500,waxman
42,41347,316.74,500,waxman
43,41348,267.42,500,waxman
44,41349,182.694,500,waxman
45,41350,134.049,500,waxman
46,41351,160.121,500,waxman
47,41352,52.007,500,waxman
48,41353,263.449,500,waxman
49,41354,213.11,500,waxman
50,41355,225.254,500,waxman
51,41356,13.666,500,waxman
52,41357,8.779,500,waxman
53,41358,82.415,500,waxman
54,41359,410.626,500,waxman
55,41360,59.192,500,waxman
56,41361,246.898,500,waxman
57,41362,24.148,500,waxman
58,41363,332.02,500,waxman
59,41364,407.825,500,waxman
60,41365,338.632,500,waxman
61,41366,173.651,500,waxman
62,41367,242.076,500,waxman
63,41368,445.423,500,waxman
64,41369,15.988,500,waxman
65,41370,43.938,500,waxman
66,41371,332.125,500,waxman
67,41372,316.374,500,waxman
68,41373,292.861,500,waxman
69,41374,258.136,500,waxman
70,41375,167.695,500,waxman
71,41376,285.056,500,waxman
72,41377,233.692,500,waxman
73,41378,261.184,500,waxman
74,41379,316.266,500,waxman
75,41380,397.206,500,waxman
76,41381,462.137,500,waxman
77,41382,132.182,500,waxman
78,41383,236.041,500,waxman
79,41384,298.194,500,waxman
80,41385,341.085,500,waxman
81,41386,47.04,500,waxman
82,41387,207.948,500,waxman
83,41388,220.014,500,waxman
84,41389,257.813,500,waxman
85,41390,447.415,500,waxman
86,41391,9.533,500,waxman
87,41392,131.68,500,waxman
88,41393,403.651,500,waxman
89,41394,56.377,500,waxman
90,41395,149.069,500,waxman
91,41396,358.773,500,waxman
92,41397,346.195,500,waxman
93,41398,43.882,500,waxman
94,41399,300.947,500,waxman
95,41400,117.051,500,waxman
96,41401,53.933,500,waxman
97,41402,385.8,500,waxman
98,41403,109.294,500,waxman
99,41404,372.291,500,waxman
