,virtual-networks-id,virtual-links-id,virtual-links-source,virtual-links-target,substrate-links-id,bandwidth-demand,max-bandwidth-demand,mapping-algorithm,percentage-infra-resources
0,1,46439,46438,46436,42552,34.811,50,BFS-coordinated-VNE,5
1,1,46440,46438,46437,42492,27.916,50,BFS-coordinated-VNE,5
2,2,46444,46441,46442,46435,37.317,50,BFS-coordinated-VNE,5
3,2,46445,46441,46443,46396,11.961,50,BFS-coordinated-VNE,5
4,2,46446,46443,46441,42552,21.389,50,BFS-coordinated-VNE,5
5,3,46450,46447,46449,46396,13.262,50,BFS-coordinated-VNE,5
6,3,46451,46449,46447,42552,39.152,50,BFS-coordinated-VNE,5
7,4,46455,46453,46452,46415,48.09,50,BFS-coordinated-VNE,5
8,4,46456,46454,46453,46044,33.394,50,BFS-coordinated-VNE,5
9,4,46456,46454,46453,41605,33.394,50,BFS-coordinated-VNE,5
10,5,46460,46457,46458,46415,37.033,50,BFS-coordinated-VNE,5
11,5,46461,46458,46457,44164,31.966,50,BFS-coordinated-VNE,5
12,5,46462,46459,46458,41605,8.205,50,BFS-coordinated-VNE,5
13,5,46462,46459,46458,46415,8.205,50,BFS-coordinated-VNE,5
14,6,46466,46464,46463,41405,22.918,50,BFS-coordinated-VNE,5
15,6,46466,46464,46463,41534,22.918,50,BFS-coordinated-VNE,5
16,7,46470,46467,46468,44164,37.765,50,BFS-coordinated-VNE,5
17,7,46471,46468,46467,46415,19.711,50,BFS-coordinated-VNE,5
18,8,46475,46472,46473,44164,15.138,50,BFS-coordinated-VNE,5
19,8,46476,46473,46472,46415,6.049,50,BFS-coordinated-VNE,5
20,8,46477,46474,46472,41604,10.892,50,BFS-coordinated-VNE,5
21,8,46477,46474,46472,46357,10.892,50,BFS-coordinated-VNE,5
22,9,46481,46479,46478,41405,24.707,50,BFS-coordinated-VNE,5
23,9,46481,46479,46478,41532,24.707,50,BFS-coordinated-VNE,5
24,9,46482,46480,46478,46415,27.482,50,BFS-coordinated-VNE,5
25,9,46483,46480,46479,46386,46.189,50,BFS-coordinated-VNE,5
26,10,46487,46485,46484,41498,16.601,50,BFS-coordinated-VNE,5
27,10,46488,46486,46484,46319,3.784,50,BFS-coordinated-VNE,5
28,10,46489,46486,46485,46325,0.629,50,BFS-coordinated-VNE,5
29,10,46489,46486,46485,46387,0.629,50,BFS-coordinated-VNE,5
30,11,46493,46490,46491,42552,40.249,50,BFS-coordinated-VNE,5
31,11,46494,46491,46490,46396,9.125,50,BFS-coordinated-VNE,5
32,11,46495,46492,46490,41418,43.228,50,BFS-coordinated-VNE,5
33,12,46499,46496,46497,42552,11.728,50,BFS-coordinated-VNE,5
34,12,46500,46496,46498,42492,2.034,50,BFS-coordinated-VNE,5
35,13,46504,46501,46503,46391,4.042,50,BFS-coordinated-VNE,5
36,14,46508,46505,46506,41418,6.218,50,BFS-coordinated-VNE,5
37,14,46509,46507,46505,46386,3.077,50,BFS-coordinated-VNE,5
38,14,46510,46507,46506,46396,29.221,50,BFS-coordinated-VNE,5
39,15,46514,46511,46513,46359,38.842,50,BFS-coordinated-VNE,5
40,16,46518,46515,46516,44164,17.322,50,BFS-coordinated-VNE,5
41,16,46519,46516,46517,46386,18.289,50,BFS-coordinated-VNE,5
42,16,46519,46516,46517,41406,18.289,50,BFS-coordinated-VNE,5
43,16,46520,46517,46515,41605,31.05,50,BFS-coordinated-VNE,5
44,16,46520,46517,46515,46415,31.05,50,BFS-coordinated-VNE,5
45,17,46524,46522,46523,46043,13.79,50,BFS-coordinated-VNE,5
46,17,46524,46522,46523,41558,13.79,50,BFS-coordinated-VNE,5
47,17,46525,46523,46521,46415,42.149,50,BFS-coordinated-VNE,5
48,18,46529,46527,46528,46386,14.849,50,BFS-coordinated-VNE,5
49,18,46529,46527,46528,41408,14.849,50,BFS-coordinated-VNE,5
50,18,46530,46528,46526,41702,18.846,50,BFS-coordinated-VNE,5
51,18,46531,46528,46527,41755,10.014,50,BFS-coordinated-VNE,5
52,18,46531,46528,46527,46385,10.014,50,BFS-coordinated-VNE,5
53,19,46535,46533,46534,46415,20.174,50,BFS-coordinated-VNE,5
54,19,46536,46534,46532,44106,13.365,50,BFS-coordinated-VNE,5
55,19,46537,46534,46533,44164,35.738,50,BFS-coordinated-VNE,5
56,20,46541,46538,46539,42552,35.408,50,BFS-coordinated-VNE,5
57,20,46542,46539,46538,46396,2.437,50,BFS-coordinated-VNE,5
58,21,46546,46543,46544,46396,36.481,50,BFS-coordinated-VNE,5
59,21,46547,46543,46545,46435,33.554,50,BFS-coordinated-VNE,5
60,21,46548,46544,46543,42552,17.005,50,BFS-coordinated-VNE,5
61,22,46552,46549,46550,41617,25.973,50,BFS-coordinated-VNE,5
62,22,46553,46551,46550,46396,45.906,50,BFS-coordinated-VNE,5
63,23,46557,46556,46555,41498,3.626,50,BFS-coordinated-VNE,5
64,24,46561,46558,46560,44164,30.621,50,BFS-coordinated-VNE,5
65,24,46562,46559,46558,41605,17.059,50,BFS-coordinated-VNE,5
66,24,46562,46559,46558,46415,17.059,50,BFS-coordinated-VNE,5
67,24,46563,46560,46558,46415,25.563,50,BFS-coordinated-VNE,5
68,24,46564,46560,46559,46386,23.14,50,BFS-coordinated-VNE,5
69,24,46564,46560,46559,41406,23.14,50,BFS-coordinated-VNE,5
70,25,46568,46565,46566,44105,48.872,50,BFS-coordinated-VNE,5
71,25,46569,46565,46567,44164,28.344,50,BFS-coordinated-VNE,5
72,25,46570,46566,46565,41405,8.919,50,BFS-coordinated-VNE,5
73,25,46570,46566,46565,41532,8.919,50,BFS-coordinated-VNE,5
74,25,46571,46567,46565,46415,10.43,50,BFS-coordinated-VNE,5
