,virtual-networks-id,virtual-links-id,virtual-links-source,virtual-links-target,substrate-links-id,bandwidth-demand,max-bandwidth-demand,mapping-algorithm,percentage-infra-resources
0,1,15696,15693,15695,10678,13.627,50,BFS-coordinated-VNE,5
1,1,15696,15693,15695,15641,13.627,50,BFS-coordinated-VNE,5
2,1,15697,15695,15694,10720,10.552,50,BFS-coordinated-VNE,5
3,1,15697,15695,15694,15690,10.552,50,BFS-coordinated-VNE,5
4,2,15701,15698,15699,10679,27.362,50,BFS-coordinated-VNE,5
5,2,15701,15698,15699,10667,27.362,50,BFS-coordinated-VNE,5
6,2,15702,15699,15698,14254,8.265,50,BFS-coordinated-VNE,5
7,2,15703,15700,15699,10853,38.982,50,BFS-coordinated-VNE,5
8,3,15707,15704,15705,11592,48.242,50,BFS-coordinated-VNE,5
9,3,15708,15705,15704,10648,19.258,50,BFS-coordinated-VNE,5
10,3,15709,15706,15705,15640,13.583,50,BFS-coordinated-VNE,5
11,4,15713,15710,15711,14416,28.9,50,BFS-coordinated-VNE,5
12,4,15714,15711,15710,10721,3.565,50,BFS-coordinated-VNE,5
13,4,15714,15711,15710,10855,3.565,50,BFS-coordinated-VNE,5
14,4,15715,15711,15712,10767,8.303,50,BFS-coordinated-VNE,5
15,4,15715,15711,15712,15643,8.303,50,BFS-coordinated-VNE,5
16,4,15716,15712,15710,10812,18.582,50,BFS-coordinated-VNE,5
17,5,15720,15717,15718,15640,48.714,50,BFS-coordinated-VNE,5
18,5,15720,15717,15718,10648,48.714,50,BFS-coordinated-VNE,5
19,5,15721,15718,15719,11592,20.576,50,BFS-coordinated-VNE,5
20,5,15722,15719,15718,10648,5.472,50,BFS-coordinated-VNE,5
21,6,15726,15724,15723,11592,4.437,50,BFS-coordinated-VNE,5
22,6,15727,15724,15725,11593,27.11,50,BFS-coordinated-VNE,5
23,7,15731,15728,15730,11783,30.534,50,BFS-coordinated-VNE,5
24,7,15732,15729,15728,10768,14.558,50,BFS-coordinated-VNE,5
25,7,15732,15729,15728,10833,14.558,50,BFS-coordinated-VNE,5
26,7,15733,15730,15728,10656,20.375,50,BFS-coordinated-VNE,5
27,7,15733,15730,15728,12844,20.375,50,BFS-coordinated-VNE,5
28,8,15737,15734,15736,11592,20.406,50,BFS-coordinated-VNE,5
29,8,15738,15736,15734,10648,43.146,50,BFS-coordinated-VNE,5
30,9,15742,15739,15740,10721,28.268,50,BFS-coordinated-VNE,5
31,9,15742,15739,15740,10855,28.268,50,BFS-coordinated-VNE,5
32,9,15743,15739,15741,10767,40.85,50,BFS-coordinated-VNE,5
33,9,15744,15740,15739,14416,30.984,50,BFS-coordinated-VNE,5
34,9,15745,15740,15741,14477,19.899,50,BFS-coordinated-VNE,5
35,9,15746,15741,15739,15642,16.503,50,BFS-coordinated-VNE,5
36,9,15747,15741,15740,15682,36.195,50,BFS-coordinated-VNE,5
37,10,15751,15749,15748,10642,11.928,50,BFS-coordinated-VNE,5
38,10,15752,15749,15750,10648,21.091,50,BFS-coordinated-VNE,5
39,10,15753,15750,15749,11592,13.192,50,BFS-coordinated-VNE,5
40,11,15757,15755,15756,10812,32.546,50,BFS-coordinated-VNE,5
41,12,15761,15758,15759,14254,34.932,50,BFS-coordinated-VNE,5
42,12,15762,15759,15758,10679,36.226,50,BFS-coordinated-VNE,5
43,12,15762,15759,15758,10667,36.226,50,BFS-coordinated-VNE,5
44,12,15763,15760,15758,15627,48.869,50,BFS-coordinated-VNE,5
45,13,15767,15764,15765,10720,3.486,50,BFS-coordinated-VNE,5
46,13,15767,15764,15765,15690,3.486,50,BFS-coordinated-VNE,5
47,14,15771,15768,15770,10656,40.508,50,BFS-coordinated-VNE,5
48,14,15771,15768,15770,12844,40.508,50,BFS-coordinated-VNE,5
49,15,15775,15772,15773,11837,17.475,50,BFS-coordinated-VNE,5
50,15,15776,15772,15774,11783,28.576,50,BFS-coordinated-VNE,5
51,15,15777,15773,15772,15692,8.037,50,BFS-coordinated-VNE,5
52,15,15777,15773,15772,15600,8.037,50,BFS-coordinated-VNE,5
53,15,15778,15774,15772,10656,18.887,50,BFS-coordinated-VNE,5
54,15,15778,15774,15772,12844,18.887,50,BFS-coordinated-VNE,5
55,16,15782,15779,15780,10656,5.658,50,BFS-coordinated-VNE,5
56,16,15782,15779,15780,12844,5.658,50,BFS-coordinated-VNE,5
57,17,15786,15784,15785,10679,25.82,50,BFS-coordinated-VNE,5
58,17,15786,15784,15785,10667,25.82,50,BFS-coordinated-VNE,5
59,18,15790,15787,15788,10721,32.056,50,BFS-coordinated-VNE,5
60,18,15790,15787,15788,10855,32.056,50,BFS-coordinated-VNE,5
61,18,15791,15788,15787,14416,0.575,50,BFS-coordinated-VNE,5
62,18,15792,15788,15789,14477,30.667,50,BFS-coordinated-VNE,5
63,18,15793,15789,15788,15682,46.219,50,BFS-coordinated-VNE,5
64,19,15797,15795,15794,14254,33.165,50,BFS-coordinated-VNE,5
65,19,15798,15795,15796,14311,42.131,50,BFS-coordinated-VNE,5
66,20,15802,15800,15799,10679,22.486,50,BFS-coordinated-VNE,5
67,20,15802,15800,15799,10667,22.486,50,BFS-coordinated-VNE,5
68,20,15803,15801,15799,10853,13.617,50,BFS-coordinated-VNE,5
69,21,15807,15805,15804,14311,7.889,50,BFS-coordinated-VNE,5
70,21,15808,15805,15806,14254,28.001,50,BFS-coordinated-VNE,5
71,21,15809,15806,15805,10679,48.52,50,BFS-coordinated-VNE,5
72,21,15809,15806,15805,10667,48.52,50,BFS-coordinated-VNE,5
73,22,15813,15810,15811,14477,13.025,50,BFS-coordinated-VNE,5
74,22,15814,15810,15812,14416,33.918,50,BFS-coordinated-VNE,5
75,22,15815,15811,15810,15682,32.538,50,BFS-coordinated-VNE,5
76,22,15816,15811,15812,15642,2.636,50,BFS-coordinated-VNE,5
77,22,15817,15812,15810,10721,16.067,50,BFS-coordinated-VNE,5
78,22,15817,15812,15810,10855,16.067,50,BFS-coordinated-VNE,5
79,23,15821,15818,15820,10712,8.82,50,BFS-coordinated-VNE,5
80,23,15822,15819,15818,10678,14.327,50,BFS-coordinated-VNE,5
81,23,15822,15819,15818,15641,14.327,50,BFS-coordinated-VNE,5
82,24,15826,15823,15824,15682,43.768,50,BFS-coordinated-VNE,5
83,24,15827,15824,15825,14416,34.414,50,BFS-coordinated-VNE,5
84,24,15828,15825,15823,10767,18.986,50,BFS-coordinated-VNE,5
85,24,15829,15825,15824,10721,32.33,50,BFS-coordinated-VNE,5
86,24,15829,15825,15824,10855,32.33,50,BFS-coordinated-VNE,5
87,25,15833,15830,15832,15531,6.111,50,BFS-coordinated-VNE,5
88,25,15834,15831,15832,10712,4.228,50,BFS-coordinated-VNE,5
89,25,15835,15832,15831,14740,23.298,50,BFS-coordinated-VNE,5
