,substrate-links-id,substrate-links-sources,substrate-links-target,bandwidth-resource,max-bandwidth-resource,substrate-topology
0,34800,34799,34798,671.288,1000,grid
1,34801,34798,34799,163.616,1000,grid
2,34803,34802,34799,593.909,1000,grid
3,34804,34799,34802,249.682,1000,grid
4,34806,34805,34802,238.515,1000,grid
5,34807,34802,34805,971.007,1000,grid
6,34809,34808,34805,280.244,1000,grid
7,34810,34805,34808,254.337,1000,grid
8,34812,34811,34808,67.337,1000,grid
9,34813,34808,34811,21.291,1000,grid
10,34815,34814,34811,227.394,1000,grid
11,34816,34811,34814,11.404,1000,grid
12,34818,34817,34814,624.679,1000,grid
13,34819,34814,34817,837.46,1000,grid
14,34821,34820,34817,875.505,1000,grid
15,34822,34817,34820,580.687,1000,grid
16,34824,34823,34820,511.216,1000,grid
17,34825,34820,34823,922.174,1000,grid
18,34827,34826,34798,695.062,1000,grid
19,34828,34798,34826,637.71,1000,grid
20,34830,34829,34799,397.577,1000,grid
21,34831,34799,34829,698.261,1000,grid
22,34832,34829,34826,64.965,1000,grid
23,34833,34826,34829,488.162,1000,grid
24,34835,34834,34802,979.952,1000,grid
25,34836,34802,34834,126.4,1000,grid
26,34837,34834,34829,820.833,1000,grid
27,34838,34829,34834,229.825,1000,grid
28,34840,34839,34805,931.802,1000,grid
29,34841,34805,34839,945.678,1000,grid
30,34842,34839,34834,788.623,1000,grid
31,34843,34834,34839,787.446,1000,grid
32,34845,34844,34808,294.205,1000,grid
33,34846,34808,34844,893.879,1000,grid
34,34847,34844,34839,287.607,1000,grid
35,34848,34839,34844,285.332,1000,grid
36,34850,34849,34811,869.454,1000,grid
37,34851,34811,34849,581.721,1000,grid
38,34852,34849,34844,411.943,1000,grid
39,34853,34844,34849,367.915,1000,grid
40,34855,34854,34814,960.831,1000,grid
41,34856,34814,34854,918.903,1000,grid
42,34857,34854,34849,881.514,1000,grid
43,34858,34849,34854,630.301,1000,grid
44,34860,34859,34817,236.042,1000,grid
45,34861,34817,34859,119.7,1000,grid
46,34862,34859,34854,390.422,1000,grid
47,34863,34854,34859,278.845,1000,grid
48,34865,34864,34820,582.648,1000,grid
49,34866,34820,34864,351.982,1000,grid
50,34867,34864,34859,675.438,1000,grid
51,34868,34859,34864,506.016,1000,grid
52,34870,34869,34823,570.862,1000,grid
53,34871,34823,34869,35.904,1000,grid
54,34872,34869,34864,976.949,1000,grid
