,virtual-networks-id,virtual-links-id,virtual-links-source,virtual-links-target,substrate-links-id,bandwidth-demand,max-bandwidth-demand,mapping-algorithm,percentage-infra-resources
0,1,35264,35258,35259,35034,25.136,50,BFS-coordinated-VNE,5
1,1,35264,35258,35259,35029,25.136,50,BFS-coordinated-VNE,5
2,1,35264,35258,35259,35024,25.136,50,BFS-coordinated-VNE,5
3,1,35265,35258,35261,35034,5.377,50,BFS-coordinated-VNE,5
4,1,35265,35258,35261,35029,5.377,50,BFS-coordinated-VNE,5
5,1,35266,35259,35258,35025,1.375,50,BFS-coordinated-VNE,5
6,1,35266,35259,35258,35030,1.375,50,BFS-coordinated-VNE,5
7,1,35266,35259,35258,35035,1.375,50,BFS-coordinated-VNE,5
8,1,35267,35259,35260,35025,36.975,50,BFS-coordinated-VNE,5
9,1,35267,35259,35260,35030,36.975,50,BFS-coordinated-VNE,5
10,1,35268,35259,35261,35025,37.761,50,BFS-coordinated-VNE,5
11,1,35269,35260,35258,35035,22.455,50,BFS-coordinated-VNE,5
12,1,35270,35260,35262,35027,35.655,50,BFS-coordinated-VNE,5
13,1,35271,35260,35263,35076,15.398,50,BFS-coordinated-VNE,5
14,1,35272,35261,35260,35030,12.273,50,BFS-coordinated-VNE,5
15,1,35273,35261,35263,35071,41.809,50,BFS-coordinated-VNE,5
16,1,35273,35261,35263,35078,41.809,50,BFS-coordinated-VNE,5
17,1,35274,35262,35258,35028,17.846,50,BFS-coordinated-VNE,5
18,1,35274,35262,35258,35035,17.846,50,BFS-coordinated-VNE,5
19,1,35275,35262,35259,34981,27.929,50,BFS-coordinated-VNE,5
20,1,35275,35262,35259,34976,27.929,50,BFS-coordinated-VNE,5
21,1,35275,35262,35259,35020,27.929,50,BFS-coordinated-VNE,5
22,1,35276,35262,35260,35028,38.452,50,BFS-coordinated-VNE,5
23,1,35277,35263,35258,35075,33.972,50,BFS-coordinated-VNE,5
24,1,35277,35263,35258,35035,33.972,50,BFS-coordinated-VNE,5
25,1,35278,35263,35259,35077,35.711,50,BFS-coordinated-VNE,5
26,1,35278,35263,35259,35072,35.711,50,BFS-coordinated-VNE,5
27,1,35278,35263,35259,35067,35.711,50,BFS-coordinated-VNE,5
28,1,35279,35263,35260,35075,26.829,50,BFS-coordinated-VNE,5
29,1,35280,35263,35261,35075,9.55,50,BFS-coordinated-VNE,5
30,1,35280,35263,35261,35029,9.55,50,BFS-coordinated-VNE,5
31,1,35281,35263,35262,35075,39.316,50,BFS-coordinated-VNE,5
32,1,35281,35263,35262,35027,39.316,50,BFS-coordinated-VNE,5
33,2,35288,35282,35284,34815,18.719,50,BFS-coordinated-VNE,5
34,2,35288,35282,35284,34851,18.719,50,BFS-coordinated-VNE,5
35,2,35289,35282,35285,34815,22.031,50,BFS-coordinated-VNE,5
36,2,35290,35282,35286,34856,24.532,50,BFS-coordinated-VNE,5
37,2,35291,35283,35284,34903,44.862,50,BFS-coordinated-VNE,5
38,2,35291,35283,35284,34857,44.862,50,BFS-coordinated-VNE,5
39,2,35292,35283,35285,34903,46.676,50,BFS-coordinated-VNE,5
40,2,35292,35283,35285,34855,46.676,50,BFS-coordinated-VNE,5
41,2,35292,35283,35285,34815,46.676,50,BFS-coordinated-VNE,5
42,2,35293,35284,35282,34850,8.228,50,BFS-coordinated-VNE,5
43,2,35293,35284,35282,34816,8.228,50,BFS-coordinated-VNE,5
44,2,35294,35284,35283,34899,17.964,50,BFS-coordinated-VNE,5
45,2,35294,35284,35283,34906,17.964,50,BFS-coordinated-VNE,5
46,2,35295,35284,35286,34858,15.961,50,BFS-coordinated-VNE,5
47,2,35296,35285,35283,34851,26.305,50,BFS-coordinated-VNE,5
48,2,35296,35285,35283,34899,26.305,50,BFS-coordinated-VNE,5
49,2,35296,35285,35283,34906,26.305,50,BFS-coordinated-VNE,5
50,2,35297,35286,35282,34855,18.262,50,BFS-coordinated-VNE,5
51,2,35298,35286,35283,34904,22.904,50,BFS-coordinated-VNE,5
52,2,35299,35286,35284,34857,39.913,50,BFS-coordinated-VNE,5
53,2,35300,35286,35287,34863,34.654,50,BFS-coordinated-VNE,5
54,2,35301,35287,35283,34909,8.846,50,BFS-coordinated-VNE,5
55,2,35301,35287,35283,34910,8.846,50,BFS-coordinated-VNE,5
56,2,35302,35287,35284,34862,43.194,50,BFS-coordinated-VNE,5
57,2,35302,35287,35284,34857,43.194,50,BFS-coordinated-VNE,5
58,2,35303,35287,35285,34862,40.443,50,BFS-coordinated-VNE,5
59,2,35303,35287,35285,34857,40.443,50,BFS-coordinated-VNE,5
60,2,35303,35287,35285,34850,40.443,50,BFS-coordinated-VNE,5
61,2,35304,35287,35286,34862,46.721,50,BFS-coordinated-VNE,5
62,3,35311,35305,35309,35045,43.339,50,BFS-coordinated-VNE,5
63,3,35312,35306,35305,35043,12.395,50,BFS-coordinated-VNE,5
64,3,35312,35306,35305,35044,12.395,50,BFS-coordinated-VNE,5
65,3,35313,35306,35307,34994,39.661,50,BFS-coordinated-VNE,5
66,3,35314,35306,35308,35043,5.323,50,BFS-coordinated-VNE,5
67,3,35314,35306,35308,35050,5.323,50,BFS-coordinated-VNE,5
68,3,35315,35306,35309,35043,19.96,50,BFS-coordinated-VNE,5
69,3,35316,35306,35310,35043,15.696,50,BFS-coordinated-VNE,5
70,3,35316,35306,35310,35091,15.696,50,BFS-coordinated-VNE,5
71,3,35317,35307,35305,34995,46.425,50,BFS-coordinated-VNE,5
72,3,35317,35307,35305,35043,46.425,50,BFS-coordinated-VNE,5
73,3,35317,35307,35305,35044,46.425,50,BFS-coordinated-VNE,5
74,3,35318,35308,35305,35049,35.865,50,BFS-coordinated-VNE,5
75,3,35318,35308,35305,35044,35.865,50,BFS-coordinated-VNE,5
76,3,35319,35308,35309,35049,44.492,50,BFS-coordinated-VNE,5
77,3,35320,35308,35310,35096,40.014,50,BFS-coordinated-VNE,5
78,3,35320,35308,35310,35097,40.014,50,BFS-coordinated-VNE,5
79,3,35321,35309,35305,35044,11.895,50,BFS-coordinated-VNE,5
80,3,35322,35309,35306,35042,9.251,50,BFS-coordinated-VNE,5
81,3,35323,35309,35308,35050,35.779,50,BFS-coordinated-VNE,5
82,3,35324,35309,35310,35091,48.996,50,BFS-coordinated-VNE,5
83,3,35325,35310,35305,35090,26.163,50,BFS-coordinated-VNE,5
84,3,35325,35310,35305,35044,26.163,50,BFS-coordinated-VNE,5
85,3,35326,35310,35306,35090,44.578,50,BFS-coordinated-VNE,5
86,3,35326,35310,35306,35042,44.578,50,BFS-coordinated-VNE,5
87,3,35327,35310,35309,35090,40.993,50,BFS-coordinated-VNE,5
88,4,35334,35328,35332,34862,36.666,50,BFS-coordinated-VNE,5
89,4,35335,35328,35333,34909,46.812,50,BFS-coordinated-VNE,5
90,4,35335,35328,35333,34910,46.812,50,BFS-coordinated-VNE,5
91,4,35336,35329,35330,34858,44.673,50,BFS-coordinated-VNE,5
92,4,35336,35329,35330,34855,44.673,50,BFS-coordinated-VNE,5
93,4,35337,35329,35331,34852,26.36,50,BFS-coordinated-VNE,5
94,4,35338,35330,35332,34856,8.47,50,BFS-coordinated-VNE,5
95,4,35339,35330,35333,34856,26.125,50,BFS-coordinated-VNE,5
96,4,35339,35330,35333,34904,26.125,50,BFS-coordinated-VNE,5
97,4,35340,35331,35328,34853,11.806,50,BFS-coordinated-VNE,5
98,4,35340,35331,35328,34858,11.806,50,BFS-coordinated-VNE,5
99,4,35340,35331,35328,34863,11.806,50,BFS-coordinated-VNE,5
100,4,35341,35332,35329,34857,43.967,50,BFS-coordinated-VNE,5
101,4,35342,35332,35330,34855,44.36,50,BFS-coordinated-VNE,5
102,4,35343,35332,35331,34857,20.034,50,BFS-coordinated-VNE,5
103,4,35343,35332,35331,34852,20.034,50,BFS-coordinated-VNE,5
104,4,35344,35333,35330,34903,7.672,50,BFS-coordinated-VNE,5
105,4,35344,35333,35330,34855,7.672,50,BFS-coordinated-VNE,5
106,4,35345,35333,35332,34903,22.453,50,BFS-coordinated-VNE,5
107,5,35352,35346,35348,35100,10.439,50,BFS-coordinated-VNE,5
108,5,35352,35346,35348,35060,10.439,50,BFS-coordinated-VNE,5
109,5,35353,35346,35349,35100,10.57,50,BFS-coordinated-VNE,5
110,5,35354,35347,35346,35053,34.13,50,BFS-coordinated-VNE,5
111,5,35354,35347,35346,35101,34.13,50,BFS-coordinated-VNE,5
112,5,35355,35347,35348,35053,40.029,50,BFS-coordinated-VNE,5
113,5,35355,35347,35348,35060,40.029,50,BFS-coordinated-VNE,5
114,5,35356,35347,35351,35006,35.511,50,BFS-coordinated-VNE,5
115,5,35356,35347,35351,35001,35.511,50,BFS-coordinated-VNE,5
116,5,35356,35347,35351,35043,35.511,50,BFS-coordinated-VNE,5
117,5,35357,35348,35346,35106,30.742,50,BFS-coordinated-VNE,5
118,5,35357,35348,35346,35107,30.742,50,BFS-coordinated-VNE,5
119,5,35358,35348,35349,35059,24.477,50,BFS-coordinated-VNE,5
120,5,35359,35348,35350,35106,31.147,50,BFS-coordinated-VNE,5
121,5,35359,35348,35350,35107,31.147,50,BFS-coordinated-VNE,5
122,5,35359,35348,35350,35102,31.147,50,BFS-coordinated-VNE,5
123,5,35359,35348,35350,35095,31.147,50,BFS-coordinated-VNE,5
124,5,35360,35348,35351,35059,10.667,50,BFS-coordinated-VNE,5
125,5,35360,35348,35351,35054,10.667,50,BFS-coordinated-VNE,5
126,5,35360,35348,35351,35049,10.667,50,BFS-coordinated-VNE,5
