,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,60557,60196,11.452,25,waxman,grid,BFS-coordinated-VNE,5
1,1,60558,60191,0.443,25,waxman,grid,BFS-coordinated-VNE,5
2,1,60559,60249,8.791,25,waxman,grid,BFS-coordinated-VNE,5
3,1,60560,60201,1.914,25,waxman,grid,BFS-coordinated-VNE,5
4,1,60561,60206,15.101,25,waxman,grid,BFS-coordinated-VNE,5
5,1,60562,60153,8.588,25,waxman,grid,BFS-coordinated-VNE,5
6,2,60578,60244,12.386,25,waxman,grid,BFS-coordinated-VNE,5
7,2,60579,60287,4.64,25,waxman,grid,BFS-coordinated-VNE,5
8,2,60580,60297,5.511,25,waxman,grid,BFS-coordinated-VNE,5
9,2,60581,60340,24.433,25,waxman,grid,BFS-coordinated-VNE,5
10,2,60582,60292,11.049,25,waxman,grid,BFS-coordinated-VNE,5
11,2,60583,60282,1.971,25,waxman,grid,BFS-coordinated-VNE,5
12,3,60600,60138,11.273,25,waxman,grid,BFS-coordinated-VNE,5
13,3,60601,60191,8.769,25,waxman,grid,BFS-coordinated-VNE,5
14,3,60602,60133,0.242,25,waxman,grid,BFS-coordinated-VNE,5
15,3,60603,60148,7.17,25,waxman,grid,BFS-coordinated-VNE,5
16,3,60604,60143,19.346,25,waxman,grid,BFS-coordinated-VNE,5
17,3,60605,60107,15.386,25,waxman,grid,BFS-coordinated-VNE,5
18,4,60623,60211,1.415,25,waxman,grid,BFS-coordinated-VNE,5
19,4,60624,60355,20.529,25,waxman,grid,BFS-coordinated-VNE,5
20,4,60625,60403,0.55,25,waxman,grid,BFS-coordinated-VNE,5
21,4,60626,60307,0.794,25,waxman,grid,BFS-coordinated-VNE,5
22,4,60627,60302,0.418,25,waxman,grid,BFS-coordinated-VNE,5
23,4,60628,60259,6.787,25,waxman,grid,BFS-coordinated-VNE,5
24,5,60642,60287,11.005,25,waxman,grid,BFS-coordinated-VNE,5
25,5,60643,60244,15.854,25,waxman,grid,BFS-coordinated-VNE,5
26,5,60644,60282,22.791,25,waxman,grid,BFS-coordinated-VNE,5
27,5,60645,60340,17.523,25,waxman,grid,BFS-coordinated-VNE,5
28,5,60646,60292,4.321,25,waxman,grid,BFS-coordinated-VNE,5
29,5,60647,60297,3.936,25,waxman,grid,BFS-coordinated-VNE,5
30,6,60664,60373,6.897,25,waxman,grid,BFS-coordinated-VNE,5
31,6,60665,60469,9.502,25,waxman,grid,BFS-coordinated-VNE,5
32,6,60666,60517,2.997,25,waxman,grid,BFS-coordinated-VNE,5
33,6,60667,60325,0.364,25,waxman,grid,BFS-coordinated-VNE,5
34,6,60668,60421,23.109,25,waxman,grid,BFS-coordinated-VNE,5
35,6,60669,60416,0.953,25,waxman,grid,BFS-coordinated-VNE,5
36,7,60680,60365,0.607,25,waxman,grid,BFS-coordinated-VNE,5
37,7,60681,60416,18.99,25,waxman,grid,BFS-coordinated-VNE,5
38,7,60682,60464,2.819,25,waxman,grid,BFS-coordinated-VNE,5
39,7,60683,60373,1.609,25,waxman,grid,BFS-coordinated-VNE,5
40,7,60684,60320,9.687,25,waxman,grid,BFS-coordinated-VNE,5
41,7,60685,60368,17.923,25,waxman,grid,BFS-coordinated-VNE,5
42,8,60700,60181,4.508,25,waxman,grid,BFS-coordinated-VNE,5
43,8,60701,60138,12.391,25,waxman,grid,BFS-coordinated-VNE,5
44,8,60702,60101,1.105,25,waxman,grid,BFS-coordinated-VNE,5
45,8,60703,60128,24.48,25,waxman,grid,BFS-coordinated-VNE,5
46,8,60704,60133,12.198,25,waxman,grid,BFS-coordinated-VNE,5
47,8,60705,60229,10.646,25,waxman,grid,BFS-coordinated-VNE,5
48,9,60717,60104,23.888,25,waxman,grid,BFS-coordinated-VNE,5
49,9,60718,60101,2.595,25,waxman,grid,BFS-coordinated-VNE,5
50,9,60719,60107,1.418,25,waxman,grid,BFS-coordinated-VNE,5
51,9,60720,60138,7.568,25,waxman,grid,BFS-coordinated-VNE,5
52,9,60721,60186,20.586,25,waxman,grid,BFS-coordinated-VNE,5
53,9,60722,60133,2.294,25,waxman,grid,BFS-coordinated-VNE,5
54,10,60737,60320,20.406,25,waxman,grid,BFS-coordinated-VNE,5
55,10,60738,60368,21.947,25,waxman,grid,BFS-coordinated-VNE,5
56,10,60739,60373,14.375,25,waxman,grid,BFS-coordinated-VNE,5
57,10,60740,60416,19.845,25,waxman,grid,BFS-coordinated-VNE,5
58,10,60741,60421,23.725,25,waxman,grid,BFS-coordinated-VNE,5
59,10,60742,60365,13.665,25,waxman,grid,BFS-coordinated-VNE,5
60,11,60762,60107,11.38,25,waxman,grid,BFS-coordinated-VNE,5
