,substrate-links-id,substrate-links-sources,substrate-links-target,bandwidth-resource,max-bandwidth-resource,substrate-topology
0,23400,23300,23301,409.428,1000,redge
1,23401,23300,23302,522.542,1000,redge
2,23402,23300,23306,376.192,1000,redge
3,23403,23300,23307,153.822,1000,redge
4,23404,23300,23310,551.24,1000,redge
5,23405,23300,23311,352.403,1000,redge
6,23406,23300,23312,717.654,1000,redge
7,23407,23300,23315,601.942,1000,redge
8,23408,23300,23316,803.656,1000,redge
9,23409,23300,23321,788.573,1000,redge
10,23410,23300,23322,64.904,1000,redge
11,23411,23300,23325,487.745,1000,redge
12,23412,23300,23330,349.738,1000,redge
13,23413,23300,23331,411.997,1000,redge
14,23414,23300,23332,86.13,1000,redge
15,23415,23300,23336,794.325,1000,redge
16,23416,23300,23339,990.664,1000,redge
17,23417,23300,23340,82.087,1000,redge
18,23418,23300,23342,176.95,1000,redge
19,23419,23300,23343,699.381,1000,redge
20,23420,23300,23344,115.635,1000,redge
21,23421,23300,23345,435.469,1000,redge
22,23422,23300,23346,818.567,1000,redge
23,23423,23300,23347,757.345,1000,redge
24,23424,23300,23349,249.013,1000,redge
25,23425,23300,23350,691.19,1000,redge
26,23426,23300,23351,627.432,1000,redge
27,23427,23300,23353,925.688,1000,redge
28,23428,23300,23354,352.688,1000,redge
29,23429,23300,23357,156.441,1000,redge
30,23430,23300,23361,302.236,1000,redge
31,23431,23300,23362,1.856,1000,redge
32,23432,23300,23364,437.676,1000,redge
33,23433,23300,23365,804.418,1000,redge
34,23434,23300,23367,815.696,1000,redge
35,23435,23300,23369,405.421,1000,redge
36,23436,23300,23370,196.135,1000,redge
37,23437,23300,23371,304.728,1000,redge
38,23438,23300,23372,621.409,1000,redge
39,23439,23300,23373,139.479,1000,redge
40,23440,23300,23374,303.517,1000,redge
41,23441,23300,23377,926.765,1000,redge
42,23442,23300,23379,350.179,1000,redge
43,23443,23300,23380,195.96,1000,redge
44,23444,23300,23383,760.242,1000,redge
45,23445,23300,23384,807.802,1000,redge
46,23446,23300,23386,455.573,1000,redge
47,23447,23300,23389,631.446,1000,redge
48,23448,23300,23393,143.313,1000,redge
49,23449,23300,23394,180.055,1000,redge
50,23450,23300,23395,535.033,1000,redge
51,23451,23300,23396,33.265,1000,redge
52,23452,23300,23397,920.472,1000,redge
53,23453,23300,23398,284.791,1000,redge
54,23454,23300,23399,600.763,1000,redge
55,23455,23301,23300,120.016,1000,redge
56,23456,23301,23304,42.994,1000,redge
57,23457,23301,23306,866.558,1000,redge
58,23458,23301,23308,403.689,1000,redge
59,23459,23301,23310,776.368,1000,redge
60,23460,23301,23311,877.953,1000,redge
61,23461,23301,23313,336.939,1000,redge
62,23462,23301,23314,24.141,1000,redge
63,23463,23301,23315,908.887,1000,redge
64,23464,23301,23317,166.741,1000,redge
65,23465,23301,23321,924.753,1000,redge
66,23466,23301,23322,334.514,1000,redge
67,23467,23301,23323,127.798,1000,redge
68,23468,23301,23324,103.879,1000,redge
69,23469,23301,23329,388.405,1000,redge
70,23470,23301,23330,612.016,1000,redge
71,23471,23301,23332,409.001,1000,redge
72,23472,23301,23333,818.61,1000,redge
73,23473,23301,23336,156.154,1000,redge
