,substrate-nodes-id,cpu-resource,max-cpu-resource,substrate-topology
0,23300,149.768,500,redge
1,23301,448.705,500,redge
2,23302,311.231,500,redge
3,23303,415.05,500,redge
4,23304,274.186,500,redge
5,23305,59.197,500,redge
6,23306,238.396,500,redge
7,23307,408.575,500,redge
8,23308,60.947,500,redge
9,23309,77.542,500,redge
10,23310,418.752,500,redge
11,23311,438.544,500,redge
12,23312,322.668,500,redge
13,23313,69.358,500,redge
14,23314,68.31,500,redge
15,23315,115.288,500,redge
16,23316,435.159,500,redge
17,23317,92.651,500,redge
18,23318,129.926,500,redge
19,23319,219.583,500,redge
20,23320,433.48,500,redge
21,23321,26.039,500,redge
22,23322,81.361,500,redge
23,23323,21.384,500,redge
24,23324,47.534,500,redge
25,23325,284.812,500,redge
26,23326,328.762,500,redge
27,23327,261.011,500,redge
28,23328,144.887,500,redge
29,23329,256.388,500,redge
30,23330,288.254,500,redge
31,23331,425.353,500,redge
32,23332,416.125,500,redge
33,23333,142.675,500,redge
34,23334,383.795,500,redge
35,23335,377.953,500,redge
36,23336,146.424,500,redge
37,23337,18.448,500,redge
38,23338,205.575,500,redge
39,23339,343.724,500,redge
40,23340,65.873,500,redge
41,23341,302.032,500,redge
42,23342,479.986,500,redge
43,23343,206.55,500,redge
44,23344,60.692,500,redge
45,23345,487.438,500,redge
46,23346,299.521,500,redge
47,23347,51.196,500,redge
48,23348,457.63,500,redge
49,23349,405.536,500,redge
50,23350,248.993,500,redge
51,23351,369.709,500,redge
52,23352,164.637,500,redge
53,23353,465.947,500,redge
54,23354,143.037,500,redge
55,23355,356.871,500,redge
56,23356,162.341,500,redge
57,23357,281.039,500,redge
58,23358,59.131,500,redge
59,23359,239.32,500,redge
60,23360,192.893,500,redge
61,23361,288.731,500,redge
62,23362,210.195,500,redge
63,23363,118.561,500,redge
64,23364,485.439,500,redge
65,23365,471.783,500,redge
66,23366,451.372,500,redge
67,23367,359.389,500,redge
68,23368,490.759,500,redge
69,23369,17.829,500,redge
70,23370,356.637,500,redge
71,23371,122.116,500,redge
72,23372,371.554,500,redge
73,23373,276.611,500,redge
74,23374,332.692,500,redge
75,23375,219.543,500,redge
76,23376,409.405,500,redge
77,23377,148.697,500,redge
78,23378,159.907,500,redge
79,23379,77.721,500,redge
80,23380,44.603,500,redge
81,23381,83.446,500,redge
82,23382,163.099,500,redge
83,23383,193.365,500,redge
84,23384,460.862,500,redge
85,23385,173.053,500,redge
86,23386,418.517,500,redge
87,23387,110.127,500,redge
88,23388,463.331,500,redge
89,23389,404.192,500,redge
90,23390,497.681,500,redge
91,23391,81.002,500,redge
92,23392,375.393,500,redge
93,23393,469.158,500,redge
94,23394,233.547,500,redge
95,23395,244.753,500,redge
96,23396,297.403,500,redge
97,23397,144.306,500,redge
98,23398,369.982,500,redge
99,23399,320.511,500,redge
