,virtual-networks-id,virtual-links-id,virtual-links-source,virtual-links-target,substrate-links-id,bandwidth-demand,max-bandwidth-demand,mapping-algorithm,percentage-infra-resources
0,1,28376,28375,28374,25939,32.882,50,BFS-coordinated-VNE,5
1,1,28377,28374,28375,23584,11.522,50,BFS-coordinated-VNE,5
2,1,28379,28378,28375,23886,22.164,50,BFS-coordinated-VNE,5
3,1,28380,28375,28378,25941,1.663,50,BFS-coordinated-VNE,5
4,1,28382,28381,28374,23463,25.411,50,BFS-coordinated-VNE,5
5,1,28382,28381,28374,24153,25.411,50,BFS-coordinated-VNE,5
6,1,28383,28374,28381,23558,26.52,50,BFS-coordinated-VNE,5
7,1,28383,28374,28381,23400,26.52,50,BFS-coordinated-VNE,5
8,1,28385,28384,28375,28322,12.805,50,BFS-coordinated-VNE,5
9,1,28385,28384,28375,23426,12.805,50,BFS-coordinated-VNE,5
10,1,28386,28375,28384,25993,5.738,50,BFS-coordinated-VNE,5
11,1,28387,28384,28381,28323,23.236,50,BFS-coordinated-VNE,5
12,1,28388,28381,28384,23457,34.66,50,BFS-coordinated-VNE,5
13,1,28388,28381,28384,23752,34.66,50,BFS-coordinated-VNE,5
14,1,28390,28389,28378,28286,3.318,50,BFS-coordinated-VNE,5
15,1,28390,28389,28378,24157,3.318,50,BFS-coordinated-VNE,5
16,1,28391,28378,28389,23862,45.414,50,BFS-coordinated-VNE,5
17,1,28391,28378,28389,23453,45.414,50,BFS-coordinated-VNE,5
18,1,28392,28389,28384,28287,21.074,50,BFS-coordinated-VNE,5
19,1,28392,28389,28384,24236,21.074,50,BFS-coordinated-VNE,5
20,1,28393,28384,28389,28322,12.274,50,BFS-coordinated-VNE,5
21,1,28393,28384,28389,23453,12.274,50,BFS-coordinated-VNE,5
22,2,28396,28395,28394,23505,23.28,50,BFS-coordinated-VNE,5
23,2,28397,28394,28395,28280,38.993,50,BFS-coordinated-VNE,5
24,2,28399,28398,28395,28044,46.683,50,BFS-coordinated-VNE,5
25,2,28399,28398,28395,24104,46.683,50,BFS-coordinated-VNE,5
26,2,28400,28395,28398,23502,20.742,50,BFS-coordinated-VNE,5
27,2,28402,28401,28394,28373,15.42,50,BFS-coordinated-VNE,5
28,2,28403,28394,28401,28279,43.351,50,BFS-coordinated-VNE,5
29,2,28403,28394,28401,23454,43.351,50,BFS-coordinated-VNE,5
30,2,28405,28404,28395,23400,15.816,50,BFS-coordinated-VNE,5
31,2,28406,28395,28404,23455,7.27,50,BFS-coordinated-VNE,5
32,2,28407,28404,28401,23454,18.298,50,BFS-coordinated-VNE,5
33,2,28408,28401,28404,28322,9.715,50,BFS-coordinated-VNE,5
34,2,28410,28409,28398,26627,27.952,50,BFS-coordinated-VNE,5
35,2,28411,28398,28409,28037,25.313,50,BFS-coordinated-VNE,5
36,2,28411,28398,28409,23539,25.313,50,BFS-coordinated-VNE,5
37,2,28412,28409,28404,26570,38.264,50,BFS-coordinated-VNE,5
38,2,28413,28404,28409,23432,46.338,50,BFS-coordinated-VNE,5
39,3,28416,28415,28414,28373,3.017,50,BFS-coordinated-VNE,5
40,3,28416,28415,28414,28303,3.017,50,BFS-coordinated-VNE,5
41,3,28417,28414,28415,25832,12.979,50,BFS-coordinated-VNE,5
42,3,28419,28418,28415,28287,34.345,50,BFS-coordinated-VNE,5
43,3,28419,28418,28415,24236,34.345,50,BFS-coordinated-VNE,5
44,3,28420,28415,28418,28322,12.486,50,BFS-coordinated-VNE,5
45,3,28420,28415,28418,23453,12.486,50,BFS-coordinated-VNE,5
46,3,28422,28421,28414,23778,36.026,50,BFS-coordinated-VNE,5
47,3,28423,28414,28421,25779,19.395,50,BFS-coordinated-VNE,5
48,3,28425,28424,28415,23454,41.776,50,BFS-coordinated-VNE,5
49,3,28426,28415,28424,28322,18.848,50,BFS-coordinated-VNE,5
50,3,28427,28424,28421,23403,45.188,50,BFS-coordinated-VNE,5
51,3,28428,28421,28424,23753,4.566,50,BFS-coordinated-VNE,5
52,3,28430,28429,28418,23504,19.279,50,BFS-coordinated-VNE,5
53,3,28430,28429,28418,28219,19.279,50,BFS-coordinated-VNE,5
54,3,28431,28418,28429,28280,32.706,50,BFS-coordinated-VNE,5
55,3,28432,28429,28424,23455,2.846,50,BFS-coordinated-VNE,5
56,3,28433,28424,28429,23400,47.633,50,BFS-coordinated-VNE,5
57,4,28436,28435,28434,27783,39.224,50,BFS-coordinated-VNE,5
58,4,28437,28434,28435,23500,16.819,50,BFS-coordinated-VNE,5
59,4,28439,28438,28435,23557,45.19,50,BFS-coordinated-VNE,5
60,4,28439,28438,28435,28366,45.19,50,BFS-coordinated-VNE,5
61,4,28440,28435,28438,27784,48.489,50,BFS-coordinated-VNE,5
62,4,28442,28441,28434,23400,36.813,50,BFS-coordinated-VNE,5
63,4,28443,28434,28441,23505,37.297,50,BFS-coordinated-VNE,5
64,4,28443,28434,28441,28279,37.297,50,BFS-coordinated-VNE,5
65,4,28445,28444,28435,28321,7.087,50,BFS-coordinated-VNE,5
66,4,28445,28444,28435,28215,7.087,50,BFS-coordinated-VNE,5
67,4,28446,28435,28444,27838,14.965,50,BFS-coordinated-VNE,5
68,4,28447,28444,28441,28279,22.088,50,BFS-coordinated-VNE,5
69,4,28448,28441,28444,23453,37.496,50,BFS-coordinated-VNE,5
70,4,28450,28449,28438,28173,1.435,50,BFS-coordinated-VNE,5
71,4,28451,28438,28449,23555,5.834,50,BFS-coordinated-VNE,5
72,4,28452,28449,28444,28219,26.521,50,BFS-coordinated-VNE,5
73,4,28453,28444,28449,28321,14.631,50,BFS-coordinated-VNE,5
74,5,28456,28455,28454,24918,30.81,50,BFS-coordinated-VNE,5
75,5,28457,28454,28455,23572,25.448,50,BFS-coordinated-VNE,5
76,5,28459,28458,28455,23455,19.616,50,BFS-coordinated-VNE,5
77,5,28459,28458,28455,23413,19.616,50,BFS-coordinated-VNE,5
78,5,28460,28455,28458,24917,33.743,50,BFS-coordinated-VNE,5
79,5,28462,28461,28454,28281,30.504,50,BFS-coordinated-VNE,5
80,5,28463,28454,28461,23608,42.003,50,BFS-coordinated-VNE,5
81,5,28465,28464,28455,28322,8.235,50,BFS-coordinated-VNE,5
82,5,28465,28464,28455,23413,8.235,50,BFS-coordinated-VNE,5
83,5,28466,28455,28464,24976,10.663,50,BFS-coordinated-VNE,5
84,5,28467,28464,28461,28373,40.406,50,BFS-coordinated-VNE,5
85,5,28468,28461,28464,28279,34.739,50,BFS-coordinated-VNE,5
86,5,28468,28461,28464,23454,34.739,50,BFS-coordinated-VNE,5
87,5,28470,28469,28458,23400,47.953,50,BFS-coordinated-VNE,5
88,5,28471,28458,28469,23505,23.871,50,BFS-coordinated-VNE,5
89,5,28471,28458,28469,28279,23.871,50,BFS-coordinated-VNE,5
90,5,28472,28469,28464,23454,24.716,50,BFS-coordinated-VNE,5
91,5,28473,28464,28469,28322,39.368,50,BFS-coordinated-VNE,5
92,6,28476,28475,28474,28322,2.62,50,BFS-coordinated-VNE,5
93,6,28477,28474,28475,23401,4.466,50,BFS-coordinated-VNE,5
94,6,28477,28474,28475,23557,4.466,50,BFS-coordinated-VNE,5
95,6,28479,28478,28475,28279,3.37,50,BFS-coordinated-VNE,5
96,6,28479,28478,28475,23454,3.37,50,BFS-coordinated-VNE,5
97,6,28480,28475,28478,28322,29.68,50,BFS-coordinated-VNE,5
98,6,28480,28475,28478,23453,29.68,50,BFS-coordinated-VNE,5
99,6,28482,28481,28474,23558,31.131,50,BFS-coordinated-VNE,5
100,6,28483,28474,28481,23403,11.289,50,BFS-coordinated-VNE,5
101,6,28483,28474,28481,23756,11.289,50,BFS-coordinated-VNE,5
102,6,28485,28484,28475,24976,16.863,50,BFS-coordinated-VNE,5
103,6,28486,28475,28484,28322,3.985,50,BFS-coordinated-VNE,5
104,6,28486,28475,28484,23413,3.985,50,BFS-coordinated-VNE,5
105,6,28487,28484,28481,24925,34.113,50,BFS-coordinated-VNE,5
106,6,28487,28484,28481,24399,34.113,50,BFS-coordinated-VNE,5
107,6,28488,28481,28484,23572,1.937,50,BFS-coordinated-VNE,5
108,6,28490,28489,28478,23504,48.867,50,BFS-coordinated-VNE,5
109,6,28490,28489,28478,28219,48.867,50,BFS-coordinated-VNE,5
110,6,28491,28478,28489,28280,11.66,50,BFS-coordinated-VNE,5
111,6,28492,28489,28484,23473,38.914,50,BFS-coordinated-VNE,5
112,6,28492,28489,28484,25178,38.914,50,BFS-coordinated-VNE,5
113,6,28493,28484,28489,24917,19.308,50,BFS-coordinated-VNE,5
114,7,28496,28495,28494,28278,14.149,50,BFS-coordinated-VNE,5
115,7,28497,28494,28495,28372,0.389,50,BFS-coordinated-VNE,5
116,7,28499,28498,28495,23506,4.253,50,BFS-coordinated-VNE,5
117,7,28499,28498,28495,23452,4.253,50,BFS-coordinated-VNE,5
118,7,28500,28495,28498,28221,43.77,50,BFS-coordinated-VNE,5
119,7,28502,28501,28494,23457,41.951,50,BFS-coordinated-VNE,5
120,7,28502,28501,28494,23752,41.951,50,BFS-coordinated-VNE,5
121,7,28503,28494,28501,28323,43.057,50,BFS-coordinated-VNE,5
122,7,28505,28504,28495,26673,29.683,50,BFS-coordinated-VNE,5
123,7,28506,28495,28504,28221,4.162,50,BFS-coordinated-VNE,5
124,7,28506,28495,28504,23540,4.162,50,BFS-coordinated-VNE,5
125,7,28507,28504,28501,26629,10.281,50,BFS-coordinated-VNE,5
126,7,28508,28501,28504,23465,16.141,50,BFS-coordinated-VNE,5
127,7,28508,28501,28504,24462,16.141,50,BFS-coordinated-VNE,5
128,7,28510,28509,28498,23609,39.025,50,BFS-coordinated-VNE,5
129,7,28511,28498,28509,23557,15.833,50,BFS-coordinated-VNE,5
130,7,28511,28498,28509,28324,15.833,50,BFS-coordinated-VNE,5
131,7,28512,28509,28504,23643,34.373,50,BFS-coordinated-VNE,5
132,7,28513,28504,28509,26631,10.766,50,BFS-coordinated-VNE,5
133,8,28516,28515,28514,28078,36.67,50,BFS-coordinated-VNE,5
134,8,28516,28515,28514,28128,36.67,50,BFS-coordinated-VNE,5
135,8,28517,28514,28515,28370,22.433,50,BFS-coordinated-VNE,5
136,8,28519,28518,28515,26627,44.289,50,BFS-coordinated-VNE,5
137,8,28520,28515,28518,28037,36.765,50,BFS-coordinated-VNE,5
138,8,28520,28515,28518,23539,36.765,50,BFS-coordinated-VNE,5
139,8,28522,28521,28514,28279,43.729,50,BFS-coordinated-VNE,5
140,8,28522,28521,28514,23454,43.729,50,BFS-coordinated-VNE,5
141,8,28523,28514,28521,28373,41.271,50,BFS-coordinated-VNE,5
142,8,28525,28524,28515,23502,18.853,50,BFS-coordinated-VNE,5
143,8,28526,28515,28524,28036,19.522,50,BFS-coordinated-VNE,5
144,8,28527,28524,28521,23504,20.936,50,BFS-coordinated-VNE,5
145,8,28527,28524,28521,28219,20.936,50,BFS-coordinated-VNE,5
146,8,28528,28521,28524,28280,47.02,50,BFS-coordinated-VNE,5
147,8,28530,28529,28518,23539,22.946,50,BFS-coordinated-VNE,5
148,8,28531,28518,28529,26571,19.489,50,BFS-coordinated-VNE,5
149,8,28532,28529,28524,23506,15.736,50,BFS-coordinated-VNE,5
150,8,28532,28529,28524,23400,15.736,50,BFS-coordinated-VNE,5
151,8,28533,28524,28529,23455,4.673,50,BFS-coordinated-VNE,5
152,8,28533,28524,28529,23401,4.673,50,BFS-coordinated-VNE,5
153,9,28536,28535,28534,28373,14.426,50,BFS-coordinated-VNE,5
154,9,28537,28534,28535,28279,26.789,50,BFS-coordinated-VNE,5
155,9,28537,28534,28535,23454,26.789,50,BFS-coordinated-VNE,5
156,9,28539,28538,28535,23454,8.666,50,BFS-coordinated-VNE,5
157,9,28540,28535,28538,28322,16.266,50,BFS-coordinated-VNE,5
158,9,28542,28541,28534,23608,9.795,50,BFS-coordinated-VNE,5
159,9,28543,28534,28541,28281,19.524,50,BFS-coordinated-VNE,5
160,9,28545,28544,28535,24976,5.084,50,BFS-coordinated-VNE,5
161,9,28546,28535,28544,28322,48.277,50,BFS-coordinated-VNE,5
162,9,28546,28535,28544,23413,48.277,50,BFS-coordinated-VNE,5
163,9,28547,28544,28541,24925,46.271,50,BFS-coordinated-VNE,5
164,9,28547,28544,28541,24399,46.271,50,BFS-coordinated-VNE,5
165,9,28548,28541,28544,23572,29.666,50,BFS-coordinated-VNE,5
166,9,28550,28549,28538,23504,47.226,50,BFS-coordinated-VNE,5
167,9,28550,28549,28538,28172,47.226,50,BFS-coordinated-VNE,5
168,9,28551,28538,28549,23400,33.366,50,BFS-coordinated-VNE,5
169,9,28552,28549,28544,23455,6.977,50,BFS-coordinated-VNE,5
170,9,28552,28549,28544,23413,6.977,50,BFS-coordinated-VNE,5
171,9,28553,28544,28549,24917,45.743,50,BFS-coordinated-VNE,5
172,10,28556,28555,28554,28372,7.581,50,BFS-coordinated-VNE,5
173,10,28557,28554,28555,28278,7.764,50,BFS-coordinated-VNE,5
174,10,28559,28558,28555,23454,25.604,50,BFS-coordinated-VNE,5
175,10,28560,28555,28558,28322,10.765,50,BFS-coordinated-VNE,5
176,10,28562,28561,28554,23802,20.448,50,BFS-coordinated-VNE,5
177,10,28563,28554,28561,28222,11.247,50,BFS-coordinated-VNE,5
178,10,28565,28564,28555,25832,47.633,50,BFS-coordinated-VNE,5
179,10,28566,28555,28564,28372,42.337,50,BFS-coordinated-VNE,5
180,10,28566,28555,28564,28248,42.337,50,BFS-coordinated-VNE,5
181,10,28567,28564,28561,25779,19.435,50,BFS-coordinated-VNE,5
182,10,28568,28561,28564,23778,7.913,50,BFS-coordinated-VNE,5
183,10,28570,28569,28558,23862,32.5,50,BFS-coordinated-VNE,5
184,10,28571,28558,28569,23404,30.017,50,BFS-coordinated-VNE,5
185,10,28571,28558,28569,23906,30.017,50,BFS-coordinated-VNE,5
186,10,28572,28569,28564,23866,16.383,50,BFS-coordinated-VNE,5
187,10,28572,28569,28564,23831,16.383,50,BFS-coordinated-VNE,5
188,10,28573,28564,28569,25780,39.202,50,BFS-coordinated-VNE,5
189,11,28576,28575,28574,26673,17.041,50,BFS-coordinated-VNE,5
190,11,28577,28574,28575,28221,26.368,50,BFS-coordinated-VNE,5
191,11,28577,28574,28575,23540,26.368,50,BFS-coordinated-VNE,5
192,11,28579,28578,28575,23490,39.493,50,BFS-coordinated-VNE,5
193,11,28579,28578,28575,26753,39.493,50,BFS-coordinated-VNE,5
194,11,28580,28575,28578,26629,1.542,50,BFS-coordinated-VNE,5
195,11,28582,28581,28574,28372,15.733,50,BFS-coordinated-VNE,5
196,11,28583,28574,28581,28278,28.307,50,BFS-coordinated-VNE,5
197,11,28585,28584,28575,23643,12.606,50,BFS-coordinated-VNE,5
198,11,28586,28575,28584,26631,49.145,50,BFS-coordinated-VNE,5
199,11,28587,28584,28581,23663,3.658,50,BFS-coordinated-VNE,5
200,11,28588,28581,28584,28324,46.419,50,BFS-coordinated-VNE,5
201,11,28590,28589,28578,28280,33.232,50,BFS-coordinated-VNE,5
202,11,28591,28578,28589,23504,23.855,50,BFS-coordinated-VNE,5
203,11,28591,28578,28589,28219,23.855,50,BFS-coordinated-VNE,5
