,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,30243,25170,17.939,25,redge,redge,BFS-coordinated-VNE,5
1,1,30244,25209,17.31,25,redge,redge,BFS-coordinated-VNE,5
2,1,30245,25171,2.194,25,redge,redge,BFS-coordinated-VNE,5
3,1,30246,25264,15.047,25,redge,redge,BFS-coordinated-VNE,5
4,1,30247,25183,5.853,25,redge,redge,BFS-coordinated-VNE,5
5,1,30248,25176,2.697,25,redge,redge,BFS-coordinated-VNE,5
6,2,30267,25268,7.771,25,redge,redge,BFS-coordinated-VNE,5
7,2,30268,25169,11.81,25,redge,redge,BFS-coordinated-VNE,5
8,2,30269,25221,24.045,25,redge,redge,BFS-coordinated-VNE,5
9,2,30270,25171,16.697,25,redge,redge,BFS-coordinated-VNE,5
10,2,30271,25170,7.215,25,redge,redge,BFS-coordinated-VNE,5
11,2,30272,25172,9.683,25,redge,redge,BFS-coordinated-VNE,5
12,3,30290,25176,3.025,25,redge,redge,BFS-coordinated-VNE,5
13,3,30291,25264,5.446,25,redge,redge,BFS-coordinated-VNE,5
14,3,30292,25268,13.438,25,redge,redge,BFS-coordinated-VNE,5
15,3,30293,25170,13.864,25,redge,redge,BFS-coordinated-VNE,5
16,3,30294,25209,6.57,25,redge,redge,BFS-coordinated-VNE,5
17,3,30295,25171,12.354,25,redge,redge,BFS-coordinated-VNE,5
18,4,30313,25170,4.563,25,redge,redge,BFS-coordinated-VNE,5
19,4,30314,25171,21.614,25,redge,redge,BFS-coordinated-VNE,5
20,4,30315,25233,13.479,25,redge,redge,BFS-coordinated-VNE,5
21,4,30316,25268,20.784,25,redge,redge,BFS-coordinated-VNE,5
22,4,30317,25262,5.099,25,redge,redge,BFS-coordinated-VNE,5
23,4,30318,25169,5.864,25,redge,redge,BFS-coordinated-VNE,5
24,5,30331,25176,8.653,25,redge,redge,BFS-coordinated-VNE,5
25,5,30332,25171,8.661,25,redge,redge,BFS-coordinated-VNE,5
26,5,30333,25170,9.145,25,redge,redge,BFS-coordinated-VNE,5
27,5,30334,25264,15.525,25,redge,redge,BFS-coordinated-VNE,5
28,5,30335,25209,13.737,25,redge,redge,BFS-coordinated-VNE,5
29,5,30336,25169,11.007,25,redge,redge,BFS-coordinated-VNE,5
30,6,30354,25170,17.704,25,redge,redge,BFS-coordinated-VNE,5
31,6,30355,25264,1.219,25,redge,redge,BFS-coordinated-VNE,5
32,6,30356,25171,8.301,25,redge,redge,BFS-coordinated-VNE,5
33,6,30357,25267,23.7,25,redge,redge,BFS-coordinated-VNE,5
34,6,30358,25169,9.561,25,redge,redge,BFS-coordinated-VNE,5
35,6,30359,25209,18.241,25,redge,redge,BFS-coordinated-VNE,5
