,virtual-networks-id,virtual-links-id,virtual-links-source,virtual-links-target,substrate-links-id,bandwidth-demand,max-bandwidth-demand,mapping-algorithm,percentage-infra-resources
0,1,16774,16768,16770,12259,32.882,50,BFS-coordinated-VNE,5
1,1,16775,16768,16771,12266,11.522,50,BFS-coordinated-VNE,5
2,1,16776,16768,16772,12260,22.164,50,BFS-coordinated-VNE,5
3,1,16776,16768,16772,12225,22.164,50,BFS-coordinated-VNE,5
4,1,16777,16768,16773,12263,1.663,50,BFS-coordinated-VNE,5
5,1,16778,16769,16768,16719,25.411,50,BFS-coordinated-VNE,5
6,1,16778,16769,16768,12061,25.411,50,BFS-coordinated-VNE,5
7,1,16779,16769,16771,16716,26.52,50,BFS-coordinated-VNE,5
8,1,16779,16769,16771,11804,26.52,50,BFS-coordinated-VNE,5
9,1,16780,16769,16772,16767,12.805,50,BFS-coordinated-VNE,5
10,1,16780,16769,16772,16697,12.805,50,BFS-coordinated-VNE,5
11,1,16781,16769,16773,16724,5.738,50,BFS-coordinated-VNE,5
12,1,16782,16770,16772,12172,23.236,50,BFS-coordinated-VNE,5
13,1,16783,16770,16773,12155,34.66,50,BFS-coordinated-VNE,5
14,1,16784,16771,16769,12870,3.318,50,BFS-coordinated-VNE,5
15,1,16784,16771,16769,11848,3.318,50,BFS-coordinated-VNE,5
16,1,16785,16771,16772,12914,45.414,50,BFS-coordinated-VNE,5
17,1,16785,16771,16772,16697,45.414,50,BFS-coordinated-VNE,5
18,1,16786,16772,16768,14174,21.074,50,BFS-coordinated-VNE,5
19,1,16787,16772,16769,14226,12.274,50,BFS-coordinated-VNE,5
20,1,16788,16772,16770,14173,45.95,50,BFS-coordinated-VNE,5
21,1,16789,16772,16773,14176,38.67,50,BFS-coordinated-VNE,5
22,1,16790,16773,16769,12497,10.262,50,BFS-coordinated-VNE,5
23,1,16790,16773,16769,16672,10.262,50,BFS-coordinated-VNE,5
24,1,16791,16773,16770,12449,0.262,50,BFS-coordinated-VNE,5
25,1,16792,16773,16771,12453,47.454,50,BFS-coordinated-VNE,5
26,2,16799,16793,16796,12681,43.351,50,BFS-coordinated-VNE,5
27,2,16799,16793,16796,12259,43.351,50,BFS-coordinated-VNE,5
28,2,16800,16794,16793,11957,15.816,50,BFS-coordinated-VNE,5
29,2,16801,16794,16795,11952,7.27,50,BFS-coordinated-VNE,5
30,2,16801,16794,16795,11794,7.27,50,BFS-coordinated-VNE,5
31,2,16802,16794,16797,11966,18.298,50,BFS-coordinated-VNE,5
32,2,16803,16794,16798,11952,9.715,50,BFS-coordinated-VNE,5
33,2,16803,16794,16798,11848,9.715,50,BFS-coordinated-VNE,5
34,2,16804,16795,16797,11858,27.952,50,BFS-coordinated-VNE,5
35,2,16804,16795,16797,12646,27.952,50,BFS-coordinated-VNE,5
36,2,16805,16796,16793,12196,25.313,50,BFS-coordinated-VNE,5
37,2,16805,16796,16793,16621,25.313,50,BFS-coordinated-VNE,5
38,2,16806,16796,16795,12148,38.264,50,BFS-coordinated-VNE,5
39,2,16807,16796,16797,12147,46.338,50,BFS-coordinated-VNE,5
40,2,16807,16796,16797,11807,46.338,50,BFS-coordinated-VNE,5
41,2,16808,16797,16793,13318,22.932,50,BFS-coordinated-VNE,5
42,2,16809,16797,16794,13319,29.181,50,BFS-coordinated-VNE,5
