,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,16768,11703,15.722,25,waxman,redge,BFS-coordinated-VNE,5
1,1,16769,11793,11.64,25,waxman,redge,BFS-coordinated-VNE,5
2,1,16770,11701,19.496,25,waxman,redge,BFS-coordinated-VNE,5
3,1,16771,11716,23.342,25,waxman,redge,BFS-coordinated-VNE,5
4,1,16772,11742,10.371,25,waxman,redge,BFS-coordinated-VNE,5
5,1,16773,11707,7.71,25,waxman,redge,BFS-coordinated-VNE,5
6,2,16793,11712,1.508,25,waxman,redge,BFS-coordinated-VNE,5
7,2,16794,11697,6.489,25,waxman,redge,BFS-coordinated-VNE,5
8,2,16795,11695,17.173,25,waxman,redge,BFS-coordinated-VNE,5
9,2,16796,11701,6.243,25,waxman,redge,BFS-coordinated-VNE,5
10,2,16797,11725,18.013,25,waxman,redge,BFS-coordinated-VNE,5
11,2,16798,11793,9.698,25,waxman,redge,BFS-coordinated-VNE,5
12,3,16814,11793,13.961,25,waxman,redge,BFS-coordinated-VNE,5
13,3,16815,11716,19.612,25,waxman,redge,BFS-coordinated-VNE,5
14,3,16816,11791,8.41,25,waxman,redge,BFS-coordinated-VNE,5
15,3,16817,11742,22.595,25,waxman,redge,BFS-coordinated-VNE,5
16,3,16818,11703,24.244,25,waxman,redge,BFS-coordinated-VNE,5
17,3,16819,11701,18.406,25,waxman,redge,BFS-coordinated-VNE,5
18,4,16833,11710,12.388,25,waxman,redge,BFS-coordinated-VNE,5
19,4,16834,11695,15.405,25,waxman,redge,BFS-coordinated-VNE,5
20,4,16835,11701,12.724,25,waxman,redge,BFS-coordinated-VNE,5
21,4,16836,11792,9.808,25,waxman,redge,BFS-coordinated-VNE,5
22,4,16837,11696,16.872,25,waxman,redge,BFS-coordinated-VNE,5
23,4,16838,11782,15.252,25,waxman,redge,BFS-coordinated-VNE,5
24,5,16853,11703,1.31,25,waxman,redge,BFS-coordinated-VNE,5
25,5,16854,11707,2.233,25,waxman,redge,BFS-coordinated-VNE,5
26,5,16855,11716,1.685,25,waxman,redge,BFS-coordinated-VNE,5
27,5,16856,11701,14.84,25,waxman,redge,BFS-coordinated-VNE,5
28,5,16857,11742,15.566,25,waxman,redge,BFS-coordinated-VNE,5
29,5,16858,11793,5.644,25,waxman,redge,BFS-coordinated-VNE,5
30,6,16874,11696,0.027,25,waxman,redge,BFS-coordinated-VNE,5
31,6,16875,11793,8.042,25,waxman,redge,BFS-coordinated-VNE,5
32,6,16876,11698,6.865,25,waxman,redge,BFS-coordinated-VNE,5
33,6,16877,11695,5.998,25,waxman,redge,BFS-coordinated-VNE,5
34,6,16878,11791,20.035,25,waxman,redge,BFS-coordinated-VNE,5
35,6,16879,11759,7.074,25,waxman,redge,BFS-coordinated-VNE,5
36,7,16889,11707,22.144,25,waxman,redge,BFS-coordinated-VNE,5
37,7,16890,11696,18.383,25,waxman,redge,BFS-coordinated-VNE,5
38,7,16891,11787,21.864,25,waxman,redge,BFS-coordinated-VNE,5
39,7,16892,11694,20.636,25,waxman,redge,BFS-coordinated-VNE,5
40,7,16893,11700,9.427,25,waxman,redge,BFS-coordinated-VNE,5
41,7,16894,11758,9.761,25,waxman,redge,BFS-coordinated-VNE,5
42,8,16916,11758,23.136,25,waxman,redge,BFS-coordinated-VNE,5
43,8,16917,11787,14.833,25,waxman,redge,BFS-coordinated-VNE,5
44,8,16918,11695,23.613,25,waxman,redge,BFS-coordinated-VNE,5
45,8,16919,11696,16.683,25,waxman,redge,BFS-coordinated-VNE,5
46,8,16920,11700,3.489,25,waxman,redge,BFS-coordinated-VNE,5
47,8,16921,11694,22.872,25,waxman,redge,BFS-coordinated-VNE,5
48,9,16942,11745,23.816,25,waxman,redge,BFS-coordinated-VNE,5
49,9,16943,11697,21.168,25,waxman,redge,BFS-coordinated-VNE,5
50,9,16944,11703,9.717,25,waxman,redge,BFS-coordinated-VNE,5
51,9,16945,11695,3.956,25,waxman,redge,BFS-coordinated-VNE,5
52,9,16946,11792,16.25,25,waxman,redge,BFS-coordinated-VNE,5
53,9,16947,11793,15.009,25,waxman,redge,BFS-coordinated-VNE,5
54,10,16960,11793,1.829,25,waxman,redge,BFS-coordinated-VNE,5
55,10,16961,11695,23.21,25,waxman,redge,BFS-coordinated-VNE,5
56,10,16962,11759,16.616,25,waxman,redge,BFS-coordinated-VNE,5
57,10,16963,11698,11.927,25,waxman,redge,BFS-coordinated-VNE,5
58,10,16964,11694,0.938,25,waxman,redge,BFS-coordinated-VNE,5
59,10,16965,11791,22.579,25,waxman,redge,BFS-coordinated-VNE,5
60,11,16982,11791,22.686,25,waxman,redge,BFS-coordinated-VNE,5
61,11,16983,11762,21.758,25,waxman,redge,BFS-coordinated-VNE,5
62,11,16984,11701,14.561,25,waxman,redge,BFS-coordinated-VNE,5
63,11,16985,11696,16.648,25,waxman,redge,BFS-coordinated-VNE,5
64,11,16986,11793,10.975,25,waxman,redge,BFS-coordinated-VNE,5
65,11,16987,11705,22.631,25,waxman,redge,BFS-coordinated-VNE,5
66,12,16999,11697,23.384,25,waxman,redge,BFS-coordinated-VNE,5
67,12,17000,11701,0.749,25,waxman,redge,BFS-coordinated-VNE,5
68,12,17001,11725,24.621,25,waxman,redge,BFS-coordinated-VNE,5
69,12,17002,11792,13.96,25,waxman,redge,BFS-coordinated-VNE,5
70,12,17003,11793,24.961,25,waxman,redge,BFS-coordinated-VNE,5
71,12,17004,11695,0.935,25,waxman,redge,BFS-coordinated-VNE,5
72,13,17021,11707,10.355,25,waxman,redge,BFS-coordinated-VNE,5
73,13,17022,11694,7.443,25,waxman,redge,BFS-coordinated-VNE,5
74,13,17023,11696,8.255,25,waxman,redge,BFS-coordinated-VNE,5
75,13,17024,11700,21.977,25,waxman,redge,BFS-coordinated-VNE,5
76,13,17025,11787,5.16,25,waxman,redge,BFS-coordinated-VNE,5
77,13,17026,11758,13.509,25,waxman,redge,BFS-coordinated-VNE,5
78,14,17047,11696,13.098,25,waxman,redge,BFS-coordinated-VNE,5
79,14,17048,11759,22.691,25,waxman,redge,BFS-coordinated-VNE,5
80,14,17049,11694,7.203,25,waxman,redge,BFS-coordinated-VNE,5
81,14,17050,11695,24.763,25,waxman,redge,BFS-coordinated-VNE,5
82,14,17051,11793,19.372,25,waxman,redge,BFS-coordinated-VNE,5
83,14,17052,11791,23.858,25,waxman,redge,BFS-coordinated-VNE,5
84,15,17065,11758,21.238,25,waxman,redge,BFS-coordinated-VNE,5
85,15,17066,11718,13.763,25,waxman,redge,BFS-coordinated-VNE,5
86,15,17067,11696,22.907,25,waxman,redge,BFS-coordinated-VNE,5
87,15,17068,11700,4.325,25,waxman,redge,BFS-coordinated-VNE,5
88,15,17069,11707,4.488,25,waxman,redge,BFS-coordinated-VNE,5
89,15,17070,11787,20.066,25,waxman,redge,BFS-coordinated-VNE,5
90,16,17083,11712,11.131,25,waxman,redge,BFS-coordinated-VNE,5
91,16,17084,11695,21.02,25,waxman,redge,BFS-coordinated-VNE,5
92,16,17085,11697,19.406,25,waxman,redge,BFS-coordinated-VNE,5
93,16,17086,11725,8.603,25,waxman,redge,BFS-coordinated-VNE,5
94,16,17087,11701,4.503,25,waxman,redge,BFS-coordinated-VNE,5
95,16,17088,11793,12.183,25,waxman,redge,BFS-coordinated-VNE,5
96,17,17101,11793,24.239,25,waxman,redge,BFS-coordinated-VNE,5
97,17,17102,11701,23.326,25,waxman,redge,BFS-coordinated-VNE,5
98,17,17103,11694,15.289,25,waxman,redge,BFS-coordinated-VNE,5
99,17,17104,11707,8.77,25,waxman,redge,BFS-coordinated-VNE,5
100,17,17105,11742,8.834,25,waxman,redge,BFS-coordinated-VNE,5
101,17,17106,11703,3.992,25,waxman,redge,BFS-coordinated-VNE,5
102,18,17124,11696,4.2,25,waxman,redge,BFS-coordinated-VNE,5
103,18,17125,11710,1.783,25,waxman,redge,BFS-coordinated-VNE,5
104,18,17126,11782,24.983,25,waxman,redge,BFS-coordinated-VNE,5
105,18,17127,11701,20.602,25,waxman,redge,BFS-coordinated-VNE,5
106,18,17128,11695,18.328,25,waxman,redge,BFS-coordinated-VNE,5
107,18,17129,11792,15.088,25,waxman,redge,BFS-coordinated-VNE,5
108,19,17149,11782,17.802,25,waxman,redge,BFS-coordinated-VNE,5
109,19,17150,11792,6.618,25,waxman,redge,BFS-coordinated-VNE,5
110,19,17151,11695,20.338,25,waxman,redge,BFS-coordinated-VNE,5
111,19,17152,11698,18.532,25,waxman,redge,BFS-coordinated-VNE,5
112,19,17153,11696,8.726,25,waxman,redge,BFS-coordinated-VNE,5
113,19,17154,11701,5.509,25,waxman,redge,BFS-coordinated-VNE,5
114,20,17170,11758,21.41,25,waxman,redge,BFS-coordinated-VNE,5
115,20,17171,11700,10.834,25,waxman,redge,BFS-coordinated-VNE,5
116,20,17172,11696,14.982,25,waxman,redge,BFS-coordinated-VNE,5
117,20,17173,11707,13.342,25,waxman,redge,BFS-coordinated-VNE,5
118,20,17174,11694,16.583,25,waxman,redge,BFS-coordinated-VNE,5
119,20,17175,11787,6.637,25,waxman,redge,BFS-coordinated-VNE,5
120,21,17195,11697,15.712,25,waxman,redge,BFS-coordinated-VNE,5
121,21,17196,11701,23.172,25,waxman,redge,BFS-coordinated-VNE,5
122,21,17197,11725,20.177,25,waxman,redge,BFS-coordinated-VNE,5
123,21,17198,11694,14.017,25,waxman,redge,BFS-coordinated-VNE,5
124,21,17199,11695,20.184,25,waxman,redge,BFS-coordinated-VNE,5
125,21,17200,11793,15.154,25,waxman,redge,BFS-coordinated-VNE,5
126,22,17218,11694,3.195,25,waxman,redge,BFS-coordinated-VNE,5
127,22,17219,11742,20.554,25,waxman,redge,BFS-coordinated-VNE,5
128,22,17220,11707,0.168,25,waxman,redge,BFS-coordinated-VNE,5
129,22,17221,11793,6.834,25,waxman,redge,BFS-coordinated-VNE,5
130,22,17222,11701,10.85,25,waxman,redge,BFS-coordinated-VNE,5
131,22,17223,11703,8.498,25,waxman,redge,BFS-coordinated-VNE,5
132,23,17239,11696,9.469,25,waxman,redge,BFS-coordinated-VNE,5
133,23,17240,11694,9.243,25,waxman,redge,BFS-coordinated-VNE,5
134,23,17241,11792,1.867,25,waxman,redge,BFS-coordinated-VNE,5
135,23,17242,11695,13.732,25,waxman,redge,BFS-coordinated-VNE,5
136,23,17243,11782,14.208,25,waxman,redge,BFS-coordinated-VNE,5
137,23,17244,11701,9.373,25,waxman,redge,BFS-coordinated-VNE,5
138,24,17261,11694,13.252,25,waxman,redge,BFS-coordinated-VNE,5
139,24,17262,11758,22.581,25,waxman,redge,BFS-coordinated-VNE,5
140,24,17263,11696,17.444,25,waxman,redge,BFS-coordinated-VNE,5
141,24,17264,11700,7.353,25,waxman,redge,BFS-coordinated-VNE,5
142,24,17265,11695,7.13,25,waxman,redge,BFS-coordinated-VNE,5
143,24,17266,11787,23.64,25,waxman,redge,BFS-coordinated-VNE,5
144,25,17282,11694,18.339,25,waxman,redge,BFS-coordinated-VNE,5
145,25,17283,11697,8.781,25,waxman,redge,BFS-coordinated-VNE,5
146,25,17284,11793,20.243,25,waxman,redge,BFS-coordinated-VNE,5
147,25,17285,11701,2.266,25,waxman,redge,BFS-coordinated-VNE,5
148,25,17286,11695,13.437,25,waxman,redge,BFS-coordinated-VNE,5
149,25,17287,11725,20.707,25,waxman,redge,BFS-coordinated-VNE,5
