,substrate-links-id,substrate-links-sources,substrate-links-target,bandwidth-resource,max-bandwidth-resource,substrate-topology
0,100,0,5,671.288,1000,waxman
1,101,0,9,163.616,1000,waxman
2,102,0,13,593.909,1000,waxman
3,103,0,15,249.682,1000,waxman
4,104,0,16,238.515,1000,waxman
5,105,0,18,971.007,1000,waxman
6,106,0,19,280.244,1000,waxman
7,107,0,20,254.337,1000,waxman
8,108,0,21,67.337,1000,waxman
9,109,0,22,21.291,1000,waxman
10,110,0,23,227.394,1000,waxman
11,111,0,24,11.404,1000,waxman
12,112,0,25,624.679,1000,waxman
13,113,0,30,837.46,1000,waxman
14,114,0,32,875.505,1000,waxman
15,115,0,34,580.687,1000,waxman
16,116,0,36,511.216,1000,waxman
17,117,0,37,922.174,1000,waxman
18,118,0,40,695.062,1000,waxman
19,119,0,43,637.71,1000,waxman
20,120,0,44,397.577,1000,waxman
21,121,0,46,698.261,1000,waxman
22,122,0,47,64.965,1000,waxman
23,123,0,49,488.162,1000,waxman
24,124,0,53,979.952,1000,waxman
25,125,0,55,126.4,1000,waxman
26,126,0,56,820.833,1000,waxman
27,127,0,62,229.825,1000,waxman
28,128,0,63,931.802,1000,waxman
29,129,0,69,945.678,1000,waxman
30,130,0,72,788.623,1000,waxman
31,131,0,80,787.446,1000,waxman
32,132,0,81,294.205,1000,waxman
33,133,0,82,893.879,1000,waxman
34,134,0,84,287.607,1000,waxman
35,135,0,91,285.332,1000,waxman
36,136,0,92,869.454,1000,waxman
37,137,0,93,581.721,1000,waxman
38,138,0,94,411.943,1000,waxman
39,139,0,97,367.915,1000,waxman
40,140,0,98,960.831,1000,waxman
41,141,0,99,918.903,1000,waxman
42,142,1,0,881.514,1000,waxman
43,143,1,2,630.301,1000,waxman
44,144,1,3,236.042,1000,waxman
45,145,1,4,119.7,1000,waxman
46,146,1,10,390.422,1000,waxman
47,147,1,11,278.845,1000,waxman
48,148,1,12,582.648,1000,waxman
49,149,1,14,351.982,1000,waxman
50,150,1,19,675.438,1000,waxman
51,151,1,20,506.016,1000,waxman
52,152,1,23,570.862,1000,waxman
53,153,1,24,35.904,1000,waxman
54,154,1,27,976.949,1000,waxman
55,155,1,29,834.356,1000,waxman
56,156,1,33,542.431,1000,waxman
57,157,1,34,647.175,1000,waxman
58,158,1,36,171.338,1000,waxman
59,159,1,37,861.084,1000,waxman
60,160,1,38,403.872,1000,waxman
61,161,1,40,634.657,1000,waxman
62,162,1,41,616.476,1000,waxman
63,163,1,43,417.884,1000,waxman
64,164,1,44,918.169,1000,waxman
65,165,1,45,723.207,1000,waxman
66,166,1,48,670.906,1000,waxman
67,167,1,49,149.716,1000,waxman
68,168,1,50,661.089,1000,waxman
69,169,1,51,440.059,1000,waxman
70,170,1,54,922.541,1000,waxman
71,171,1,55,911.956,1000,waxman
72,172,1,59,836.617,1000,waxman
73,173,1,61,176.645,1000,waxman
74,174,1,62,394.088,1000,waxman
75,175,1,63,186.945,1000,waxman
76,176,1,64,830.552,1000,waxman
