,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,5103,7,13.483,25,redge,waxman,BFS-coordinated-VNE,5
1,1,5104,35,18.517,25,redge,waxman,BFS-coordinated-VNE,5
2,1,5105,8,15.983,25,redge,waxman,BFS-coordinated-VNE,5
3,1,5106,13,4.103,25,redge,waxman,BFS-coordinated-VNE,5
4,1,5107,23,7.196,25,redge,waxman,BFS-coordinated-VNE,5
5,1,5108,99,9.13,25,redge,waxman,BFS-coordinated-VNE,5
6,2,5127,97,13.741,25,redge,waxman,BFS-coordinated-VNE,5
7,2,5128,8,23.095,25,redge,waxman,BFS-coordinated-VNE,5
8,2,5129,17,9.866,25,redge,waxman,BFS-coordinated-VNE,5
9,2,5130,99,15.359,25,redge,waxman,BFS-coordinated-VNE,5
10,2,5131,3,23.307,25,redge,waxman,BFS-coordinated-VNE,5
11,2,5132,15,8.3,25,redge,waxman,BFS-coordinated-VNE,5
12,3,5150,13,12.679,25,redge,waxman,BFS-coordinated-VNE,5
13,3,5151,7,5.66,25,redge,waxman,BFS-coordinated-VNE,5
14,3,5152,0,4.79,25,redge,waxman,BFS-coordinated-VNE,5
15,3,5153,99,3.109,25,redge,waxman,BFS-coordinated-VNE,5
16,3,5154,8,1.539,25,redge,waxman,BFS-coordinated-VNE,5
17,3,5155,35,14.611,25,redge,waxman,BFS-coordinated-VNE,5
18,4,5173,98,6.009,25,redge,waxman,BFS-coordinated-VNE,5
19,4,5174,9,6.895,25,redge,waxman,BFS-coordinated-VNE,5
20,4,5175,65,21.075,25,redge,waxman,BFS-coordinated-VNE,5
21,4,5176,2,14.563,25,redge,waxman,BFS-coordinated-VNE,5
22,4,5177,99,10.07,25,redge,waxman,BFS-coordinated-VNE,5
23,4,5178,7,16.276,25,redge,waxman,BFS-coordinated-VNE,5
24,5,5191,3,18.241,25,redge,waxman,BFS-coordinated-VNE,5
25,5,5192,15,16.777,25,redge,waxman,BFS-coordinated-VNE,5
26,5,5193,17,8.503,25,redge,waxman,BFS-coordinated-VNE,5
27,5,5194,97,2.365,25,redge,waxman,BFS-coordinated-VNE,5
28,5,5195,5,10.853,25,redge,waxman,BFS-coordinated-VNE,5
29,5,5196,8,19.941,25,redge,waxman,BFS-coordinated-VNE,5
30,6,5214,4,4.459,25,redge,waxman,BFS-coordinated-VNE,5
31,6,5215,61,5.215,25,redge,waxman,BFS-coordinated-VNE,5
32,6,5216,15,20.631,25,redge,waxman,BFS-coordinated-VNE,5
33,6,5217,1,12.649,25,redge,waxman,BFS-coordinated-VNE,5
34,6,5218,0,8.531,25,redge,waxman,BFS-coordinated-VNE,5
35,6,5219,99,4.526,25,redge,waxman,BFS-coordinated-VNE,5
36,7,5238,98,17.369,25,redge,waxman,BFS-coordinated-VNE,5
37,7,5239,3,4.961,25,redge,waxman,BFS-coordinated-VNE,5
38,7,5240,1,19.255,25,redge,waxman,BFS-coordinated-VNE,5
39,7,5241,8,9.027,25,redge,waxman,BFS-coordinated-VNE,5
40,7,5242,0,15.646,25,redge,waxman,BFS-coordinated-VNE,5
41,7,5243,20,20.097,25,redge,waxman,BFS-coordinated-VNE,5
42,8,5259,0,22.683,25,redge,waxman,BFS-coordinated-VNE,5
43,8,5260,5,9.068,25,redge,waxman,BFS-coordinated-VNE,5
44,8,5261,1,9.63,25,redge,waxman,BFS-coordinated-VNE,5
45,8,5262,52,12.297,25,redge,waxman,BFS-coordinated-VNE,5
46,8,5263,99,7.144,25,redge,waxman,BFS-coordinated-VNE,5
47,8,5264,4,21.67,25,redge,waxman,BFS-coordinated-VNE,5
48,9,5283,1,12.947,25,redge,waxman,BFS-coordinated-VNE,5
49,9,5284,8,6.267,25,redge,waxman,BFS-coordinated-VNE,5
50,9,5285,3,6.483,25,redge,waxman,BFS-coordinated-VNE,5
51,9,5286,14,11.372,25,redge,waxman,BFS-coordinated-VNE,5
52,9,5287,98,19.11,25,redge,waxman,BFS-coordinated-VNE,5
53,9,5288,20,15.308,25,redge,waxman,BFS-coordinated-VNE,5
54,10,5310,99,14.538,25,redge,waxman,BFS-coordinated-VNE,5
55,10,5311,4,0.647,25,redge,waxman,BFS-coordinated-VNE,5
56,10,5312,1,10.306,25,redge,waxman,BFS-coordinated-VNE,5
57,10,5313,9,3.067,25,redge,waxman,BFS-coordinated-VNE,5
58,10,5314,0,20.776,25,redge,waxman,BFS-coordinated-VNE,5
59,10,5315,52,18.22,25,redge,waxman,BFS-coordinated-VNE,5
60,11,5332,8,22.734,25,redge,waxman,BFS-coordinated-VNE,5
61,11,5333,35,21.238,25,redge,waxman,BFS-coordinated-VNE,5
62,11,5334,7,12.985,25,redge,waxman,BFS-coordinated-VNE,5
