,substrate-nodes-id,cpu-resource,max-cpu-resource,substrate-topology
0,36805,17.893,500,waxman
1,36806,32.971,500,waxman
2,36807,213.052,500,waxman
3,36808,218.887,500,waxman
4,36809,313.574,500,waxman
5,36810,301.667,500,waxman
6,36811,45.615,500,waxman
7,36812,195.762,500,waxman
8,36813,20.544,500,waxman
9,36814,331.012,500,waxman
10,36815,231.855,500,waxman
11,36816,476.375,500,waxman
12,36817,265.381,500,waxman
13,36818,348.362,500,waxman
14,36819,39.783,500,waxman
15,36820,26.262,500,waxman
16,36821,74.116,500,waxman
17,36822,373.419,500,waxman
18,36823,165.506,500,waxman
19,36824,34.174,500,waxman
20,36825,154.368,500,waxman
21,36826,63.637,500,waxman
22,36827,460.265,500,waxman
23,36828,440.859,500,waxman
24,36829,318.349,500,waxman
25,36830,492.409,500,waxman
26,36831,15.611,500,waxman
27,36832,404.572,500,waxman
28,36833,275.821,500,waxman
29,36834,358.763,500,waxman
30,36835,231.556,500,waxman
31,36836,380.987,500,waxman
32,36837,337.134,500,waxman
33,36838,36.007,500,waxman
34,36839,155.114,500,waxman
35,36840,317.979,500,waxman
36,36841,205.597,500,waxman
37,36842,228.539,500,waxman
38,36843,117.401,500,waxman
39,36844,491.569,500,waxman
40,36845,5.771,500,waxman
41,36846,321.031,500,waxman
42,36847,16.289,500,waxman
43,36848,238.383,500,waxman
44,36849,489.626,500,waxman
45,36850,272.22,500,waxman
46,36851,488.577,500,waxman
47,36852,272.054,500,waxman
48,36853,486.092,500,waxman
49,36854,126.748,500,waxman
50,36855,190.763,500,waxman
51,36856,406.303,500,waxman
52,36857,111.153,500,waxman
53,36858,392.817,500,waxman
54,36859,460.705,500,waxman
55,36860,345.758,500,waxman
56,36861,35.45,500,waxman
57,36862,160.848,500,waxman
58,36863,263.809,500,waxman
59,36864,247.126,500,waxman
60,36865,214.237,500,waxman
61,36866,418.913,500,waxman
62,36867,36.859,500,waxman
63,36868,497.92,500,waxman
64,36869,420.605,500,waxman
65,36870,54.394,500,waxman
66,36871,330.202,500,waxman
67,36872,107.726,500,waxman
68,36873,187.017,500,waxman
69,36874,18.141,500,waxman
70,36875,14.721,500,waxman
71,36876,257.855,500,waxman
72,36877,352.506,500,waxman
73,36878,67.355,500,waxman
74,36879,263.875,500,waxman
75,36880,409.246,500,waxman
76,36881,333.275,500,waxman
77,36882,396.45,500,waxman
78,36883,43.065,500,waxman
79,36884,425.593,500,waxman
80,36885,483.002,500,waxman
81,36886,311.397,500,waxman
82,36887,438.668,500,waxman
83,36888,428.946,500,waxman
84,36889,485.788,500,waxman
85,36890,402.314,500,waxman
86,36891,337.328,500,waxman
87,36892,68.399,500,waxman
88,36893,129.48,500,waxman
89,36894,421.546,500,waxman
90,36895,222.414,500,waxman
91,36896,48.991,500,waxman
92,36897,40.014,500,waxman
93,36898,280.022,500,waxman
94,36899,189.038,500,waxman
95,36900,137.562,500,waxman
96,36901,18.461,500,waxman
97,36902,233.383,500,waxman
98,36903,191.642,500,waxman
99,36904,435.087,500,waxman
