,virtual-networks-id,virtual-nodes-id,substrate-nodes-id,cpu-demand,max-cpu-demand,virtual-topology,substrate-topology,mapping-algorithm,percentage-infra-resources
0,1,41849,36807,3.588,25,waxman,waxman,BFS-coordinated-VNE,5
1,1,41850,36898,24.738,25,waxman,waxman,BFS-coordinated-VNE,5
2,1,41851,36816,16.772,25,waxman,waxman,BFS-coordinated-VNE,5
3,1,41852,36902,21.578,25,waxman,waxman,BFS-coordinated-VNE,5
4,1,41853,36809,2.39,25,waxman,waxman,BFS-coordinated-VNE,5
5,1,41854,36806,1.782,25,waxman,waxman,BFS-coordinated-VNE,5
6,2,41869,36904,6.478,25,waxman,waxman,BFS-coordinated-VNE,5
7,2,41870,36812,1.857,25,waxman,waxman,BFS-coordinated-VNE,5
8,2,41871,36894,5.492,25,waxman,waxman,BFS-coordinated-VNE,5
9,2,41872,36823,7.997,25,waxman,waxman,BFS-coordinated-VNE,5
10,2,41873,36807,18.042,25,waxman,waxman,BFS-coordinated-VNE,5
11,2,41874,36832,8.261,25,waxman,waxman,BFS-coordinated-VNE,5
12,3,41883,36824,11.702,25,waxman,waxman,BFS-coordinated-VNE,5
13,3,41884,36901,7.218,25,waxman,waxman,BFS-coordinated-VNE,5
14,3,41885,36808,14.325,25,waxman,waxman,BFS-coordinated-VNE,5
15,3,41886,36868,20.247,25,waxman,waxman,BFS-coordinated-VNE,5
16,3,41887,36818,17.21,25,waxman,waxman,BFS-coordinated-VNE,5
17,3,41888,36830,22.309,25,waxman,waxman,BFS-coordinated-VNE,5
18,4,41905,36807,24.627,25,waxman,waxman,BFS-coordinated-VNE,5
19,4,41906,36833,9.044,25,waxman,waxman,BFS-coordinated-VNE,5
20,4,41907,36809,6.28,25,waxman,waxman,BFS-coordinated-VNE,5
21,4,41908,36816,20.722,25,waxman,waxman,BFS-coordinated-VNE,5
22,4,41909,36902,11.917,25,waxman,waxman,BFS-coordinated-VNE,5
23,4,41910,36818,3.973,25,waxman,waxman,BFS-coordinated-VNE,5
24,5,41922,36880,23.194,25,waxman,waxman,BFS-coordinated-VNE,5
25,5,41923,36899,4.98,25,waxman,waxman,BFS-coordinated-VNE,5
26,5,41924,36807,1.403,25,waxman,waxman,BFS-coordinated-VNE,5
27,5,41925,36809,7.704,25,waxman,waxman,BFS-coordinated-VNE,5
28,5,41926,36904,14.916,25,waxman,waxman,BFS-coordinated-VNE,5
29,5,41927,36819,3.082,25,waxman,waxman,BFS-coordinated-VNE,5
30,6,41941,36811,23.692,25,waxman,waxman,BFS-coordinated-VNE,5
31,6,41942,36830,14.478,25,waxman,waxman,BFS-coordinated-VNE,5
32,6,41943,36818,4.201,25,waxman,waxman,BFS-coordinated-VNE,5
33,6,41944,36901,9.185,25,waxman,waxman,BFS-coordinated-VNE,5
34,6,41945,36805,2.418,25,waxman,waxman,BFS-coordinated-VNE,5
35,6,41946,36808,20.022,25,waxman,waxman,BFS-coordinated-VNE,5
36,7,41967,36824,14.864,25,waxman,waxman,BFS-coordinated-VNE,5
37,7,41968,36811,18.372,25,waxman,waxman,BFS-coordinated-VNE,5
38,7,41969,36847,14.431,25,waxman,waxman,BFS-coordinated-VNE,5
39,7,41970,36818,13.714,25,waxman,waxman,BFS-coordinated-VNE,5
40,7,41971,36830,22.733,25,waxman,waxman,BFS-coordinated-VNE,5
41,7,41972,36808,22.312,25,waxman,waxman,BFS-coordinated-VNE,5
42,8,41985,36814,5.915,25,waxman,waxman,BFS-coordinated-VNE,5
43,8,41986,36808,14.698,25,waxman,waxman,BFS-coordinated-VNE,5
44,8,41987,36899,17.522,25,waxman,waxman,BFS-coordinated-VNE,5
45,8,41988,36904,5.533,25,waxman,waxman,BFS-coordinated-VNE,5
46,8,41989,36894,14.357,25,waxman,waxman,BFS-coordinated-VNE,5
47,8,41990,36828,9.793,25,waxman,waxman,BFS-coordinated-VNE,5
